Time,Lateral,Vertical,Longitudinal
0.00,0.00783,0.99116,-0.05287
0.02,0.00711,0.99104,-0.05335
0.04,0.00562,0.99191,-0.05377
0.06,0.00505,0.99256,-0.05362
0.08,0.00433,0.99289,-0.05416
0.10,0.00412,0.99299,-0.05459
0.12,0.00380,0.99415,-0.05479
0.14,0.00359,0.99450,-0.05478
0.16,0.00299,0.99427,-0.05497
0.18,0.00256,0.99366,-0.05677
0.20,0.00159,0.99391,-0.05663
0.22,0.00217,0.99505,-0.05579
0.24,0.00278,0.99529,-0.05476
0.26,0.00326,0.99480,-0.05376
0.28,0.00430,0.99405,-0.05355
0.30,0.00447,0.99377,-0.05292
0.32,0.00458,0.99440,-0.05231
0.34,0.00487,0.99387,-0.05219
0.36,0.00480,0.99389,-0.05277
0.38,0.00409,0.99416,-0.05257
0.40,0.00352,0.99582,-0.05083
0.42,0.00342,0.99561,-0.05026
0.44,0.00310,0.99414,-0.05091
0.46,0.00263,0.99398,-0.05127
0.48,0.00308,0.99430,-0.05178
0.50,0.00244,0.99471,-0.05196
0.52,0.00312,0.99467,-0.05256
0.54,0.00270,0.99441,-0.05224
0.56,0.00261,0.99513,-0.05160
0.58,0.00255,0.99455,-0.05108
0.60,0.00298,0.99418,-0.05122
0.62,0.00343,0.99372,-0.05145
0.64,0.00356,0.99396,-0.05173
0.66,0.00325,0.99446,-0.05129
0.68,0.00323,0.99482,-0.05134
0.70,0.00333,0.99456,-0.05128
0.72,0.00316,0.99455,-0.05132
0.74,0.00273,0.99479,-0.05069
0.76,0.00306,0.99460,-0.05088
0.78,0.00304,0.99406,-0.05148
0.80,0.00298,0.99444,-0.05135
0.82,0.00327,0.99477,-0.05104
0.84,0.00326,0.99460,-0.05093
0.86,0.00347,0.99459,-0.05107
0.88,0.00340,0.99435,-0.05153
0.90,0.00344,0.99433,-0.05170
0.92,0.00304,0.99441,-0.05161
0.94,0.00326,0.99454,-0.05139
0.96,0.00342,0.99474,-0.05129
0.98,0.00346,0.99454,-0.05144
1.00,0.00376,0.99451,-0.05109
1.02,0.00338,0.99503,-0.05123
1.04,0.00352,0.99506,-0.05102
1.06,0.00322,0.99487,-0.05172
1.08,0.00363,0.99477,-0.05190
1.10,0.00335,0.99467,-0.05186
1.12,0.00344,0.99459,-0.05183
1.14,0.00352,0.99442,-0.05170
1.16,0.00354,0.99432,-0.05177
1.18,0.00357,0.99401,-0.05136
1.20,0.00345,0.99428,-0.05132
1.22,0.00315,0.99441,-0.05168
1.24,0.00363,0.99389,-0.05161
1.26,0.00350,0.99368,-0.05180
1.28,0.00371,0.99413,-0.05116
1.30,0.00350,0.99414,-0.05102
1.32,0.00394,0.99408,-0.05091
1.34,0.00365,0.99425,-0.05090
1.36,0.00352,0.99471,-0.05089
1.38,0.00325,0.99478,-0.05095
1.40,0.00316,0.99481,-0.05144
