Time,Lateral,Vertical,Longitudinal
0,0.39527,0.78215,0.43578
0.02,0.39875,0.78219,0.44482
0.04,0.40373,0.77656,0.45431
0.06,0.40563,0.77536,0.45447
0.08,0.40462,0.77456,0.44716
0.1,0.40685,0.77554,0.44943
0.12,0.40973,0.76957,0.4749
0.14,0.41754,0.77365,0.48261
0.16,0.42463,0.77784,0.47755
0.18,0.43038,0.77786,0.46761
0.2,0.44303,0.7736,0.45825
0.22,0.46376,0.76235,0.449
0.24,0.48901,0.75252,0.43555
0.26,0.50109,0.74481,0.42361
0.28,0.49893,0.74734,0.42232
0.3,0.48266,0.75704,0.43895
0.32,0.4497,0.77497,0.43101
0.34,0.40297,0.7931,0.40293
0.36,0.35957,0.77992,0.38595
0.38,0.32406,0.76045,0.38406
0.4,0.28534,0.7467,0.38558
0.42,0.2214,0.74698,0.35633
0.44,0.12963,0.77081,0.283
0.46,0.03744,0.86058,0.20472
0.48,-0.03886,0.92015,0.11447
0.5,-0.06431,0.94906,0.0217
0.52,-0.08391,0.95337,-0.04117
0.54,-0.09167,0.96353,-0.06895
0.56,-0.10022,0.9752,-0.07798
0.58,-0.10809,0.99229,-0.09903
0.6,-0.12003,1.03123,-0.12559
0.62,-0.14592,1.09089,-0.15018
0.64,-0.1466,1.12301,-0.14936
0.66,-0.11314,1.11912,-0.10857
0.68,-0.09537,1.0649,-0.07906
0.7,-0.07879,1.0314,-0.03785
0.72,-0.09861,1.01884,-0.00273
0.74,-0.11154,1.03108,-0.00929
0.76,-0.1162,1.03315,-0.0331
0.78,-0.09971,1.0198,-0.05144
0.8,-0.09369,1.0411,-0.06294
0.82,-0.08534,1.03077,-0.07723
0.84,-0.0701,0.99964,-0.09739
0.86,-0.06496,0.99289,-0.11488
0.88,-0.07069,1.00296,-0.12093
0.9,-0.06163,0.99429,-0.10536
0.92,-0.05648,0.99592,-0.09888
0.94,-0.05605,1.00196,-0.09196
0.96,-0.04647,0.99326,-0.07763
0.98,-0.04307,0.98506,-0.06614
1,-0.05102,0.98487,-0.06672
1.02,-0.04311,0.98086,-0.0728
1.04,-0.0382,0.97965,-0.06901
1.06,-0.03471,0.99288,-0.06373
1.08,-0.02786,0.98738,-0.0565
1.1,-0.03013,0.98501,-0.04129
1.12,-0.02628,0.99286,-0.04149
1.14,-0.02507,0.99215,-0.03446
1.16,-0.01405,0.99714,-0.03588
1.18,-0.01154,0.99231,-0.03077
1.2,-0.0164,0.99822,-0.02231
1.22,-0.00904,0.9948,-0.0257
1.24,-0.01828,0.99663,-0.02473
1.26,-0.01624,1.00686,-0.02975
1.28,-0.0132,0.99532,-0.02713
1.3,-0.01915,1.00507,-0.01692
1.32,-0.01398,1.01172,-0.0264
1.34,-0.01454,1.00209,-0.033
1.36,-0.01806,1.00423,-0.03031
1.38,-0.02665,1.00413,-0.02339
1.4,-0.02581,1.00676,-0.02724
1.42,-0.02369,1.0023,-0.03137
1.44,-0.02391,1.00886,-0.02969
1.46,-0.01839,1.00213,-0.02951
1.48,-0.02261,1.00136,-0.02905
1.5,-0.03118,1.00753,-0.02271
1.52,-0.02363,1.00402,-0.02903
1.54,-0.02158,0.99832,-0.0349
1.56,-0.02568,1.0038,-0.02969
1.58,-0.01929,1.00092,-0.02766
1.6,-0.02014,0.99935,-0.02463
1.62,-0.01672,1.00329,-0.02377
1.64,-0.01247,0.99871,-0.02501
1.66,-0.01266,1.00079,-0.03328
1.68,-0.012,0.99812,-0.03264
1.7,-0.01666,0.99972,-0.02189
