Time,Lateral,Vertical,Longitudinal
0.00,0.67100,0.21800,0.74400
0.02,0.67100,0.21800,0.74400
0.04,0.66975,0.21638,0.74287
0.06,0.66878,0.21511,0.74200
0.08,0.66800,0.21410,0.74130
0.10,0.66827,0.21355,0.74173
0.12,0.66636,0.21336,0.74155
0.14,0.66445,0.21236,0.74155
0.16,0.66355,0.21055,0.74182
0.18,0.66255,0.20955,0.74191
0.20,0.66064,0.20855,0.74191
0.22,0.65782,0.20836,0.74173
0.24,0.65682,0.20736,0.74182
0.26,0.65591,0.20736,0.74182
0.28,0.65409,0.20818,0.74155
0.30,0.65218,0.20991,0.74109
0.32,0.65127,0.20964,0.74009
0.34,0.65318,0.20891,0.74045
0.36,0.65318,0.20891,0.74045
0.38,0.65045,0.20936,0.73918
0.40,0.64873,0.20909,0.73818
0.42,0.64882,0.20891,0.73736
0.44,0.65064,0.20809,0.73764
0.46,0.65073,0.20791,0.73673
0.48,0.65073,0.20791,0.73673
0.50,0.65164,0.20709,0.73700
0.52,0.65255,0.20555,0.73827
0.54,0.65255,0.20555,0.73827
0.56,0.65164,0.20527,0.73727
0.58,0.65355,0.20609,0.73636
0.60,0.65627,0.20700,0.73545
0.62,0.65718,0.20709,0.73555
0.64,0.65718,0.20709,0.73555
0.66,0.65827,0.20700,0.73473
0.68,0.66027,0.20700,0.73400
0.70,0.66318,0.20700,0.73327
0.72,0.66509,0.20709,0.73336
0.74,0.66791,0.20800,0.73255
0.76,0.66891,0.20809,0.73264
0.78,0.66800,0.20809,0.73264
0.80,0.66618,0.20709,0.73273
0.82,0.66436,0.20627,0.73373
0.84,0.66636,0.20618,0.73291
0.86,0.66927,0.20618,0.73218
0.88,0.66936,0.20600,0.73127
0.90,0.66745,0.20582,0.73118
0.92,0.66364,0.20573,0.73182
0.94,0.66273,0.20482,0.73191
0.96,0.66200,0.20364,0.73109
0.98,0.66209,0.20255,0.73036
1.00,0.66409,0.20245,0.72955
1.02,0.66609,0.20236,0.72873
1.04,0.67000,0.20227,0.72718
1.06,0.67100,0.20218,0.72636
1.08,0.67100,0.20218,0.72636
1.10,0.67000,0.20209,0.72636
1.12,0.66909,0.20136,0.72736
1.14,0.67209,0.19964,0.72700
1.16,0.67118,0.19864,0.72718
1.18,0.66555,0.19755,0.72791
1.20,0.65991,0.19809,0.72736
1.22,0.65527,0.19773,0.72709
1.24,0.65255,0.19736,0.72600
1.26,0.64964,0.19736,0.72673
1.28,0.64764,0.19736,0.72755
1.30,0.64573,0.19718,0.72745
1.32,0.64764,0.19736,0.72755
1.34,0.64855,0.19809,0.72655
1.36,0.64736,0.19991,0.72700
1.38,0.65209,0.20164,0.72518
1.40,0.66045,0.20291,0.72464
1.42,0.66609,0.20327,0.72500
1.44,0.67073,0.20436,0.72418
1.46,0.67627,0.20473,0.72464
1.48,0.68191,0.20582,0.72391
1.50,0.68564,0.20682,0.72309
1.52,0.68473,0.20745,0.72191
