Time,Lateral,Vertical,Longitudinal
0,-0.04434,0.99298,-0.10513
0.02,-0.0444,0.99371,-0.10458
0.04,-0.04419,0.99449,-0.10417
0.06,-0.04466,0.9944,-0.10363
0.08,-0.04518,0.99385,-0.10329
0.1,-0.04565,0.99319,-0.10257
0.12,-0.04525,0.99288,-0.1016
0.14,-0.04494,0.99256,-0.1009
0.16,-0.04475,0.99245,-0.1009
0.18,-0.04528,0.99208,-0.10074
0.2,-0.04626,0.99128,-0.09989
0.22,-0.04734,0.98997,-0.09816
0.24,-0.04915,0.98897,-0.0966
0.26,-0.05238,0.98828,-0.0953
0.28,-0.05571,0.98937,-0.09531
0.3,-0.05822,0.99136,-0.0961
0.32,-0.05797,0.99268,-0.09686
0.34,-0.05664,0.9921,-0.09627
0.36,-0.05532,0.99058,-0.09536
0.38,-0.0538,0.99046,-0.09478
0.4,-0.05105,0.99173,-0.09457
0.42,-0.04594,0.99337,-0.09448
0.44,-0.0393,0.99491,-0.0953
0.46,-0.03197,0.99655,-0.09602
0.48,-0.02332,0.99859,-0.09593
0.5,-0.01411,0.99998,-0.09404
0.52,-0.00652,1.00161,-0.09037
0.54,-0.00297,1.00445,-0.08714
0.56,-0.00194,1.00748,-0.08614
0.58,-0.00142,1.00868,-0.08485
0.6,-0.00206,1.00692,-0.08201
0.62,-0.00343,1.00496,-0.07572
0.64,-0.00843,1.00373,-0.06559
0.66,-0.02204,1.00166,-0.05578
0.68,-0.04352,1.00314,-0.04807
0.7,-0.07031,1.0091,-0.05062
0.72,-0.09051,1.01725,-0.06252
0.74,-0.10325,1.02141,-0.07303
0.76,-0.10233,1.0215,-0.08094
0.78,-0.08384,1.01717,-0.07785
0.8,-0.07839,1.00953,-0.06612
0.82,-0.07798,1.00317,-0.05587
0.84,-0.08299,0.99261,-0.05316
0.86,-0.08794,0.98285,-0.05478
0.88,-0.08334,0.98028,-0.05642
0.9,-0.06807,0.97808,-0.05574
0.92,-0.04332,0.97304,-0.03956
0.94,-0.02335,0.96521,-0.01279
0.96,-0.01608,0.9635,0.01011
0.98,-0.02519,0.96564,0.02605
1,-0.0529,0.97076,0.02035
1.02,-0.06637,0.97958,0.00316
1.04,-0.07054,0.9859,-0.00869
1.06,-0.068,0.99545,-0.01372
1.08,-0.05788,1.00349,-0.01464
1.1,-0.05124,1.00565,-0.0122
1.12,-0.04834,1.00242,-0.00804
1.14,-0.04795,0.99621,-0.01284
1.16,-0.04805,0.99132,-0.02434
1.18,-0.03927,0.98171,-0.03501
1.2,-0.02248,0.97791,-0.03907
1.22,-0.00855,0.98252,-0.03271
1.24,-0.00355,0.98837,-0.02445
1.26,-0.00638,0.99357,-0.02336
1.28,-0.01276,0.99394,-0.02512
1.3,-0.02323,0.99326,-0.02709
1.32,-0.03246,0.99247,-0.03118
1.34,-0.04099,0.99175,-0.03785
1.36,-0.04649,0.98698,-0.04502
1.38,-0.04576,0.98649,-0.04868
1.4,-0.04399,0.98931,-0.05135
1.42,-0.05198,0.99395,-0.05566
1.44,-0.06001,0.99336,-0.05987
1.46,-0.06514,0.99374,-0.0628
1.48,-0.06431,0.9911,-0.06248
1.5,-0.0587,0.99201,-0.06407
1.52,-0.05405,0.99212,-0.07136
1.54,-0.04436,0.99264,-0.0817
1.56,-0.03737,0.99516,-0.09554
1.58,-0.03835,1.00526,-0.10922
1.6,-0.04856,1.00808,-0.11954
1.62,-0.05321,1.0066,-0.12628
1.64,-0.05216,0.99218,-0.12416
1.66,-0.04625,0.97591,-0.11809
1.68,-0.03397,0.96689,-0.10942
1.7,-0.02409,0.97562,-0.10033
1.72,-0.02041,0.99693,-0.08614
1.74,-0.02473,1.01163,-0.07214
1.76,-0.03687,1.00614,-0.05937
1.78,-0.03666,0.9975,-0.04937
1.8,-0.02619,1.00058,-0.0406
1.82,-0.01757,1.00266,-0.03583
1.84,-0.02391,1.00099,-0.03017
1.86,-0.02766,1.00571,-0.02596
1.88,-0.02716,1.01751,-0.0246
1.9,-0.03212,1.0236,-0.03775
1.92,-0.04176,1.01572,-0.06076
1.94,-0.04495,0.99531,-0.0798
1.96,-0.03977,0.98527,-0.09245
1.98,-0.0328,0.99635,-0.09741
2,-0.03794,1.01064,-0.09619
2.02,-0.05194,1.00654,-0.09263
2.04,-0.06239,1.00196,-0.08866
2.06,-0.0659,1.00064,-0.08945
2.08,-0.06852,0.99636,-0.09778
2.1,-0.07176,0.99197,-0.10475
2.12,-0.071,0.98787,-0.10009
2.14,-0.06548,0.98609,-0.08629
2.16,-0.06171,0.98458,-0.078
2.18,-0.05887,0.97907,-0.07453
2.2,-0.05668,0.96933,-0.07502
2.22,-0.05194,0.95787,-0.07435
2.24,-0.04537,0.95579,-0.0716
2.26,-0.04027,0.96868,-0.07144
2.28,-0.04238,0.9865,-0.07764
2.3,-0.0524,1.00077,-0.08661
2.32,-0.06163,0.99884,-0.09035
2.34,-0.06999,0.99163,-0.09171
2.36,-0.07211,0.98702,-0.09037
2.38,-0.07692,0.99022,-0.09334
2.4,-0.0832,0.99782,-0.09837
2.42,-0.08827,1.00527,-0.10294
2.44,-0.09178,1.01221,-0.10765
2.46,-0.09231,1.01091,-0.10927
2.48,-0.09107,0.99895,-0.10756
2.5,-0.08537,0.98663,-0.102
2.52,-0.075,0.98093,-0.0947
2.54,-0.07086,0.98508,-0.09444
2.56,-0.06884,0.99236,-0.09652
2.58,-0.07334,0.99897,-0.10102
2.6,-0.0764,1.00099,-0.10173
2.62,-0.08037,1.00514,-0.09881
2.64,-0.08743,1.00996,-0.09929
2.66,-0.09482,1.01365,-0.10139
2.68,-0.1015,1.01872,-0.10638
2.7,-0.10411,1.02335,-0.11089
2.72,-0.10119,1.02509,-0.11108
2.74,-0.09357,1.01937,-0.10579
2.76,-0.0805,1.00913,-0.09398
2.78,-0.06222,1.00008,-0.08115
2.8,-0.04853,0.99758,-0.06984
2.82,-0.0436,0.99584,-0.06358
2.84,-0.04116,0.98257,-0.06374
2.86,-0.03346,0.96761,-0.06349
2.88,-0.02077,0.9626,-0.05611
2.9,-0.01162,0.96064,-0.04678
2.92,-0.00775,0.95818,-0.03783
2.94,-0.00636,0.95378,-0.03057
2.96,-0.0092,0.95093,-0.02708
2.98,-0.01935,0.94797,-0.02915
3,-0.03293,0.94197,-0.03645
3.02,-0.03628,0.96546,-0.04558
3.04,-0.03442,0.99749,-0.05673
3.06,-0.03783,1.01425,-0.06305
3.08,-0.04877,1.01192,-0.05743
3.1,-0.05281,0.98395,-0.04823
3.12,-0.04553,0.9707,-0.0371
3.14,-0.04196,0.96461,-0.03522
3.16,-0.04427,0.96593,-0.04402
3.18,-0.03979,0.97684,-0.0544
3.2,-0.02929,1.00984,-0.06152
3.22,-0.03202,1.04238,-0.06729
3.24,-0.05019,1.0188,-0.06819
3.26,-0.06678,0.96857,-0.05817
3.28,-0.06583,0.94773,-0.04051
3.3,-0.0515,0.95884,-0.03795
3.32,-0.04352,0.99108,-0.05384
3.34,-0.04994,1.01323,-0.07494
3.36,-0.05509,1.02301,-0.08313
3.38,-0.05547,1.02358,-0.07748
3.4,-0.06479,1.01927,-0.07179
3.42,-0.07712,0.99922,-0.06977
3.44,-0.07812,0.98122,-0.06523
3.46,-0.07015,0.9811,-0.0636
3.48,-0.05954,0.99792,-0.06666
3.5,-0.0533,1.00824,-0.07689
3.52,-0.0536,1.00917,-0.08297
3.54,-0.05964,1.00642,-0.07933
3.56,-0.06364,0.9964,-0.07378
3.58,-0.06547,0.99149,-0.07212
3.6,-0.06802,0.99228,-0.07267
3.62,-0.06887,0.99188,-0.07262
3.64,-0.06965,0.99164,-0.07355
3.66,-0.06869,0.99251,-0.07328
3.68,-0.06605,0.99349,-0.07401
3.7,-0.06441,0.99394,-0.07489
3.72,-0.06523,0.99381,-0.07447
3.74,-0.06694,0.9924,-0.07317
3.76,-0.06997,0.99184,-0.07278
3.78,-0.07139,0.99189,-0.07243
3.8,-0.0717,0.99188,-0.07193
3.82,-0.07115,0.99251,-0.07201
3.84,-0.07128,0.99436,-0.0725
3.86,-0.07064,0.99494,-0.07173
3.88,-0.0707,0.99641,-0.07225
3.9,-0.07128,1.00116,-0.07071
3.92,-0.07345,1.0109,-0.06984
3.94,-0.07901,1.02638,-0.07209
3.96,-0.08608,1.03757,-0.07439
3.98,-0.08884,1.03887,-0.07501
4,-0.08529,1.02802,-0.07507
4.02,-0.07411,1.01149,-0.07074
4.04,-0.05984,0.99585,-0.06244
4.06,-0.0487,0.98933,-0.05175
4.08,-0.04785,0.99326,-0.04565
4.1,-0.0498,1.00707,-0.04489
4.12,-0.04694,1.02325,-0.04829
4.14,-0.04175,1.01343,-0.04895
4.16,-0.02918,0.97622,-0.04115
4.18,-0.00621,0.94456,-0.0243
4.2,0.01175,0.94029,-0.00912
4.22,0.01317,0.96004,-0.00462
4.24,0.00497,0.98828,-0.01237
