Time,Lateral,Vertical,Longitudinal
0.00,-0.66622,0.80339,0.33870
0.02,-0.65393,0.81831,0.33946
0.04,-0.60703,0.80771,0.33858
0.06,-0.57344,0.79307,0.34238
0.08,-0.55999,0.78525,0.34629
0.10,-0.55945,0.78329,0.34839
0.12,-0.54785,0.79830,0.35362
0.14,-0.53795,0.80551,0.35789
0.16,-0.53499,0.80309,0.36157
0.18,-0.53169,0.79367,0.36928
0.20,-0.52411,0.77526,0.37690
0.22,-0.50183,0.74733,0.38238
0.24,-0.49223,0.73502,0.38970
0.26,-0.51095,0.74317,0.39620
0.28,-0.52150,0.75977,0.40088
0.30,-0.51268,0.77244,0.40563
0.32,-0.48849,0.77964,0.41252
0.34,-0.46090,0.78954,0.41873
0.36,-0.43345,0.80484,0.42714
0.38,-0.39891,0.82049,0.43576
0.40,-0.36334,0.83755,0.44397
0.42,-0.32543,0.85301,0.45364
0.44,-0.29060,0.86402,0.46503
0.46,-0.26194,0.87235,0.47311
0.48,-0.23503,0.87775,0.48795
0.50,-0.21648,0.87925,0.50221
0.52,-0.20593,0.87779,0.52888
0.54,-0.19532,0.87729,0.54383
0.56,-0.18221,0.87581,0.55435
0.58,-0.17244,0.87163,0.56268
0.60,-0.16646,0.86956,0.56737
0.62,-0.15657,0.86383,0.56700
0.64,-0.14854,0.85814,0.56054
0.66,-0.13829,0.85483,0.54777
0.68,-0.12583,0.85250,0.53926
0.70,-0.11134,0.85213,0.52797
0.72,-0.09360,0.85457,0.51862
0.74,-0.07362,0.85822,0.49739
0.76,-0.05739,0.85883,0.48468
0.78,-0.04347,0.85643,0.47624
0.80,-0.02876,0.85271,0.46938
0.82,-0.01274,0.84926,0.46744
0.84,0.00068,0.84703,0.46885
0.86,0.01267,0.84533,0.47457
0.88,0.02465,0.84196,0.48443
0.90,0.03790,0.83828,0.49486
0.92,0.05177,0.83011,0.50265
0.94,0.06512,0.81931,0.50760
0.96,0.07561,0.81068,0.51158
0.98,0.08651,0.80445,0.51868
1.00,0.09491,0.79997,0.52483
1.02,0.10615,0.79690,0.53027
1.04,0.11582,0.79305,0.53571
1.06,0.12262,0.79177,0.53755
1.08,0.13902,0.78574,0.53037
1.10,0.14331,0.78062,0.53799
1.12,0.14524,0.78103,0.53932
1.14,0.15064,0.78226,0.54150
1.16,0.15449,0.78365,0.54323
1.18,0.16268,0.78226,0.55051
1.20,0.17416,0.78089,0.54074
1.22,0.17762,0.78212,0.53772
1.24,0.17737,0.78725,0.53845
1.26,0.17717,0.79128,0.53690
1.28,0.17399,0.79561,0.53834
1.30,0.15823,0.80155,0.54670
1.32,0.16270,0.80800,0.54030
1.34,0.16378,0.81200,0.53915
1.36,0.15040,0.82195,0.53266
1.38,0.15041,0.82549,0.53941
1.40,0.15082,0.82341,0.53908
1.42,0.14508,0.82491,0.54996
1.44,0.14577,0.81917,0.56671
1.46,0.14211,0.81087,0.57901
1.48,0.15459,0.79359,0.60205
1.50,0.16299,0.77700,0.62247
1.52,0.16734,0.76809,0.63928
1.54,0.16041,0.75998,0.65176
1.56,0.15818,0.75104,0.66019
1.58,0.17024,0.73994,0.66436
1.60,0.18721,0.72964,0.66165
1.62,0.16083,0.73574,0.65245
1.64,0.15169,0.74108,0.63871
1.66,0.14927,0.73995,0.63051
1.68,0.15221,0.74346,0.62110
1.70,0.14128,0.75942,0.60513
1.72,0.13497,0.77507,0.58893
1.74,0.13447,0.78410,0.57698
1.76,0.13656,0.79032,0.56892
1.78,0.13771,0.79404,0.56570
1.80,0.13647,0.79419,0.57217
1.82,0.11639,0.79992,0.57136
1.84,0.13836,0.79671,0.57801
1.86,0.14485,0.79008,0.59364
1.88,0.14604,0.79518,0.59416
1.90,0.14176,0.79498,0.59414
1.92,0.13988,0.79225,0.59114
1.94,0.13892,0.79016,0.59029
1.96,0.13847,0.79017,0.59070
1.98,0.13714,0.79154,0.59148
2.00,0.13571,0.79303,0.59181
2.02,0.13364,0.79397,0.59227
2.04,0.13214,0.79530,0.59496
2.06,0.12864,0.79728,0.59745
2.08,0.12461,0.79948,0.60015
2.10,0.11971,0.80015,0.60005
2.12,0.12169,0.79864,0.60155
2.14,0.12064,0.79606,0.60208
2.16,0.12117,0.79073,0.60277
2.18,0.12214,0.78493,0.60273
2.20,0.12531,0.78023,0.59979
2.22,0.12667,0.77602,0.59962
2.24,0.12662,0.77398,0.59739
2.26,0.12904,0.77259,0.59437
2.28,0.13301,0.77141,0.59329
2.30,0.13521,0.77271,0.59121
2.32,0.13624,0.77452,0.58958
2.34,0.13746,0.77701,0.58819
2.36,0.14034,0.78000,0.58777
2.38,0.14277,0.78341,0.58715
2.40,0.14356,0.78701,0.58519
2.42,0.14218,0.79005,0.58650
2.44,0.14151,0.79295,0.58621
2.46,0.14164,0.79515,0.58670
2.48,0.14238,0.79550,0.58759
2.50,0.14400,0.79481,0.58685
2.52,0.14686,0.79244,0.58558
2.54,0.14960,0.78559,0.57963
2.56,0.15337,0.78218,0.58385
2.58,0.15288,0.78447,0.58621
2.60,0.14974,0.78628,0.58618
2.62,0.15171,0.78469,0.58743
2.64,0.15304,0.78308,0.58795
2.66,0.15340,0.78267,0.58734
2.68,0.15474,0.78171,0.58819
2.70,0.15439,0.78196,0.58811
2.72,0.15168,0.78331,0.58776
2.74,0.14862,0.78460,0.58879
2.76,0.14795,0.79030,0.59489
2.78,0.14563,0.79311,0.59160
2.80,0.14547,0.79060,0.58912
2.82,0.14780,0.78904,0.58907
2.84,0.14747,0.79023,0.58916
2.86,0.14722,0.79154,0.58899
2.88,0.14814,0.79209,0.58927
2.90,0.14823,0.79229,0.58927
2.92,0.14732,0.79231,0.58847
2.94,0.14649,0.79196,0.58778
2.96,0.14747,0.79072,0.58777
2.98,0.14709,0.78999,0.58700
3.00,0.14606,0.78908,0.58624
3.02,0.14503,0.78031,0.57657
3.04,0.14500,0.77637,0.58933
3.06,0.14376,0.77774,0.59072
3.08,0.14333,0.77836,0.59133
3.10,0.14105,0.77849,0.58996
3.12,0.13915,0.77946,0.58729
3.14,0.13952,0.78010,0.58639
3.16,0.14180,0.78046,0.58679
3.18,0.14330,0.78218,0.58796
3.20,0.14415,0.78379,0.58877
3.22,0.14517,0.78495,0.58864
3.24,0.14548,0.79357,0.59782
3.26,0.14577,0.79718,0.58469
3.28,0.14692,0.79642,0.58208
3.30,0.14685,0.79760,0.58074
3.32,0.14751,0.79848,0.58139
3.34,0.14868,0.79773,0.58285
3.36,0.14830,0.79704,0.58321
3.38,0.14648,0.79716,0.58225
3.40,0.14402,0.79701,0.58084
3.42,0.14282,0.79630,0.58048
3.44,0.14227,0.79594,0.58019
3.46,0.14071,0.79532,0.58048
3.48,0.14067,0.79321,0.58126
3.50,0.14001,0.79192,0.58224
3.52,0.13915,0.78966,0.58334
3.54,0.13849,0.78817,0.58371
3.56,0.13810,0.78720,0.58363
3.58,0.13828,0.78696,0.58391
3.60,0.13637,0.78687,0.58457
3.62,0.13502,0.78747,0.58486
3.64,0.13432,0.78830,0.58609
3.66,0.13343,0.78929,0.58719
3.68,0.13346,0.79023,0.58776
3.70,0.13104,0.79247,0.58744
3.72,0.12979,0.79335,0.58818
3.74,0.12936,0.79446,0.58863
3.76,0.12902,0.79500,0.59001
3.78,0.12775,0.79506,0.59176
3.80,0.12482,0.79333,0.59373
3.82,0.12695,0.79101,0.59279
3.84,0.12644,0.78870,0.59173
3.86,0.12961,0.78803,0.59273
3.88,0.12405,0.79188,0.59219
3.90,0.12209,0.79351,0.59228
3.92,0.12265,0.79435,0.59158
3.94,0.12203,0.79534,0.59146
3.96,0.12311,0.79503,0.59101
3.98,0.12434,0.79302,0.59011
4.00,0.12438,0.79086,0.58873
4.02,0.12510,0.79068,0.58743
4.04,0.12267,0.79146,0.58963
4.06,0.12333,0.79239,0.59162
4.08,0.12033,0.79265,0.59021
4.10,0.12488,0.78813,0.58991
4.12,0.12528,0.78572,0.58962
4.14,0.12488,0.78377,0.59028
4.16,0.12665,0.78162,0.58860
4.18,0.12706,0.78035,0.58543
4.20,0.12761,0.78128,0.58132
4.22,0.12882,0.78385,0.57692
4.24,0.13385,0.78635,0.57170
4.26,0.14082,0.78670,0.56337
4.28,0.15301,0.78531,0.55096
4.30,0.17133,0.78224,0.53408
4.32,0.19748,0.77581,0.51344
4.34,0.22935,0.76540,0.48911
