Time,Lateral,Vertical,Longitudinal
0,0.81969,-0.31382,0.4763
0.02,0.82177,-0.31133,0.47541
0.04,0.82201,-0.30786,0.47359
0.06,0.82176,-0.30398,0.47216
0.08,0.82114,-0.3011,0.47244
0.1,0.82178,-0.30246,0.47371
0.12,0.82298,-0.30859,0.47343
0.14,0.82602,-0.3062,0.47463
0.16,0.82874,-0.30785,0.47448
0.18,0.82937,-0.31136,0.47516
0.2,0.83103,-0.31269,0.47444
0.22,0.83307,-0.31625,0.46933
0.24,0.83484,-0.32719,0.46558
0.26,0.83911,-0.34359,0.46192
0.28,0.84317,-0.37851,0.44456
0.3,0.84569,-0.40545,0.44584
0.32,0.84803,-0.43936,0.43294
0.34,0.8477,-0.46608,0.42949
0.36,0.853,-0.49027,0.42408
0.38,0.85503,-0.51501,0.41811
0.4,0.85595,-0.53428,0.41334
0.42,0.85903,-0.53604,0.41338
0.44,0.87241,-0.51669,0.40955
0.46,0.89303,-0.48331,0.38739
0.48,0.90876,-0.44678,0.34581
0.5,0.90836,-0.4117,0.311
0.52,0.89263,-0.38622,0.25331
0.54,0.85891,-0.32614,0.2036
0.56,0.80839,-0.24606,0.15449
0.58,0.73784,-0.13718,0.11672
0.6,0.65299,-0.00203,0.07525
0.62,0.55061,0.14553,0.02213
0.64,0.43588,0.29654,-0.04266
0.66,0.29939,0.45081,-0.11686
0.68,0.17624,0.59631,-0.16771
0.7,0.07009,0.72291,-0.18996
0.72,-0.03469,0.86853,-0.19793
0.74,-0.14448,1.02361,-0.19269
0.76,-0.22744,1.13734,-0.16383
0.78,-0.27478,1.21733,-0.1354
0.8,-0.28996,1.28873,-0.11995
0.82,-0.28366,1.33304,-0.09462
0.84,-0.23843,1.3706,-0.05662
0.86,-0.22557,1.3936,-0.02766
0.88,-0.21239,1.32205,0.05298
0.9,-0.20466,1.20004,0.14439
0.92,-0.17931,1.2047,0.19276
0.94,-0.13337,1.25052,0.21222
0.96,-0.07907,1.21476,0.20881
0.98,-0.02661,1.14467,0.20472
1,0.03105,1.04888,0.19083
1.02,0.06564,0.99405,0.13035
1.04,0.08284,0.99881,0.1024
1.06,0.05635,0.94899,0.07937
1.08,0.06481,0.88248,0.07358
1.1,0.08575,0.91334,0.03082
1.12,0.10414,1.00248,-0.02835
1.14,0.10033,0.97299,-0.03995
1.16,0.08513,0.89429,-0.02901
1.18,0.08811,0.88363,-0.00786
1.2,0.07873,0.92425,-0.0073
1.22,0.04014,1.00001,-0.01353
1.24,0.0091,1.01357,0.0323
1.26,-0.00845,0.97065,0.03994
1.28,-0.00189,0.97685,0.03953
1.3,0.01413,0.99703,0.03882
1.32,0.03019,0.99299,0.03929
1.34,0.0315,0.97822,0.04171
1.36,0.02113,0.97378,0.03072
1.38,0.01844,0.97647,0.01798
1.4,0.01087,0.98567,0.00875
1.42,0.00758,0.9955,0.002
1.44,0.01222,1.00405,0.00109
1.46,0.01264,1.01174,-0.00057
1.48,0.01296,1.01456,-0.00042
1.5,0.00975,1.01214,0.00247
1.52,0.00664,1.00763,0.00228
1.54,0.0029,1.00402,0.00183
1.56,-0.00005,1.00035,0.00195
1.58,0.00024,0.99854,0.00265
1.6,-0.00129,0.99817,0.00361
1.62,-0.00061,0.99668,0.00389
1.64,-0.00145,0.99465,0.00378
1.66,-0.00204,0.99314,0.00661
1.68,-0.0019,0.99172,0.00863
1.7,-0.00093,0.99276,0.00955
1.72,0.00101,0.99473,0.00827
1.74,0.00283,0.99665,0.00734
1.76,0.00402,0.99799,0.0068
1.78,0.00485,0.9993,0.00618
1.8,0.00604,1.00012,0.00501
1.82,0.0069,0.99956,0.00498
1.84,0.00583,0.9994,0.00497
1.86,0.0068,1.00057,0.00605
1.88,0.00633,1.00065,0.00567
1.9,0.00729,0.9992,0.00501
1.92,0.00667,0.99862,0.0054
1.94,0.00712,0.99721,0.00545
1.96,0.00724,0.99672,0.00474
1.98,0.0086,0.99525,0.00409
2,0.01045,0.9945,0.00352
2.02,0.01106,0.99447,0.00354
2.04,0.01135,0.99535,0.00349
2.06,0.01179,0.99628,0.00309
2.08,0.01194,0.99673,0.00293
2.1,0.01251,0.99643,0.00248
2.12,0.01364,0.99636,0.00152
2.14,0.01373,0.99506,-0.00105
2.16,0.01365,0.99381,-0.00228
2.18,0.01439,0.99225,-0.00137
2.2,0.01297,0.99192,-0.00092
2.22,0.01204,0.9926,-0.00105
2.24,0.01143,0.99417,-0.00107
2.26,0.01182,0.99543,-0.0018
2.28,0.01256,0.99578,-0.00258
2.3,0.01276,0.99483,-0.00443
2.32,0.01114,0.99428,-0.00554
2.34,0.01077,0.99362,-0.00667
2.36,0.01117,0.9939,-0.00585
2.38,0.01118,0.99452,-0.00653
2.4,0.01098,0.99497,-0.00558
2.42,0.01054,0.9957,-0.00475
2.44,0.00904,0.9948,-0.00398
2.46,0.00728,0.99259,-0.00398
2.48,0.00552,0.99117,-0.00373
2.5,0.00405,0.99082,-0.00315
2.52,0.00343,0.99169,-0.00245
2.54,0.00467,0.99324,-0.00274
2.56,0.00408,0.9946,-0.00216
2.58,0.00375,0.99511,-0.00243
2.6,0.00353,0.99634,-0.00096
2.62,0.00186,0.99783,-0.00105
2.64,0.0013,0.99835,-0.00148
2.66,0.0023,0.99949,-0.00143
2.68,0.003,0.9998,-0.00112
2.7,0.00368,0.99899,-0.00104
2.72,0.00334,0.99901,-0.00047
2.74,0.00184,0.99831,0.00039
2.76,0.00103,0.99733,0.00127
2.78,-0.00016,0.99715,0.00107
2.8,-0.0006,0.99755,0.00137
2.82,-0.00064,0.99649,0.00093
2.84,-0.00023,0.99516,-0.0002
2.86,0.00008,0.994,-0.00071
2.88,-0.0005,0.99352,-0.00121
2.9,-0.00007,0.99451,-0.0014
2.92,-0.00012,0.99487,-0.00054
2.94,0.00028,0.99446,-0.00099
2.96,0.0015,0.99548,-0.00164
2.98,0.00184,0.99625,-0.00196
3,0.00325,0.99689,-0.00162
3.02,0.00335,0.99658,-0.00141
3.04,0.00282,0.9971,-0.00168
3.06,0.00302,0.99811,-0.00231
3.08,0.00345,0.99904,-0.00271
3.1,0.00379,0.99795,-0.00356
3.12,0.00278,0.99637,-0.00429
3.14,0.00285,0.99641,-0.00496
3.16,0.0024,0.99562,-0.00509
3.18,0.00246,0.99451,-0.00528
3.2,0.00303,0.99472,-0.00483
3.22,0.00249,0.99403,-0.00457
3.24,0.00336,0.99437,-0.00565
3.26,0.00345,0.99506,-0.00581
3.28,0.00299,0.99265,-0.00491
3.3,0.00429,0.99418,-0.00435
3.32,0.0031,0.99473,-0.00453
3.34,0.00414,0.99629,-0.00482
3.36,0.00365,0.99676,-0.00516
3.38,0.00437,0.99749,-0.00492
3.4,0.00389,0.99711,-0.00571
3.42,0.00302,0.99618,-0.00693
3.44,0.00363,0.99582,-0.00744
3.46,0.00228,0.99557,-0.00674
3.48,0.00273,0.99502,-0.0065
3.5,0.00328,0.99689,-0.00605
3.52,0.00139,0.99492,-0.00661
3.54,0.00193,0.99478,-0.00587
3.56,0.00093,0.99425,-0.00389
3.58,0.0012,0.99466,-0.00381
3.6,0.00093,0.99473,-0.00418
3.62,0.00144,0.99567,-0.00427
3.64,0.0022,0.99666,-0.00357
3.66,0.00121,0.99677,-0.00297
3.68,0.00115,0.99654,-0.00267
3.7,0.00032,0.99657,-0.00216
3.72,-0.00025,0.99684,-0.00289
3.74,-0.0005,0.99696,-0.00262
3.76,-0.00031,0.99747,-0.00242
3.78,-0.00066,0.9968,-0.00312
3.8,-0.00152,0.99609,-0.00278
3.82,-0.00181,0.99662,-0.00317
3.84,-0.00297,0.99735,-0.00254
3.86,-0.00309,0.99678,-0.00239
3.88,-0.00293,0.9971,-0.0027
3.9,-0.00286,0.99702,-0.0038
3.92,-0.0024,0.99617,-0.00463
3.94,-0.00251,0.99573,-0.00432
3.96,-0.00191,0.99648,-0.00406
3.98,-0.00197,0.99753,-0.00408
4,-0.00152,0.99826,-0.00416
4.02,-0.00098,0.99876,-0.00479
4.04,-0.0009,0.99839,-0.00522
4.06,-0.00038,0.99741,-0.00564
4.08,-0.00128,0.99673,-0.0067
4.1,-0.00084,0.99589,-0.00796
4.12,-0.00028,0.9959,-0.0076
4.14,0.00046,0.99682,-0.00727
4.16,0.0007,0.99736,-0.00745
4.18,0.00121,0.99745,-0.00801
4.2,0.00064,0.99638,-0.00865
4.22,0.00034,0.99572,-0.00947
4.24,0.00099,0.99573,-0.01054
4.26,0.00083,0.99562,-0.01082
4.28,0.00148,0.99522,-0.01139
4.3,0.00268,0.99516,-0.01205
4.32,0.00258,0.99535,-0.01241
4.34,0.00269,0.99585,-0.01251
4.36,0.00249,0.99633,-0.0128
4.38,0.00223,0.99699,-0.0126
4.4,0.00175,0.99659,-0.01242
4.42,0.00209,0.99644,-0.01314
4.44,0.0031,0.99596,-0.01477
4.46,0.00325,0.99456,-0.01572
4.48,0.00398,0.99404,-0.01642
4.5,0.00393,0.99463,-0.01643
4.52,0.00322,0.99536,-0.01591
4.54,0.00323,0.9958,-0.01522
4.56,0.00348,0.99582,-0.01561
4.58,0.00338,0.99507,-0.01609
4.6,0.00395,0.99341,-0.0179
