Time,Lateral,Vertical,Longitudinal
0,-0.65917,0.6791,0.21975
0.02,-0.67362,0.66089,0.25016
0.04,-0.67437,0.67575,0.25132
0.06,-0.67012,0.69399,0.25519
0.08,-0.66927,0.69391,0.26722
0.1,-0.67193,0.68361,0.26943
0.12,-0.67159,0.68349,0.26646
0.14,-0.67031,0.67777,0.3127
0.16,-0.66629,0.65741,0.31903
0.18,-0.67058,0.64792,0.30895
0.2,-0.66753,0.66203,0.32329
0.22,-0.67031,0.67857,0.34009
0.24,-0.66564,0.67888,0.32692
0.26,-0.66276,0.65971,0.32544
0.28,-0.65432,0.64623,0.32202
0.3,-0.6493,0.67132,0.30276
0.32,-0.64031,0.71196,0.29308
0.34,-0.63905,0.69886,0.29522
0.36,-0.62474,0.6778,0.27701
0.38,-0.61996,0.69106,0.26446
0.4,-0.5991,0.71099,0.2479
0.42,-0.59005,0.73973,0.20836
0.44,-0.57219,0.77598,0.19217
0.46,-0.53679,0.79702,0.1847
0.48,-0.50363,0.7942,0.18643
0.5,-0.46289,0.80011,0.19702
0.52,-0.40913,0.8372,0.21789
0.54,-0.34705,0.89152,0.20917
0.56,-0.29528,0.97079,0.18352
0.58,-0.26513,1.00489,0.17676
0.6,-0.20999,0.98545,0.15206
0.62,-0.20174,0.98129,0.13404
0.64,-0.1402,0.97004,0.13939
0.66,-0.09225,0.98061,0.13099
0.68,-0.05266,1.0263,0.13655
0.7,-0.03702,1.0768,0.13902
0.72,-0.0349,1.08207,0.09931
0.74,-0.02109,1.04535,0.05066
0.76,-0.01864,1.00275,0.03095
0.78,-0.00897,0.9686,0.02531
0.8,-0.01578,0.96637,0.02076
0.82,-0.04181,0.99539,0.04191
0.84,-0.01948,1.01225,0.05715
0.86,-0.04684,1.03026,0.05791
0.88,-0.06036,1.01103,0.04711
0.9,-0.074,0.98528,0.03056
0.92,-0.08219,0.97814,0.01208
0.94,-0.09327,0.98919,0.01701
0.96,-0.11512,0.98473,0.03552
0.98,-0.13715,0.97057,0.0573
1,-0.14209,0.9707,0.05804
1.02,-0.13107,0.99011,0.05574
1.04,-0.11041,1.00735,0.05122
1.06,-0.10715,1.00541,0.05156
1.08,-0.10275,0.99248,0.05222
1.1,-0.09857,0.99112,0.05004
1.12,-0.10106,0.99978,0.04553
1.14,-0.08687,0.9957,0.04378
1.16,-0.07666,0.99174,0.05083
1.18,-0.07315,1.00216,0.04619
1.2,-0.06771,1.01142,0.04081
1.22,-0.07286,1.01304,0.0488
1.24,-0.06939,0.99798,0.04752
1.26,-0.06412,0.99331,0.04081
1.28,-0.05365,1.00299,0.04004
1.3,-0.04658,1.00935,0.03985
1.32,-0.0581,1.00828,0.04086
1.34,-0.05454,0.99551,0.03948
1.36,-0.05043,0.99655,0.04061
1.38,-0.04528,1.00985,0.0355
1.4,-0.04141,1.00673,0.03625
1.42,-0.04559,0.99771,0.03891
1.44,-0.0421,0.9947,0.03529
1.46,-0.03918,1.00224,0.03479
1.48,-0.03829,1.0039,0.03482
1.5,-0.04247,0.99952,0.03354
1.52,-0.04377,0.99905,0.0345
1.54,-0.03197,0.99639,0.03461
1.56,-0.03884,0.9971,0.03545
1.58,-0.04178,1.00026,0.03298
1.6,-0.03419,0.99954,0.03523
1.62,-0.03362,1.00045,0.03292
1.64,-0.02493,1.00124,0.02404
1.66,-0.0242,1.00491,0.02131
1.68,-0.01966,1.00601,0.01824
1.7,-0.01548,1.0066,0.01986
1.72,-0.0114,1.00656,0.02194
1.74,-0.00751,1.00558,0.02014
1.76,-0.00955,1.00759,0.02099
1.78,-0.00353,1.00454,0.01697
1.8,0.00447,0.99764,0.00889
1.82,0.00205,1.0034,0.01184
1.84,0.00132,1.00761,0.02022
1.86,0.0016,0.99978,0.02068
1.88,0.00072,0.99558,0.01487
1.9,-0.00174,0.99785,0.01752
1.92,-0.00491,0.99964,0.02028
1.94,-0.00494,0.99799,0.01488
1.96,-0.0062,0.9983,0.01873
1.98,-0.00679,0.99959,0.01868
2,-0.00183,1.00893,0.01225
2.02,-0.00245,1.01322,0.02958
2.04,-0.00944,1.00294,0.03167
2.06,-0.01244,0.99708,0.00738
2.08,-0.00744,1.00151,0.01171
2.1,-0.00459,1.00845,0.03461
2.12,-0.00981,1.00641,0.02522
2.14,-0.00383,1.0019,0.01701
2.16,-0.00805,1.00659,0.03224
2.18,-0.01176,1.00856,0.02436
2.2,-0.00251,1.00618,0.02055
2.22,-0.00543,1.00022,0.03829
2.24,-0.01416,0.99832,0.02188
2.26,-0.01021,0.99806,0.01263
2.28,-0.00748,1.00527,0.03792
2.3,-0.01434,1.00817,0.03891
2.32,-0.01574,1.0016,0.02404
2.34,-0.01213,1.00125,0.03426
2.36,-0.02109,1.00587,0.03765
2.38,-0.01735,0.99847,0.02214
2.4,-0.01176,0.99653,0.02872
2.42,-0.01617,0.99991,0.03251
2.44,-0.01869,1.00337,0.02501
2.46,-0.0178,1.00499,0.03415
2.48,-0.02208,1.00738,0.03862
2.5,-0.02045,1.00004,0.02552
2.52,-0.01571,1.00008,0.02547
2.54,-0.01529,1.00293,0.03095
2.56,-0.01453,1.00273,0.02644
2.58,-0.01133,1.00175,0.02889
2.6,-0.01451,1.00641,0.03687
2.62,-0.02158,1.00389,0.02955
2.64,-0.01947,1.00275,0.02779
2.66,-0.01679,1.00155,0.03325
2.68,-0.01512,1.005,0.02925
2.7,-0.01686,1.00229,0.02893
2.72,-0.01751,1.00394,0.03761
2.74,-0.0193,1.00021,0.03426
2.76,-0.01583,1.00441,0.02804
2.78,-0.01477,1.00588,0.033
2.8,-0.02151,1.00355,0.03803
2.82,-0.02013,0.99653,0.03083
2.84,-0.0161,1.00071,0.0412
2.86,-0.01997,1.00637,0.03857
2.88,-0.01822,1.00701,0.03436
2.9,-0.02186,0.99564,0.0441
2.92,-0.02157,0.99583,0.03188
2.94,-0.0135,1.00421,0.03364
2.96,-0.01307,1.01554,0.0544
2.98,-0.02092,1.00352,0.03904
3,-0.02095,0.99359,0.03206
3.02,-0.01288,1.00418,0.03434
3.04,-0.01204,1.01544,0.03768
3.06,-0.01213,1.00693,0.03115
3.08,-0.01433,0.99635,0.03344
3.1,-0.01833,0.99935,0.03411
3.12,-0.01515,1.00982,0.02489
3.14,-0.01062,1.01101,0.03546
3.16,-0.01429,1.00083,0.03186
3.18,-0.01416,0.99325,0.01265
3.2,-0.01222,1.00032,0.02609
3.22,-0.01616,1.01182,0.03127
3.24,-0.0126,1.00345,0.02486
3.26,-0.01602,0.99856,0.0295
3.28,-0.01207,1.00086,0.0146
3.3,-0.00564,1.00833,0.02293
3.32,-0.01456,1.00862,0.02241
3.34,-0.01457,0.99731,0.01033
3.36,-0.00957,1.00027,0.02925
3.38,-0.01921,1.01407,0.02673
3.4,-0.02252,1.00374,0.00893
3.42,-0.01369,0.9997,0.01784
3.44,-0.01142,1.00681,0.02527
3.46,-0.0179,1.00383,0.01345
3.48,-0.01416,0.99486,0.00646
3.5,-0.02374,1.00713,0.03178
3.52,-0.02685,1.0012,0.018
3.54,-0.00704,0.98993,0.00637
3.56,-0.00804,1.00747,0.01954
3.58,-0.02294,1.00827,-0.00076
3.6,-0.01395,0.98533,-0.01047
3.62,-0.00404,0.99264,0.01147
3.64,-0.01561,1.00558,0.01549
3.66,-0.01695,1.00114,-0.01656
3.68,-0.01181,0.99481,-0.01383
3.7,-0.01566,0.99414,-0.01038
3.72,-0.01264,1.00184,-0.02682
3.74,-0.00812,0.9956,-0.03256
3.76,-0.01492,0.99644,-0.0125
3.78,-0.02567,0.99978,-0.01751
3.8,-0.01081,0.99307,-0.03876
3.82,-0.0061,0.9999,-0.01605
3.84,-0.01787,1.01028,-0.02878
3.86,-0.01342,1.00234,-0.0519
3.88,-0.00545,0.99133,-0.02887
3.9,-0.01601,1.00042,-0.01848
3.92,-0.02059,1.00761,-0.03735
3.94,-0.00775,0.98998,-0.03343
3.96,-0.00798,1.00792,-0.01137
3.98,-0.02088,1.01203,-0.03621
4,-0.01037,0.99056,-0.05105
4.02,-0.00593,1.00035,-0.01253
4.04,-0.01837,1.00916,-0.03059
4.06,-0.01591,0.99503,-0.03821
4.08,-0.00991,0.99352,-0.01879
4.1,-0.01861,1.00714,-0.02307
4.12,-0.01063,1.00451,-0.04138
4.14,-0.00269,1.00428,-0.0195
4.16,-0.02083,1.00404,-0.02471
4.18,-0.02539,0.992,-0.0433
4.2,-0.0091,0.99636,-0.02037
4.22,-0.00907,1.01104,-0.01318
4.24,-0.0154,1.00338,-0.0427
4.26,-0.01837,0.99895,-0.02416
4.28,-0.01999,0.99991,-0.02066
4.3,-0.01458,1,-0.03465
4.32,-0.01334,0.99854,-0.02351
4.34,-0.02024,0.99603,-0.02526
4.36,-0.02389,0.99473,-0.02656
4.38,-0.0159,0.99941,-0.01885
4.4,-0.00796,1.00572,-0.0214
4.42,-0.01323,1.00845,-0.0299
4.44,-0.01558,0.9977,-0.02288
4.46,-0.02213,0.99413,-0.01702
4.48,-0.00992,0.99775,-0.03268
4.5,-0.00195,1.01152,-0.01884
4.52,-0.01938,1.00817,-0.01933
4.54,-0.01877,0.99601,-0.02992
4.56,-0.01104,1.00422,-0.01244
4.58,-0.01124,1.01114,-0.02597
4.6,-0.00798,1.00174,-0.03089
4.62,-0.01823,0.99799,-0.01825
4.64,-0.01903,0.99595,-0.02586
4.66,-0.01337,1.00376,-0.0237
4.68,-0.01443,1.00914,-0.01967
4.7,-0.01466,0.99771,-0.01549
4.72,-0.02843,0.98636,-0.00141
4.74,-0.01978,1.00897,-0.03868
4.76,0.00342,0.99792,-0.04346
4.78,-0.01741,0.99979,0.01749
4.8,-0.02706,1.00219,-0.01742
4.82,0.00289,1.00374,-0.03029
4.84,-0.01528,1.01034,0.00583
4.86,-0.02896,0.99215,-0.02967
4.88,-0.00976,0.99268,-0.03159
4.9,-0.01007,1.01166,0.00717
4.92,-0.02497,1.01099,-0.01954
4.94,-0.00883,1.00328,-0.05164
4.96,-0.0073,0.99575,0.01655
4.98,-0.03791,0.99765,0.02684
5,-0.02525,0.99323,-0.06018
5.02,0.00672,1.00755,-0.05085
5.04,-0.01987,1.00115,0.00573
5.06,-0.03205,1.00116,-0.00331
5.08,-0.01774,1.00794,-0.02234
5.1,-0.00435,0.99794,-0.01218
5.12,-0.01717,0.98679,-0.01516
5.14,-0.01389,0.99456,-0.0404
5.16,0.00253,1.0045,-0.02554
5.18,-0.01376,1.00385,-0.00812
5.2,-0.01905,1.00921,-0.0402
5.22,0.0058,1.00284,-0.0332
5.24,-0.01129,0.99772,0.02976
5.26,-0.03079,1.00402,-0.0299
5.28,0.00292,0.98186,-0.07235
5.3,0.00509,1.00682,0.00562
5.32,-0.02672,1.01667,-0.01414
5.34,-0.00622,0.99916,-0.05417
5.36,-0.00054,1.00411,0.00802
5.38,-0.02789,1.0098,0.00072
5.4,-0.01274,0.99096,-0.05475
5.42,-0.00094,0.99913,-0.01331
5.44,-0.02008,1.00894,-0.00529
5.46,-0.02111,0.99607,-0.04488
5.48,-0.01199,1.00097,-0.01711
5.5,-0.01522,1.011,-0.00722
5.52,-0.01281,0.99658,-0.03141
5.54,-0.00853,1.00113,-0.02313
5.56,-0.01284,1.00825,-0.01912
5.58,-0.01227,0.99881,-0.03771
5.6,-0.00493,0.99985,-0.02643
5.62,-0.00699,1.00964,-0.01709
5.64,-0.00252,1.00705,-0.03609
5.66,-0.00636,1.00203,-0.02521
5.68,-0.00799,1.00267,-0.02278
5.7,0.00053,1.00267,-0.02987
5.72,0.00207,1.00618,-0.03124
5.74,-0.00194,1.00185,-0.03606
5.76,-0.00693,1.00135,-0.02943
5.78,-0.00653,1.00839,-0.02302
5.8,-0.0092,1.00738,-0.02233
5.82,-0.00719,0.99915,-0.03174
5.84,-0.00373,1.00474,-0.02484
5.86,-0.01066,1.01266,-0.03105
5.88,-0.00992,0.99849,-0.04331
5.9,-0.0144,1.00248,-0.01691
5.92,-0.01411,1.00543,-0.02932
5.94,-0.00916,1.00463,-0.03
5.96,-0.01173,1.00953,-0.01983
5.98,-0.00804,1.00478,-0.02802
6,-0.00142,1.00086,-0.03442
6.02,-0.00442,1.00407,-0.0301
6.04,-0.01721,1.00424,-0.02953
6.06,-0.01438,0.99198,-0.03141
6.08,-0.01918,0.9934,-0.01998
6.1,0.01741,1.00937,-0.04368
6.12,0.01167,1.02635,-0.01117
6.14,-0.02305,1.00764,-0.01945
6.16,-0.02449,0.96742,-0.0528
6.18,-0.01,0.99593,-0.01131
6.2,-0.01719,1.02472,-0.02093
6.22,-0.01423,0.9948,-0.03194
6.24,-0.0232,0.98378,-0.02613
6.26,-0.01634,1.00302,-0.02202
6.28,-0.01546,1.0167,-0.0187
6.3,-0.00772,1.00217,-0.02642
6.32,-0.05298,0.99632,0.00071
6.34,-0.03407,0.95831,-0.04951
6.36,-0.0034,0.98863,-0.03672
6.38,0.01542,1.03934,-0.02318
6.4,-0.01275,1.03088,-0.00854
6.42,-0.02557,0.97753,-0.01719
6.44,-0.03047,0.97069,-0.03946
6.46,-0.00934,1.0236,-0.02108
6.48,-0.01168,1.02211,-0.01853
6.5,-0.01197,0.98986,-0.02595
6.52,-0.01698,0.9834,-0.03308
6.54,-0.00679,1.01458,-0.01767
6.56,-0.00822,1.03312,-0.02001
6.58,-0.00566,0.99709,-0.02072
6.6,-0.03703,0.99143,0.00119
6.62,-0.01645,0.98186,-0.05773
6.64,0.00415,1.00459,-0.0291
6.66,-0.0035,1.03199,-0.00129
6.68,-0.01495,0.99534,-0.02916
6.7,-0.00972,0.98744,-0.02608
6.72,-0.01229,1.00662,-0.02594
6.74,-0.01202,1.01825,-0.0145
6.76,-0.01292,0.99154,-0.03074
6.78,-0.01572,0.98844,-0.02806
6.8,-0.01849,1.01084,-0.01122
6.82,-0.00992,1.00968,-0.02114
6.84,-0.01058,0.99824,-0.01664
6.86,-0.02433,1.00016,-0.02097
6.88,-0.02067,1.00365,-0.02331
6.9,-0.00917,1.00469,-0.01104
6.92,-0.01254,0.9989,-0.01917
6.94,-0.01749,1.00073,-0.02909
6.96,-0.01192,1.00432,-0.01406
6.98,-0.01187,1.00772,-0.00929
7,-0.01297,1.00027,-0.01948
7.02,-0.01245,1.00201,-0.02711
7.04,-0.01199,1.0006,-0.01895
7.06,-0.0153,1.00316,-0.01663
7.08,-0.00651,1.00636,-0.02137
7.1,-0.00655,1.00808,-0.0088
7.12,-0.0161,0.9989,-0.02003
7.14,-0.015,0.99782,-0.02588
7.16,-0.01035,1.00093,-0.00516
7.18,-0.01746,1.00284,-0.02061
7.2,-0.01033,0.99175,-0.04302
7.22,-0.00547,1.00274,0.00197
7.24,-0.02356,1.01888,0.01108
7.26,-0.01475,0.99793,-0.02626
7.28,-0.00005,0.98288,-0.01505
7.3,-0.01324,0.99705,0.00064
7.32,-0.01536,1.00647,-0.03513
7.34,-0.0037,1.00057,-0.01232
7.36,-0.01541,0.99752,0.01545
7.38,-0.01513,0.99413,-0.02495
7.4,0.00455,0.99908,-0.01336
7.42,-0.00446,1.00793,0.02318
7.44,-0.01912,0.99664,-0.02494
7.46,-0.01117,0.9865,-0.03281
7.48,-0.01078,1.00042,-0.00269
7.5,-0.00723,1.0025,0.00174
7.52,-0.00514,1.00084,-0.00841
7.54,-0.00321,0.99667,-0.018
7.56,-0.00448,0.99396,-0.00267
7.58,-0.01382,0.99489,0.00045
7.6,-0.00299,1.00005,-0.02333
7.62,0.00007,0.99871,-0.00913
7.64,-0.01511,1.00266,0.00986
7.66,-0.01284,0.99303,-0.01438
7.68,0.01371,0.98722,-0.01224
7.7,0.00123,1.00215,0.01634
7.72,-0.02509,1.01192,-0.02583
7.74,-0.01363,0.99112,-0.01931
7.76,-0.01288,0.98651,0.03745
7.78,-0.01089,0.98916,-0.02104
7.8,0.01979,0.99963,-0.05389
7.82,0.00662,1.0158,0.02239
7.84,-0.02349,1.01071,0.01439
7.86,-0.00716,0.97033,-0.04172
7.88,0.01075,0.99332,-0.00574
7.9,-0.00579,1.01462,0.00199
7.92,-0.01132,1.00223,-0.02137
7.94,-0.00629,0.98249,-0.00618
7.96,0.0011,0.99246,-0.00868
7.98,0.00389,1.00617,-0.02893
8,-0.0067,1.01379,-0.01033
8.02,-0.02423,0.99856,0.00949
8.04,-0.02382,0.97718,-0.01759
8.06,-0.00324,0.98339,-0.03395
8.08,0.00046,1.02127,-0.0084
8.1,-0.01546,1.01152,-0.01493
8.12,-0.01353,0.98375,-0.02801
8.14,-0.00056,0.98857,-0.01977
8.16,0.00706,1.00805,-0.02416
8.18,-0.00198,1.00661,-0.02945
8.2,-0.01092,0.99263,-0.02342
8.22,-0.0007,0.98949,-0.02993
8.24,0.0145,1.00438,-0.02784
8.26,0.0036,1.01028,-0.02878
8.28,0.00133,0.99518,-0.04067
8.3,0.00031,0.99331,-0.03481
8.32,-0.00335,0.9957,-0.03399
8.34,-0.00348,0.99518,-0.03673
8.36,-0.00794,1.0011,-0.0412
8.38,-0.00956,1.00038,-0.03622
8.4,-0.00969,1.00094,-0.03196
8.42,-0.00283,0.99602,-0.05193
8.44,-0.01103,1.00427,-0.03772
8.46,-0.02231,0.99354,-0.05468
8.48,-0.01378,0.98924,-0.05734
8.5,-0.01425,1.00022,-0.04002
8.52,-0.00522,1.02077,-0.06432
8.54,-0.01647,1.00735,-0.04046
8.56,-0.03009,0.99896,-0.05859
8.58,-0.00925,0.95391,-0.09942
8.6,0.02405,1.00576,-0.04048
8.62,0.0058,1.03144,-0.04902
8.64,-0.00657,0.99663,-0.07795
8.66,0.00055,0.96828,-0.087
8.68,0.00498,1.00817,-0.05556
8.7,0.01187,1.01004,-0.07533
8.72,0.01441,0.98316,-0.08628
8.74,-0.00676,0.9682,-0.06619
8.76,0.00294,0.98215,-0.09556
8.78,0.02271,0.99356,-0.09592
8.8,0.02501,1.04004,-0.04941
8.82,-0.03447,0.99638,-0.08977
8.84,-0.01981,0.91706,-0.14695
8.86,0.01156,0.96903,-0.08431
8.88,-0.00577,1.03427,-0.03916
8.9,-0.01639,0.97882,-0.11403
8.92,0.00476,0.94164,-0.12577
8.94,0.00396,1.00032,-0.0772
8.96,-0.00503,1.00487,-0.10012
8.98,0.01041,0.96298,-0.1288
9,-0.00138,0.96487,-0.08816
9.02,-0.02593,0.98601,-0.09823
9.04,0.01706,0.96947,-0.13462
9.06,0.01556,1.01265,-0.07194
9.08,-0.02705,0.9928,-0.10654
9.1,-0.00149,0.94551,-0.15325
9.12,0.01616,0.9803,-0.09682
9.14,-0.02135,1.01855,-0.08432
9.16,-0.02055,0.9678,-0.13597
9.18,0.00365,0.95773,-0.11677
9.2,0.00125,1.00153,-0.09475
9.22,0.00332,1.00057,-0.12171
