Time,Lateral,Vertical,Longitudinal
0,-0.09322,0.99788,-0.075
0.02,-0.09289,0.99796,-0.07506
0.04,-0.09304,0.99757,-0.07494
0.06,-0.09332,0.99772,-0.07474
0.08,-0.09325,0.99791,-0.07488
0.1,-0.09329,0.99803,-0.0748
0.12,-0.09338,0.99802,-0.07476
0.14,-0.09346,0.99766,-0.07466
0.16,-0.09342,0.99793,-0.07467
0.18,-0.09334,0.99799,-0.07449
0.2,-0.09324,0.99806,-0.07446
0.22,-0.09326,0.99819,-0.07445
0.24,-0.09367,0.99773,-0.07442
0.26,-0.0936,0.99806,-0.07436
0.28,-0.09318,0.99821,-0.07449
0.3,-0.09303,0.99809,-0.07443
0.32,-0.09311,0.9977,-0.07455
0.34,-0.09314,0.99777,-0.0746
0.36,-0.09302,0.99824,-0.07456
0.38,-0.09302,0.99824,-0.07456
0.4,-0.09306,0.99793,-0.07478
0.42,-0.09322,0.99753,-0.07486
0.44,-0.09316,0.99748,-0.07497
0.46,-0.09284,0.99792,-0.07496
0.48,-0.09285,0.99786,-0.07502
0.5,-0.09318,0.99761,-0.07495
0.52,-0.09344,0.9975,-0.0749
0.54,-0.09329,0.99766,-0.07496
0.56,-0.09324,0.99747,-0.07493
0.58,-0.09337,0.99727,-0.07509
0.6,-0.09306,0.99737,-0.07502
0.62,-0.09304,0.99743,-0.07495
0.64,-0.093,0.9977,-0.07496
0.66,-0.09312,0.9976,-0.07483
0.68,-0.09334,0.99743,-0.07473
0.7,-0.0932,0.99759,-0.0748
0.72,-0.093,0.9977,-0.07496
0.74,-0.0928,0.99786,-0.07491
0.76,-0.09293,0.99785,-0.07498
0.78,-0.09298,0.99814,-0.07473
0.8,-0.09293,0.99803,-0.0749
0.82,-0.09312,0.99779,-0.07475
0.84,-0.09313,0.99844,-0.07471
0.86,-0.09295,0.99797,-0.07497
0.88,-0.09308,0.99806,-0.07476
0.9,-0.0929,0.99858,-0.07503
0.92,-0.09305,0.99827,-0.07483
0.94,-0.09346,0.99818,-0.07464
0.96,-0.09365,0.99803,-0.07469
0.98,-0.09332,0.99823,-0.07434
1,-0.09326,0.99815,-0.07467
1.02,-0.09352,0.99827,-0.07432
1.04,-0.09376,0.99836,-0.07434
1.06,-0.09395,0.99775,-0.07435
1.08,-0.09417,0.99817,-0.07379
1.1,-0.09396,0.99862,-0.07401
1.12,-0.0944,0.99818,-0.07361
1.14,-0.09474,0.99805,-0.07352
1.16,-0.09484,0.99797,-0.07355
1.18,-0.09514,0.99815,-0.07325
1.2,-0.09566,0.99808,-0.07329
1.22,-0.09568,0.99806,-0.07313
1.24,-0.0958,0.99811,-0.07314
1.26,-0.09586,0.99815,-0.07304
1.28,-0.09609,0.99782,-0.0728
1.3,-0.09638,0.99774,-0.07302
1.32,-0.09677,0.99753,-0.07284
1.34,-0.09661,0.99757,-0.07292
1.36,-0.0965,0.99779,-0.07303
1.38,-0.09642,0.998,-0.07299
1.4,-0.09634,0.99783,-0.07311
1.42,-0.09626,0.99784,-0.07315
1.44,-0.09664,0.99778,-0.07311
1.46,-0.0966,0.99772,-0.07306
1.48,-0.09666,0.99757,-0.07304
1.5,-0.09628,0.99797,-0.07313
1.52,-0.09608,0.99812,-0.07308
1.54,-0.09618,0.99767,-0.07327
1.56,-0.09633,0.99779,-0.07333
1.58,-0.09615,0.99788,-0.07334
1.6,-0.09584,0.99761,-0.07344
1.62,-0.09576,0.99763,-0.07348
1.64,-0.09568,0.99765,-0.07351
1.66,-0.09562,0.99764,-0.0734
1.68,-0.09548,0.99762,-0.07354
1.7,-0.09539,0.99778,-0.07372
1.72,-0.09545,0.99764,-0.07369
1.74,-0.09555,0.99775,-0.07364
1.76,-0.09542,0.99794,-0.07348
1.78,-0.0952,0.99779,-0.07353
1.8,-0.09519,0.99793,-0.07366
1.82,-0.09539,0.99815,-0.07356
1.84,-0.09533,0.9983,-0.07358
1.86,-0.09534,0.99815,-0.07344
1.88,-0.09532,0.99802,-0.07346
1.9,-0.09546,0.99805,-0.07331
1.92,-0.09554,0.99803,-0.07327
1.94,-0.0957,0.99815,-0.07334
1.96,-0.09558,0.99791,-0.07341
1.98,-0.09545,0.99801,-0.07353
2,-0.0954,0.998,-0.07342
2.02,-0.09538,0.99773,-0.07329
2.04,-0.09545,0.99777,-0.07319
2.06,-0.09543,0.99783,-0.07313
2.08,-0.0954,0.998,-0.07342
2.1,-0.09515,0.99787,-0.07361
2.12,-0.09479,0.99802,-0.07386
2.14,-0.09431,0.99797,-0.07395
2.16,-0.09412,0.99779,-0.07384
2.18,-0.09399,0.99789,-0.07396
2.2,-0.09378,0.99792,-0.07393
2.22,-0.09375,0.99794,-0.07408
2.24,-0.09379,0.99782,-0.07421
2.26,-0.09357,0.99762,-0.07447
2.28,-0.09324,0.99769,-0.07463
2.3,-0.09311,0.99755,-0.07441
2.32,-0.09306,0.99773,-0.07421
2.34,-0.09302,0.99785,-0.07408
2.36,-0.0931,0.99784,-0.07405
2.38,-0.09313,0.99787,-0.07431
2.4,-0.09319,0.99787,-0.07443
2.42,-0.09321,0.998,-0.07441
2.44,-0.09295,0.99829,-0.07438
2.46,-0.09301,0.99834,-0.07428
2.48,-0.09305,0.99844,-0.07411
2.5,-0.09317,0.9983,-0.0742
2.52,-0.09321,0.99837,-0.07425
2.54,-0.09338,0.99824,-0.07446
2.56,-0.09344,0.9981,-0.07444
2.58,-0.09358,0.99827,-0.07443
2.6,-0.09338,0.99843,-0.07438
2.62,-0.09319,0.99843,-0.07419
2.64,-0.09324,0.99825,-0.07438
2.66,-0.09365,0.99798,-0.07427
2.68,-0.09368,0.99805,-0.07432
2.7,-0.09382,0.99803,-0.0744
2.72,-0.09398,0.998,-0.07432
2.74,-0.09372,0.99811,-0.07437
2.76,-0.09346,0.99822,-0.07442
2.78,-0.0934,0.99818,-0.07453
2.8,-0.0934,0.99818,-0.07453
2.82,-0.0938,0.99791,-0.07441
2.84,-0.09404,0.99782,-0.07452
2.86,-0.09402,0.99788,-0.07445
2.88,-0.09364,0.99809,-0.07463
2.9,-0.09311,0.99813,-0.07481
2.92,-0.09308,0.99806,-0.07476
2.94,-0.09302,0.9982,-0.07478
2.96,-0.09328,0.99791,-0.07481
2.98,-0.09352,0.99786,-0.0747
3,-0.09349,0.99825,-0.07469
3.02,-0.09331,0.99816,-0.07478
3.04,-0.09261,0.99866,-0.07481
3.06,-0.09279,0.99838,-0.07488
3.08,-0.09292,0.99828,-0.07476
3.1,-0.09304,0.99818,-0.07463
3.12,-0.09372,0.99826,-0.07451
3.14,-0.09331,0.99853,-0.07462
3.16,-0.0933,0.99807,-0.07458
3.18,-0.09342,0.9983,-0.07451
3.2,-0.09308,0.99862,-0.07452
3.22,-0.0933,0.99807,-0.07458
3.24,-0.09348,0.99816,-0.07449
3.26,-0.0938,0.99772,-0.0745
3.28,-0.09362,0.99819,-0.07434
3.3,-0.09364,0.99813,-0.07441
3.32,-0.09374,0.99805,-0.07444
3.34,-0.09331,0.99811,-0.07436
3.36,-0.09325,0.99791,-0.07433
3.38,-0.0933,0.99826,-0.0745
3.4,-0.09324,0.99806,-0.07446
3.42,-0.09376,0.99762,-0.07466
3.44,-0.09388,0.99771,-0.07446
3.46,-0.09403,0.99755,-0.0744
3.48,-0.09411,0.99753,-0.07436
3.5,-0.09383,0.99751,-0.07442
3.52,-0.09349,0.99764,-0.07451
3.54,-0.09316,0.99789,-0.07458
3.56,-0.09334,0.9978,-0.07457
3.58,-0.09366,0.99788,-0.07456
3.6,-0.09345,0.99776,-0.07438
3.62,-0.09357,0.99781,-0.07439
3.64,-0.09327,0.99823,-0.07423
3.66,-0.09295,0.99829,-0.07438
3.68,-0.093,0.99811,-0.07458
3.7,-0.09304,0.99818,-0.07463
3.72,-0.09328,0.99813,-0.07451
3.74,-0.09336,0.99826,-0.07461
3.76,-0.09358,0.9979,-0.0746
3.78,-0.09346,0.998,-0.07472
3.8,-0.09338,0.99783,-0.07484
3.82,-0.09364,0.9979,-0.07471
3.84,-0.09362,0.99815,-0.07456
3.86,-0.09358,0.99808,-0.07451
3.88,-0.09354,0.99802,-0.07446
3.9,-0.0929,0.99838,-0.07447
3.92,-0.0928,0.99827,-0.07453
3.94,-0.0931,0.99804,-0.07461
3.96,-0.09367,0.99777,-0.0742
3.98,-0.09405,0.99771,-0.07416
4,-0.09398,0.99739,-0.07414
4.02,-0.09404,0.99743,-0.07404
4.04,-0.09362,0.99758,-0.07417
4.06,-0.09329,0.99765,-0.07432
4.08,-0.09331,0.99759,-0.07438
4.1,-0.09347,0.9977,-0.07445
4.12,-0.09369,0.99752,-0.07435
4.14,-0.09391,0.99768,-0.0743
4.16,-0.09371,0.99784,-0.07425
4.18,-0.09333,0.99771,-0.07437
4.2,-0.09295,0.99796,-0.07433
4.22,-0.09285,0.99837,-0.07436
4.24,-0.09313,0.9982,-0.07437
4.26,-0.09347,0.99807,-0.07428
4.28,-0.09361,0.99773,-0.0743
4.3,-0.09339,0.99794,-0.07418
4.32,-0.09327,0.99789,-0.07417
4.34,-0.09325,0.99791,-0.07433
4.36,-0.09303,0.9979,-0.07451
4.38,-0.09301,0.99778,-0.07452
4.4,-0.09316,0.99789,-0.07458
4.42,-0.09338,0.99787,-0.07462
4.44,-0.09366,0.9977,-0.07464
4.46,-0.09312,0.99798,-0.07467
4.48,-0.09302,0.99783,-0.07495
4.5,-0.09305,0.99805,-0.07513
4.52,-0.09345,0.99777,-0.07502
4.54,-0.09353,0.99776,-0.07498
4.56,-0.09357,0.99786,-0.07481
