Time,Lateral,Vertical,Longitudinal
0,-0.02565,1.01329,-0.00394
0.02,-0.02149,1.00787,-0.0012
0.04,-0.01614,1.00397,0.00102
0.06,-0.01417,1.00369,0.00048
0.08,-0.00926,1.00182,0.00187
0.1,-0.00597,1.00009,0.00378
0.12,-0.00603,0.99811,0.00486
0.14,-0.01033,0.99997,0.00288
0.16,-0.00811,0.99632,0.0028
0.18,-0.0034,0.99207,0.00393
0.2,0.00154,0.98844,0.00264
0.22,0.00427,0.99237,0.00181
0.24,0.00736,0.99533,0.00074
0.26,0.00493,0.9998,-0.00088
0.28,0.00797,1.0001,-0.00014
0.3,0.00823,1.00173,0.00043
0.32,0.0083,1.00225,-0.00208
0.34,0.01137,1.0051,-0.00128
0.36,0.01604,1.00799,-0.00187
0.38,0.01794,1.00935,0.00087
0.4,0.01949,1.00792,0.0025
0.42,0.02052,1.00573,0.00383
0.44,0.01808,1.00133,0.00226
0.46,0.01653,0.99925,0.00129
0.48,0.01835,0.99598,0.00187
0.5,0.01545,0.99351,-0.00051
0.52,0.00893,0.99498,-0.0019
0.54,0.00475,0.99752,-0.00267
0.56,0.00315,0.99857,-0.00415
0.58,0.00471,0.99747,-0.00189
0.6,0.00098,0.99742,-0.00471
0.62,-0.00255,0.99905,-0.00617
0.64,-0.00422,1.00259,-0.00666
0.66,-0.00396,1.00493,-0.00414
0.68,-0.00893,1.00555,-0.00444
0.7,-0.01396,1.00526,-0.00654
0.72,-0.01686,1.00692,-0.00465
0.74,-0.01404,1.00275,-0.00582
0.76,-0.01262,1.00136,-0.00524
0.78,-0.01219,0.99975,-0.00511
0.8,-0.01462,0.999,-0.00513
0.82,-0.01223,0.99632,-0.00276
0.84,-0.01193,0.99424,-0.00273
0.86,-0.01255,0.99291,-0.00273
0.88,-0.01424,0.99351,-0.0044
0.9,-0.01129,0.9943,-0.00285
0.92,-0.00888,0.99523,-0.00142
0.94,-0.00706,0.99563,-0.00109
0.96,-0.00782,0.99881,-0.00022
0.98,-0.00889,0.99927,0.00125
1,-0.00931,0.99942,0.00128
1.02,-0.00842,0.99937,0.00176
1.04,-0.00933,1.00061,0.00118
1.06,-0.01066,1.00425,0.00125
1.08,-0.01012,1.00428,0.00298
1.1,-0.0094,1.00255,0.00382
1.12,-0.01026,1.00166,0.00386
1.14,-0.00905,1.00084,0.00391
1.16,-0.00852,1.00092,0.00474
1.18,-0.00839,1.00046,0.00496
1.2,-0.00771,0.99957,0.00397
1.22,-0.00692,1.00041,0.00479
1.24,-0.00619,0.99977,0.00435
1.26,-0.00716,1.00106,0.00435
1.28,-0.00611,0.99881,0.00519
1.3,-0.00673,0.9981,0.00396
1.32,-0.00757,0.9999,0.00476
1.34,-0.00673,1.00044,0.00458
1.36,-0.00793,1.003,0.0045
1.38,-0.00781,1.00234,0.0034
1.4,-0.00677,1.0011,0.00413
1.42,-0.00828,1.00333,0.00458
1.44,-0.00731,1.00137,0.00352
1.46,-0.00761,1.00082,0.00314
1.48,-0.00605,0.99938,0.00338
1.5,-0.00623,0.99968,0.00263
1.52,-0.00544,0.99939,0.00404
1.54,-0.00508,0.99955,0.00342
1.56,-0.00544,0.99993,0.0026
1.58,-0.00438,0.99788,0.00316
1.6,-0.00564,0.99928,0.00404
1.62,-0.006,0.99934,0.0026
1.64,-0.0041,0.99704,0.00241
1.66,-0.00579,0.99856,0.00222
1.68,-0.006,0.99959,0.00143
1.7,-0.00659,0.99977,0.0007
1.72,-0.00703,0.99961,0.00129
1.74,-0.00703,0.99911,0.00044
1.76,-0.00757,0.99982,-0.00002
1.78,-0.00649,0.99913,0.00078
1.8,-0.00694,0.99923,0
1.82,-0.00744,0.99925,-0.00091
1.84,-0.00637,0.9989,0.00031
1.86,-0.00682,0.99879,0.00001
1.88,-0.0068,0.99997,0.00162
1.9,-0.00714,1.0005,0.00142
1.92,-0.00733,1.00084,0.00157
1.94,-0.00647,1.00112,0.00277
1.96,-0.00691,1.00166,0.00233
1.98,-0.0066,1.0002,0.00272
2,-0.00699,1.00052,0.00288
2.02,-0.00706,1.00089,0.00279
2.04,-0.00528,0.99961,0.00364
2.06,-0.00685,1.00047,0.00234
2.08,-0.00608,1.00083,0.0035
2.1,-0.0056,0.99983,0.00252
2.12,-0.00631,1.00042,0.00247
2.14,-0.00398,0.99909,0.00345
2.16,-0.00475,1.00066,0.00366
2.18,-0.00476,1.00071,0.00277
2.2,-0.00264,0.99928,0.00355
2.22,-0.00486,1.0005,0.00301
2.24,-0.00521,1.0008,0.00378
2.26,-0.00405,1.0002,0.00462
2.28,-0.00645,1.00293,0.00454
2.3,-0.00588,1.00256,0.00395
2.32,-0.00493,1.0012,0.00354
2.34,-0.00396,0.9999,0.00513
2.36,-0.00466,0.99998,0.00444
2.38,-0.00279,0.99767,0.00274
2.4,-0.00133,0.99771,0.00417
2.42,-0.003,0.99833,0.00221
2.44,-0.00175,0.99811,0.00303
2.46,-0.00019,0.99809,0.004
2.48,-0.00198,0.99966,0.00268
2.5,0.00121,0.99802,0.004
2.52,-0.00083,0.9987,0.00358
2.54,-0.00232,0.99969,0.00323
2.56,-0.00309,1.00042,0.00217
2.58,-0.00432,1.00121,0.00261
2.6,-0.00496,1.00144,0.00245
2.62,-0.00541,1.00099,0.00172
2.64,-0.00555,1.00133,0.00199
2.66,-0.00413,1.00049,0.00113
2.68,-0.00406,1.00009,0.00033
2.7,-0.00358,0.99943,-0.00022
2.72,-0.00374,0.999,-0.00093
2.74,-0.00248,0.99864,-0.00082
2.76,-0.00269,0.99975,0.00019
2.78,-0.00229,0.999,-0.0004
2.8,-0.00265,0.99988,-0.00037
2.82,-0.00322,1.00084,-0.00033
2.84,-0.00384,1.00147,-0.00103
2.86,-0.00259,1.0005,0.00011
2.88,-0.00384,1.00089,-0.00049
2.9,-0.00304,0.99984,-0.00174
2.92,-0.00263,0.9987,-0.00207
2.94,-0.00479,0.99895,-0.00308
2.96,-0.0048,1.00063,-0.00213
2.98,-0.00456,0.9989,-0.00338
3,-0.00508,0.99927,-0.00267
3.02,-0.0041,0.99884,-0.00328
3.04,-0.0038,0.99839,-0.003
3.06,-0.00471,0.9985,-0.00298
3.08,-0.00499,0.99852,-0.0037
3.1,-0.00453,0.99892,-0.00366
3.12,-0.00651,1.00075,-0.00345
3.14,-0.00688,1.00102,-0.00378
3.16,-0.00534,1.00014,-0.0038
3.18,-0.00621,0.99918,-0.00576
3.2,-0.00562,1.00008,-0.00631
3.22,-0.00517,1.00078,-0.00675
3.24,-0.00551,1.00015,-0.00725
3.26,-0.00542,0.99893,-0.00822
3.28,-0.00545,0.99929,-0.0082
3.3,-0.00604,0.99948,-0.00913
3.32,-0.00631,0.99865,-0.00933
3.34,-0.00574,0.99811,-0.00874
3.36,-0.00707,0.99966,-0.00886
3.38,-0.00649,1.00032,-0.00845
3.4,-0.00619,1.00033,-0.00822
3.42,-0.006,0.99977,-0.00769
3.44,-0.00645,0.99924,-0.00864
3.46,-0.00624,0.99917,-0.00865
3.48,-0.00706,1.0012,-0.00862
3.5,-0.00564,1.00015,-0.009
3.52,-0.00546,1.00147,-0.008
3.54,-0.00498,1.0006,-0.00807
3.56,-0.00466,0.99976,-0.00871
3.58,-0.00314,0.99878,-0.00864
3.6,-0.00381,0.99908,-0.00851
3.62,-0.0032,0.99892,-0.00806
3.64,-0.00289,0.99929,-0.00769
3.66,-0.00245,0.99975,-0.00716
3.68,-0.00227,1.00029,-0.00673
3.7,-0.00182,0.99932,-0.00673
3.72,-0.00221,0.99972,-0.00636
3.74,-0.00256,0.99919,-0.00706
3.76,-0.00237,0.99984,-0.00691
3.78,-0.00286,1.00135,-0.00689
3.8,-0.00222,1.00115,-0.00583
3.82,-0.00153,1.00042,-0.0064
3.84,-0.00195,1.00078,-0.00685
3.86,-0.00194,1.0006,-0.00686
3.88,-0.00157,0.9997,-0.00668
3.9,-0.00236,1.00029,-0.00677
3.92,-0.00306,1.00158,-0.00645
3.94,-0.00268,1.00113,-0.00613
3.96,-0.00138,1.00082,-0.0052
3.98,-0.00261,1.00128,-0.00539
4,-0.00252,1.00064,-0.00531
4.02,-0.00371,1.00169,-0.00613
4.04,-0.00306,1.00204,-0.00492
4.06,-0.0023,1.00161,-0.00433
4.08,-0.00283,1.00186,-0.00474
4.1,-0.00257,1.00211,-0.004
4.12,-0.00193,1.00125,-0.00401
4.14,-0.00097,1.00005,-0.004
4.16,-0.00132,1.00063,-0.0035
4.18,-0.00211,1.001,-0.00311
4.2,-0.00148,1.0012,-0.00253
4.22,-0.0014,1.00162,-0.00185
4.24,-0.00015,1.00094,-0.00098
4.26,-0.00057,1.00084,-0.00137
4.28,-0.00113,1.00054,-0.00164
4.3,-0.00083,1.00088,-0.00079
4.32,-0.00068,1.00099,-0.00091
4.34,-0.00007,1.00116,0.00017
4.36,-0.00039,1.00079,-0.0002
4.38,-0.0003,1.00054,-0.00059
4.4,-0.00043,1.00008,-0.00228
4.42,-0.00066,1.00104,-0.0003
4.44,0.0005,1.00128,0.00202
4.46,-0.00048,1.00183,0.00055
4.48,-0.00037,1.00128,-0.00075
4.5,0,1.00117,0
4.52,-0.00104,1.00099,-0.00146
4.54,-0.00055,1.00057,-0.00139
4.56,-0.0007,0.99988,-0.00232
4.58,-0.00017,1.00066,-0.00092
4.6,-0.00055,1.00103,-0.00145
4.62,0.0003,1.00084,-0.0002
4.64,0.00063,1.00049,-0.00158
4.66,-0.00063,0.99977,-0.00498
4.68,-0.00018,0.99947,-0.00392
4.7,-0.00037,1.00002,-0.00265
4.72,-0.00062,0.99989,-0.00387
4.74,0.00035,0.99988,-0.00246
4.76,-0.00045,0.99998,-0.00359
4.78,-0.00057,1.00064,-0.00408
4.8,-0.00084,1.00069,-0.00528
4.82,0.00014,0.9995,-0.00556
4.84,-0.00031,0.99985,-0.00593
4.86,-0.00048,0.99918,-0.00706
4.88,-0.00004,0.99901,-0.00668
4.9,-0.00005,0.9984,-0.00724
4.92,-0.00023,0.9984,-0.00752
4.94,-0.00012,0.99867,-0.00735
4.96,0.00035,0.99786,-0.00832
4.98,0.00047,0.99791,-0.00746
5,0.00058,0.99788,-0.00682
5.02,-0.00038,0.99829,-0.0074
5.04,0.0001,0.99838,-0.00668
5.06,-0.00051,1.0005,-0.00625
5.08,-0.00011,0.99983,-0.00684
5.1,0.00033,0.99966,-0.00646
5.12,0.00027,1.00018,-0.00594
5.14,-0.00005,0.9994,-0.00715
