Time,Lateral,Vertical,Longitudinal
0,0.04503,1.00542,-0.00647
0.02,0.04417,1.00522,-0.00685
0.04,0.04372,1.00466,-0.00745
0.06,0.04319,1.00315,-0.00822
0.08,0.04408,1.0014,-0.01005
0.1,0.04454,1.00005,-0.01065
0.12,0.04329,1.00155,-0.01132
0.14,0.04315,0.99989,-0.01204
0.16,0.04312,0.99742,-0.01262
0.18,0.04248,0.99645,-0.01348
0.2,0.04256,0.996,-0.01377
0.22,0.04263,0.99558,-0.01329
0.24,0.04265,0.99521,-0.01288
0.26,0.04257,0.9954,-0.01193
0.28,0.04257,0.99661,-0.01069
0.3,0.04111,0.99784,-0.00847
0.32,0.04007,0.99922,-0.00712
0.34,0.03948,0.99996,-0.00568
0.36,0.03917,1.0005,-0.00511
0.38,0.03842,1.00139,-0.005
0.4,0.03805,1.00101,-0.00522
0.42,0.03793,1.00004,-0.00557
0.44,0.03742,1.0007,-0.00674
0.46,0.03786,0.99934,-0.00779
0.48,0.03821,0.99796,-0.0092
0.5,0.03811,0.99774,-0.01044
0.52,0.03893,0.9973,-0.01128
0.54,0.04002,0.99648,-0.01196
0.56,0.0404,0.99646,-0.01234
0.58,0.0407,0.99616,-0.01242
0.6,0.04161,0.99542,-0.012
0.62,0.04242,0.99565,-0.01158
0.64,0.04231,0.9974,-0.01085
0.66,0.04298,0.99528,-0.0101
0.68,0.04286,0.99593,-0.00948
0.7,0.04258,0.99732,-0.00929
0.72,0.04309,0.99673,-0.00966
0.74,0.04284,0.9963,-0.00989
0.76,0.04231,0.9963,-0.01068
0.78,0.04228,0.99525,-0.01119
0.8,0.0421,0.99571,-0.01138
0.82,0.04233,0.99546,-0.01179
0.84,0.04182,0.99573,-0.01167
0.86,0.04216,0.99522,-0.01182
0.88,0.0422,0.99639,-0.0108
0.9,0.04219,0.99711,-0.00994
0.92,0.04216,0.99653,-0.00891
0.94,0.04208,0.99688,-0.00784
0.96,0.04222,0.99732,-0.0072
0.98,0.04199,0.99785,-0.00643
1,0.04182,0.99842,-0.0061
1.02,0.04209,0.998,-0.00582
1.04,0.04156,0.99843,-0.00585
1.06,0.04132,0.9982,-0.00608
1.08,0.04086,0.99762,-0.00652
1.1,0.04089,0.99747,-0.00725
1.12,0.04046,0.99745,-0.00756
1.14,0.04051,0.99704,-0.00736
1.16,0.04013,0.99747,-0.00724
1.18,0.03979,0.9976,-0.00695
1.2,0.0396,0.99761,-0.00676
1.22,0.03981,0.99776,-0.00655
1.24,0.03973,0.99779,-0.00573
1.26,0.03948,0.99748,-0.00545
1.28,0.03926,0.99789,-0.00491
1.3,0.03906,0.99855,-0.0045
1.32,0.0387,0.99832,-0.00433
1.34,0.03907,0.99773,-0.00485
1.36,0.03905,0.99786,-0.00487
1.38,0.03899,0.99806,-0.00481
1.4,0.03898,0.99839,-0.00483
1.42,0.03902,0.9981,-0.00465
1.44,0.03879,0.9975,-0.00447
1.46,0.03842,0.99748,-0.00484
1.48,0.0389,0.99757,-0.00423
1.5,0.03942,0.99742,-0.00384
1.52,0.03944,0.99721,-0.00329
1.54,0.03938,0.99741,-0.00323
1.56,0.03893,0.99718,-0.00239
1.58,0.03869,0.9978,-0.0024
1.6,0.03867,0.99698,-0.00186
1.62,0.03844,0.99756,-0.00148
1.64,0.03846,0.99735,-0.00093
1.66,0.0385,0.99779,-0.00078
1.68,0.03866,0.99778,-0.00036
1.7,0.03823,0.99813,-0.00055
1.72,0.03777,0.99856,-0.00064
1.74,0.03804,0.99875,-0.00089
1.76,0.03841,0.99829,-0.00089
1.78,0.03857,0.99857,-0.00125
1.8,0.03829,0.99817,-0.001
1.82,0.03819,0.9983,-0.00124
1.84,0.03832,0.99761,-0.00147
1.86,0.03848,0.998,-0.00132
1.88,0.03863,0.99779,-0.00091
1.9,0.03812,0.9979,-0.00091
1.92,0.03814,0.99814,-0.00103
1.94,0.03847,0.99771,-0.00081
1.96,0.03882,0.99737,-0.00083
1.98,0.03886,0.99744,-0.00053
2,0.03881,0.99749,-0.00059
2.02,0.03932,0.99768,-0.00137
2.04,0.03956,0.99836,-0.0018
2.06,0.03954,0.99841,-0.00246
2.08,0.03943,0.99827,-0.00334
2.1,0.03956,0.99839,-0.00438
2.12,0.04054,0.99819,-0.00519
2.14,0.04067,0.99782,-0.00517
2.16,0.04063,0.99778,-0.0056
2.18,0.04066,0.99766,-0.00557
2.2,0.04089,0.99814,-0.006
2.22,0.04126,0.99857,-0.00616
2.24,0.0413,0.99869,-0.00625
2.26,0.04109,0.99749,-0.00641
2.28,0.0409,0.99721,-0.00659
2.3,0.04086,0.99686,-0.00726
2.32,0.04093,0.99694,-0.00784
2.34,0.04075,0.99692,-0.00841
2.36,0.04127,0.99666,-0.00968
2.38,0.04138,0.99643,-0.01085
2.4,0.04107,0.99618,-0.01205
2.42,0.04091,0.99624,-0.01286
2.44,0.04079,0.99584,-0.01334
2.46,0.04077,0.99548,-0.01374
2.48,0.04068,0.9957,-0.01422
2.5,0.04144,0.99611,-0.01477
2.52,0.04116,0.99657,-0.01429
2.54,0.04092,0.99666,-0.01428
2.56,0.04109,0.9969,-0.01425
2.58,0.0413,0.99652,-0.01403
2.6,0.04125,0.99651,-0.01369
2.62,0.04122,0.99639,-0.01333
2.64,0.04131,0.99642,-0.01324
2.66,0.04146,0.9963,-0.01334
