Time,Lateral,Vertical,Longitudinal
0,0.01133,1.0035,-0.00283
0.02,0.01143,1.00386,-0.00271
0.04,0.01112,1.0035,-0.00263
0.06,0.011,1.00322,-0.00244
0.08,0.0113,1.0039,-0.0026
0.1,0.01118,1.00418,-0.00255
0.12,0.01073,1.00427,-0.00282
0.14,0.01064,1.00482,-0.00291
0.16,0.01073,1.00427,-0.00309
0.18,0.01136,1.00464,-0.003
0.2,0.01191,1.00545,-0.003
0.22,0.01155,1.00482,-0.00264
0.24,0.01109,1.00482,-0.00282
0.26,0.01145,1.00527,-0.00264
0.28,0.01191,1.00582,-0.00273
0.3,0.01155,1.00536,-0.00227
0.32,0.01145,1.00491,-0.002
0.34,0.01136,1.00491,-0.00182
0.36,0.01191,1.00527,-0.00136
0.38,0.01227,1.00482,-0.00118
0.4,0.01209,1.00436,-0.001
0.42,0.01182,1.00482,-0.00073
0.44,0.01164,1.00464,-0.00091
0.46,0.01191,1.00509,-0.00082
0.48,0.01155,1.00473,-0.00091
0.5,0.01082,1.00373,-0.00082
0.52,0.01064,1.00418,-0.001
0.54,0.011,1.00473,-0.00127
0.56,0.01173,1.00409,-0.00109
0.58,0.01145,1.00455,-0.00118
0.6,0.01045,1.00518,-0.00118
0.62,0.00964,1.00445,-0.00127
0.64,0.00991,1.00455,-0.00164
0.66,0.01055,1.00518,-0.00164
0.68,0.01064,1.00445,-0.00164
0.7,0.01073,1.00445,-0.00182
0.72,0.01109,1.00536,-0.002
0.74,0.011,1.00527,-0.00209
0.76,0.01073,1.00473,-0.00218
0.78,0.01055,1.00509,-0.00236
0.8,0.01082,1.00491,-0.00255
0.82,0.01145,1.00482,-0.00245
0.84,0.01191,1.00527,-0.00245
0.86,0.01145,1.00491,-0.00245
0.88,0.01091,1.00473,-0.00245
0.9,0.01082,1.00418,-0.00236
0.92,0.01118,1.00491,-0.00218
0.94,0.01136,1.00491,-0.00218
0.96,0.01164,1.004,-0.00191
0.98,0.01155,1.00445,-0.00173
1,0.01145,1.00455,-0.00155
1.02,0.01155,1.00427,-0.00136
1.04,0.01136,1.00427,-0.00127
1.06,0.01118,1.00418,-0.001
1.08,0.01091,1.00409,-0.00091
1.1,0.01109,1.00436,-0.00073
1.12,0.01127,1.00455,-0.00073
1.14,0.01136,1.004,-0.001
1.16,0.01136,1.00491,-0.00082
1.18,0.01118,1.00491,-0.00127
1.2,0.01109,1.00445,-0.00136
1.22,0.011,1.00509,-0.00164
1.24,0.01073,1.00473,-0.00173
1.26,0.01073,1.00491,-0.002
1.28,0.01091,1.00518,-0.00218
1.3,0.01109,1.00445,-0.00218
1.32,0.01127,1.00473,-0.00245
1.34,0.01164,1.00527,-0.00236
1.36,0.011,1.00482,-0.00209
1.38,0.01055,1.004,-0.00182
1.4,0.01073,1.00409,-0.00145
1.42,0.01118,1.00427,-0.00145
1.44,0.01136,1.00564,-0.00127
1.46,0.01136,1.00473,-0.00109
1.48,0.01127,1.003,-0.00073
1.5,0.01118,1.005,-0.00082
1.52,0.011,1.00609,-0.00055
1.54,0.01073,1.00373,0
1.56,0.01036,1.00409,-0.00009
1.58,0.01064,1.00555,-0.00009
1.6,0.01091,1.00491,-0.00027
1.62,0.01155,1.00482,-0.00036
1.64,0.01145,1.00555,-0.00045
1.66,0.01091,1.00455,-0.00036
1.68,0.01064,1.00455,-0.00055
1.7,0.01082,1.00582,-0.00091
1.72,0.01082,1.005,-0.001
1.74,0.011,1.00418,-0.00118
1.76,0.01136,1.00527,-0.00155
1.78,0.01155,1.00545,-0.00155
1.8,0.01127,1.00464,-0.00164
1.82,0.01082,1.00455,-0.00182
1.84,0.01027,1.00482,-0.00182
1.86,0.01036,1.00455,-0.00155
1.88,0.01073,1.00391,-0.00145
1.9,0.01091,1.00445,-0.00173
1.92,0.01091,1.00573,-0.00164
1.94,0.01055,1.00482,-0.00136
1.96,0.01018,1.00345,-0.00127
1.98,0.01064,1.00491,-0.00145
2,0.01082,1.00582,-0.00145
2.02,0.01055,1.00418,-0.00127
2.04,0.01064,1.00409,-0.00136
2.06,0.01091,1.00609,-0.00145
2.08,0.01118,1.005,-0.00155
2.1,0.01127,1.00418,-0.00164
2.12,0.01109,1.00582,-0.00127
2.14,0.01045,1.00445,-0.00109
2.16,0.01073,1.00355,-0.00136
2.18,0.01155,1.00564,-0.00136
2.2,0.01136,1.00527,-0.00118
2.22,0.01073,1.00291,-0.00118
2.24,0.01082,1.00491,-0.00109
2.26,0.01109,1.00627,-0.001
2.28,0.01091,1.00318,-0.00073
2.3,0.01064,1.00327,-0.00082
2.32,0.01036,1.00609,-0.00091
2.34,0.01064,1.00482,-0.00082
2.36,0.01127,1.00255,-0.00064
2.38,0.01155,1.005,-0.00082
2.4,0.01118,1.00673,-0.00118
2.42,0.01064,1.00382,-0.00109
2.44,0.01082,1.004,-0.00118
2.46,0.01127,1.006,-0.00164
2.48,0.01082,1.00455,-0.00155
2.5,0.01091,1.00473,-0.00164
2.52,0.01118,1.00609,-0.00173
2.54,0.01127,1.00455,-0.00173
2.56,0.01091,1.00391,-0.00191
2.58,0.01055,1.00664,-0.00227
2.6,0.01055,1.005,-0.00209
2.62,0.01091,1.00282,-0.00164
2.64,0.01155,1.00545,-0.00182
2.66,0.01145,1.00636,-0.00164
2.68,0.011,1.00391,-0.00118
2.7,0.01118,1.00391,-0.00118
2.72,0.01136,1.00536,-0.00127
2.74,0.01155,1.00573,-0.001
2.76,0.01173,1.00418,-0.001
2.78,0.012,1.005,-0.001
2.8,0.01227,1.00545,-0.00091
2.82,0.01164,1.00445,-0.00082
2.84,0.011,1.00455,-0.00091
2.86,0.01027,1.00555,-0.00064
2.88,0.01045,1.00418,-0.00064
2.9,0.01127,1.004,-0.00082
2.92,0.01182,1.005,-0.00082
2.94,0.011,1.00545,-0.001
2.96,0.01027,1.00391,-0.00109
2.98,0.01064,1.00364,-0.001
3,0.011,1.00491,-0.00109
3.02,0.01091,1.005,-0.00127
3.04,0.01091,1.00364,-0.00109
3.06,0.01118,1.00509,-0.00127
3.08,0.01145,1.00418,-0.00164
3.1,0.01127,1.00409,-0.00155
3.12,0.01109,1.005,-0.00155
3.14,0.01091,1.00555,-0.00145
3.16,0.01145,1.00364,-0.00109
3.18,0.01164,1.00373,-0.001
3.2,0.011,1.00564,-0.00136
3.22,0.01027,1.00509,-0.00118
3.24,0.01045,1.003,-0.00082
3.26,0.01145,1.00473,-0.00064
3.28,0.01173,1.00527,-0.00064
3.3,0.01127,1.00564,-0.00036
3.32,0.01118,1.00509,-0.00027
3.34,0.01109,1.00355,-0.00036
3.36,0.01136,1.00491,-0.00073
3.38,0.01118,1.00582,-0.00091
3.4,0.01091,1.00455,-0.00082
3.42,0.01118,1.00445,-0.00064
3.44,0.01155,1.00482,-0.00091
3.46,0.01182,1.00536,-0.00127
3.48,0.01136,1.00545,-0.00173
3.5,0.01064,1.00427,-0.00173
3.52,0.01045,1.00373,-0.00191
3.54,0.01073,1.00473,-0.002
3.56,0.01127,1.00591,-0.002
3.58,0.01073,1.00391,-0.00182
3.6,0.01045,1.00373,-0.00191
3.62,0.01045,1.00536,-0.00218
3.64,0.01064,1.00464,-0.00209
3.66,0.011,1.00318,-0.002
3.68,0.01082,1.00509,-0.00191
3.7,0.01091,1.00491,-0.00155
3.72,0.01109,1.00355,-0.00136
3.74,0.01155,1.00427,-0.00136
3.76,0.01109,1.00518,-0.00136
3.78,0.01018,1.00391,-0.00109
3.8,0.01064,1.00391,-0.001
3.82,0.01164,1.00482,-0.00091
3.84,0.012,1.00491,-0.00055
3.86,0.01127,1.005,-0.00055
3.88,0.01082,1.00482,-0.00027
3.9,0.01064,1.00445,-0.00036
3.92,0.01064,1.00491,-0.00055
3.94,0.01091,1.005,-0.00082
3.96,0.01127,1.00473,-0.00082
3.98,0.01145,1.00491,-0.001
4,0.01164,1.00527,-0.00118
4.02,0.01145,1.00482,-0.00136
4.04,0.01073,1.00518,-0.00164
4.06,0.01073,1.00518,-0.00191
4.08,0.01164,1.00436,-0.00182
4.1,0.01173,1.00518,-0.002
4.12,0.01155,1.00491,-0.002
4.14,0.01118,1.00455,-0.00191
4.16,0.01109,1.00491,-0.00173
4.18,0.01064,1.00445,-0.00164
4.2,0.01109,1.00436,-0.00155
4.22,0.01155,1.00436,-0.00136
