Time,Lateral,Vertical,Longitudinal
0,0.00316,0.97963,0.16674
0.02,0.00325,0.97994,0.16676
0.04,0.00308,0.97996,0.16713
0.06,0.00334,0.97981,0.1676
0.08,0.00353,0.97975,0.16765
0.1,0.00391,0.98,0.16749
0.12,0.0041,0.9801,0.16762
0.14,0.00452,0.98042,0.16776
0.16,0.0046,0.98033,0.16757
0.18,0.00512,0.98015,0.16731
0.2,0.00528,0.98034,0.16743
0.22,0.00548,0.98044,0.16756
0.24,0.00555,0.9802,0.16778
0.26,0.00591,0.98006,0.16773
0.28,0.00572,0.98035,0.16753
0.3,0.00548,0.98052,0.16735
0.32,0.00507,0.98041,0.16717
0.34,0.00481,0.98029,0.16716
0.36,0.00459,0.9804,0.16727
0.38,0.00453,0.9805,0.16755
0.4,0.00443,0.98056,0.16765
0.42,0.00459,0.98052,0.16744
0.44,0.00479,0.98039,0.16723
0.46,0.00494,0.98021,0.16677
0.48,0.00506,0.98024,0.16655
0.5,0.00541,0.98028,0.16637
0.52,0.00584,0.98018,0.1663
0.54,0.00611,0.98004,0.16665
0.56,0.00599,0.98009,0.16667
0.58,0.00577,0.9802,0.16679
0.6,0.00549,0.98029,0.16702
0.62,0.00499,0.98026,0.16703
0.64,0.00489,0.98012,0.16717
0.66,0.00481,0.98021,0.16736
0.68,0.00468,0.98049,0.16771
0.7,0.0046,0.98065,0.16769
0.72,0.00474,0.9805,0.1676
0.74,0.00476,0.98072,0.16765
0.76,0.00491,0.98077,0.16751
0.78,0.00497,0.98059,0.16744
0.8,0.00511,0.98045,0.16735
0.82,0.00495,0.98046,0.16719
0.84,0.00479,0.98059,0.16719
0.86,0.00487,0.98054,0.16738
0.88,0.00485,0.98032,0.16733
0.9,0.00493,0.98024,0.16714
0.92,0.005,0.98034,0.16682
0.94,0.00473,0.98048,0.16647
0.96,0.00467,0.98023,0.16625
0.98,0.00453,0.98006,0.16622
1,0.00442,0.98027,0.16686
1.02,0.00414,0.98037,0.16709
1.04,0.00406,0.98045,0.16728
1.06,0.00419,0.98022,0.16739
1.08,0.004,0.97997,0.16776
1.1,0.004,0.98029,0.16789
1.12,0.00368,0.98054,0.1679
1.14,0.00312,0.98061,0.16819
1.16,0.00299,0.98061,0.16879
1.18,0.0027,0.98074,0.16939
1.2,0.00238,0.98103,0.16978
1.22,0.00239,0.98096,0.16903
1.24,0.00297,0.98048,0.16854
1.26,0.00383,0.97982,0.16802
1.28,0.0044,0.98058,0.16794
1.3,0.00476,0.98193,0.16769
1.32,0.00486,0.98155,0.16746
1.34,0.00496,0.98022,0.16685
1.36,0.00518,0.97968,0.16644
1.38,0.00503,0.9804,0.16633
1.4,0.00498,0.98098,0.16632
1.42,0.00489,0.98014,0.16546
1.44,0.00476,0.97919,0.16464
1.46,0.00397,0.97983,0.16467
1.48,0.00302,0.98064,0.16509
1.5,0.00238,0.98046,0.1644
1.52,0.00216,0.9794,0.16485
1.54,0.00206,0.97955,0.16579
1.56,0.00599,0.97793,0.16729
1.58,0.00151,0.98098,0.17025
1.6,0.00084,0.98048,0.17143
1.62,0.00772,0.9764,0.17083
1.64,0.007,0.97712,0.17226
1.66,0.006,0.97769,0.17358
1.68,0.00566,0.97702,0.1735
1.7,0.00531,0.97649,0.17292
1.72,0.00493,0.9763,0.17379
1.74,0.00455,0.97686,0.17404
1.76,0.00436,0.97692,0.17454
1.78,-0.00027,0.9789,0.17472
1.8,0.00351,0.97564,0.17289
1.82,0.00363,0.97582,0.17217
1.84,-0.0041,0.98025,0.17316
1.86,-0.00412,0.98032,0.17286
1.88,-0.00372,0.9799,0.17287
1.9,-0.00393,0.97994,0.17328
1.92,-0.00428,0.98025,0.17395
1.94,-0.00461,0.98006,0.17358
1.96,-0.00501,0.97968,0.1727
1.98,-0.00519,0.97958,0.17162
2,-0.00469,0.97996,0.17107
2.02,-0.00415,0.98019,0.17081
2.04,-0.00339,0.97959,0.1704
2.06,-0.00237,0.979,0.16983
2.08,-0.00159,0.97902,0.16938
2.1,-0.00108,0.97933,0.16912
2.12,-0.00046,0.97963,0.16922
2.14,0.00019,0.97965,0.16937
2.16,0.00039,0.97981,0.16996
2.18,0.00036,0.97943,0.17032
2.2,-0.00008,0.97934,0.17043
2.22,-0.0006,0.97972,0.17065
2.24,-0.00107,0.98011,0.17067
2.26,-0.00175,0.98011,0.17081
2.28,-0.00225,0.97956,0.17074
2.3,-0.00231,0.97942,0.17068
2.32,-0.00196,0.97986,0.17043
2.34,-0.00158,0.98002,0.17022
2.36,-0.00121,0.97985,0.1698
2.38,-0.00053,0.97962,0.16933
2.4,0.00004,0.97975,0.169
2.42,0.0004,0.97981,0.16891
2.44,0.0007,0.97973,0.16877
2.46,0.0007,0.97973,0.16877
2.48,0.0007,0.97973,0.16877
2.5,0.00034,0.97979,0.16903
2.52,-0.00017,0.97948,0.16929
2.54,-0.00054,0.97945,0.16975
2.56,-0.00123,0.97975,0.16992
2.58,-0.00203,0.97999,0.17004
2.6,-0.00218,0.97969,0.16975
2.62,-0.00186,0.97937,0.17003
2.64,-0.0017,0.97947,0.17036
2.66,-0.00188,0.97982,0.17061
2.68,-0.00188,0.98002,0.17057
2.7,-0.00174,0.98019,0.1706
2.72,-0.00158,0.98006,0.1706
2.74,-0.00161,0.97996,0.17072
2.76,-0.00211,0.98005,0.1709
2.78,-0.00207,0.98028,0.17103
2.8,-0.00168,0.98018,0.17116
2.82,-0.0019,0.97997,0.17115
2.84,-0.0023,0.98014,0.17073
2.86,-0.00254,0.98043,0.17072
2.88,-0.00233,0.9803,0.17051
2.9,-0.0023,0.97971,0.17044
2.92,-0.00247,0.97938,0.17006
2.94,-0.00231,0.97997,0.1701
2.96,-0.00205,0.98041,0.17024
2.98,-0.00197,0.98013,0.17009
3,-0.00184,0.9793,0.17033
3.02,-0.00183,0.97944,0.17058
3.04,-0.00176,0.97983,0.17106
3.06,-0.00209,0.97986,0.17102
