Time,Lateral,Vertical,Longitudinal
0.00,-0.03618,0.99696,-0.05081
0.02,-0.03600,0.99618,-0.05036
0.04,-0.03595,0.99614,-0.05056
0.06,-0.03591,0.99611,-0.05072
0.08,-0.03587,0.99639,-0.05130
0.10,-0.03606,0.99629,-0.05120
0.12,-0.03610,0.99645,-0.05145
0.14,-0.03600,0.99568,-0.05121
0.16,-0.03613,0.99609,-0.05105
0.18,-0.03626,0.99576,-0.05111
0.20,-0.03644,0.99528,-0.05083
0.22,-0.03657,0.99572,-0.05132
0.24,-0.03694,0.99631,-0.05160
0.26,-0.03691,0.99638,-0.05149
0.28,-0.03683,0.99633,-0.05140
0.30,-0.03686,0.99596,-0.05092
0.32,-0.03668,0.99616,-0.05078
0.34,-0.03620,0.99585,-0.05017
0.36,-0.03566,0.99624,-0.05017
0.38,-0.03559,0.99617,-0.05046
0.40,-0.03550,0.99668,-0.05074
0.42,-0.03523,0.99690,-0.05087
0.44,-0.03536,0.99677,-0.05044
0.46,-0.03522,0.99637,-0.05023
0.48,-0.03552,0.99609,-0.05020
0.50,-0.03562,0.99634,-0.05025
0.52,-0.03547,0.99648,-0.05031
0.54,-0.03554,0.99655,-0.05048
0.56,-0.03595,0.99653,-0.05060
0.58,-0.03594,0.99654,-0.05069
0.60,-0.03546,0.99653,-0.05058
0.62,-0.03546,0.99624,-0.05007
0.64,-0.03539,0.99642,-0.05013
0.66,-0.03533,0.99606,-0.04992
0.68,-0.03505,0.99629,-0.05014
0.70,-0.03496,0.99679,-0.05033
0.72,-0.03497,0.99674,-0.05006
0.74,-0.03484,0.99657,-0.04999
0.76,-0.03459,0.99646,-0.04991
0.78,-0.03486,0.99626,-0.04986
0.80,-0.03529,0.99630,-0.04867
0.82,-0.03516,0.99673,-0.04961
0.84,-0.03542,0.99685,-0.05024
0.86,-0.03565,0.99619,-0.04944
0.88,-0.03539,0.99611,-0.04954
0.90,-0.03550,0.99684,-0.04951
0.92,-0.03526,0.99670,-0.04925
0.94,-0.03491,0.99608,-0.04934
0.96,-0.03528,0.99637,-0.04903
0.98,-0.03541,0.99656,-0.04928
1.00,-0.03486,0.99727,-0.04996
1.02,-0.03458,0.99705,-0.05091
1.04,-0.03498,0.99671,-0.04988
1.06,-0.03482,0.99658,-0.04953
1.08,-0.03460,0.99721,-0.05015
1.10,-0.03477,0.99777,-0.05015
1.12,-0.03497,0.99699,-0.04983
1.14,-0.03497,0.99699,-0.04983
1.16,-0.03507,0.99724,-0.04988
1.18,-0.03464,0.99735,-0.05031
1.20,-0.03455,0.99709,-0.05017
1.22,-0.03449,0.99671,-0.04986
1.24,-0.03444,0.99709,-0.04988
1.26,-0.03442,0.99741,-0.05001
1.28,-0.03434,0.99736,-0.04993
1.30,-0.03440,0.99719,-0.04996
1.32,-0.03454,0.99659,-0.05016
1.34,-0.03450,0.99674,-0.05050
1.36,-0.03455,0.99687,-0.05057
1.38,-0.03478,0.99727,-0.05061
1.40,-0.03498,0.99699,-0.05029
1.42,-0.03486,0.99676,-0.04987
1.44,-0.03520,0.99636,-0.04967
1.46,-0.03548,0.99613,-0.04945
1.48,-0.03534,0.99601,-0.04965
1.50,-0.03494,0.99629,-0.04986
1.52,-0.03494,0.99632,-0.05004
1.54,-0.03485,0.99629,-0.05004
1.56,-0.03471,0.99614,-0.05006
1.58,-0.03478,0.99598,-0.05009
1.60,-0.03468,0.99573,-0.05004
1.62,-0.03493,0.99586,-0.05021
1.64,-0.03522,0.99612,-0.05046
1.66,-0.03512,0.99666,-0.05091
1.68,-0.03498,0.99655,-0.05111
1.70,-0.03510,0.99650,-0.05112
1.72,-0.03557,0.99628,-0.05109
1.74,-0.03563,0.99636,-0.05089
1.76,-0.03567,0.99625,-0.05073
