Time,Lateral,Vertical,Longitudinal
0,0.46671,-0.41745,0.95528
0.02,0.46671,-0.41745,0.95528
0.04,0.46671,-0.41745,0.95528
0.06,0.46671,-0.41745,0.95528
0.08,0.46671,-0.41745,0.95528
0.1,0.46671,-0.41745,0.95528
0.12,0.46116,-0.45468,0.97216
0.14,0.46023,-0.43188,0.96491
0.16,0.4495,-0.40823,0.95694
0.18,0.46058,-0.39304,0.95523
0.2,0.45758,-0.36669,0.97176
0.22,0.47947,-0.34616,0.95612
0.24,0.49019,-0.32546,0.93546
0.26,0.48855,-0.30992,0.91397
0.28,0.47798,-0.30478,0.88541
0.3,0.4729,-0.3087,0.83935
0.32,0.47851,-0.3286,0.78058
0.34,0.48632,-0.31693,0.70454
0.36,0.49977,-0.37104,0.65113
0.38,0.49818,-0.4258,0.5946
0.4,0.47334,-0.46898,0.53458
0.42,0.46912,-0.52456,0.46567
0.44,0.44035,-0.57115,0.43312
0.46,0.42205,-0.61446,0.41048
0.48,0.41514,-0.64791,0.39261
0.5,0.42052,-0.66795,0.38589
0.52,0.43122,-0.67492,0.40179
0.54,0.43189,-0.66637,0.4315
0.56,0.43591,-0.65217,0.4616
0.58,0.42794,-0.635,0.49545
0.6,0.44253,-0.6195,0.53523
0.62,0.45951,-0.60908,0.56953
0.64,0.46898,-0.59649,0.59136
0.66,0.4778,-0.58518,0.60518
0.68,0.49073,-0.57679,0.60933
0.7,0.5079,-0.57034,0.60967
0.72,0.52966,-0.56751,0.61477
0.74,0.54012,-0.56881,0.61658
0.76,0.54524,-0.56941,0.61992
0.78,0.54099,-0.56879,0.62561
0.8,0.53028,-0.56498,0.63354
0.82,0.52891,-0.56189,0.63633
0.84,0.52729,-0.55635,0.63148
0.86,0.53727,-0.55386,0.62475
0.88,0.54658,-0.55741,0.61844
0.9,0.53646,-0.57063,0.60705
0.92,0.52765,-0.58849,0.60719
0.94,0.50941,-0.59738,0.61119
0.96,0.48966,-0.60025,0.6191
0.98,0.47531,-0.60094,0.62571
1,0.46865,-0.60554,0.63215
1.02,0.46763,-0.61034,0.63246
1.04,0.46776,-0.61729,0.63679
1.06,0.45894,-0.61532,0.65087
1.08,0.43833,-0.61404,0.66555
1.1,0.42168,-0.60731,0.68654
1.12,0.41367,-0.58777,0.72433
1.14,0.40005,-0.56109,0.75149
1.16,0.39391,-0.54794,0.77015
1.18,0.38668,-0.54127,0.78217
1.2,0.37287,-0.52825,0.78995
1.22,0.36421,-0.49892,0.79656
1.24,0.35986,-0.467,0.80256
1.26,0.34171,-0.42594,0.80934
1.28,0.33168,-0.39611,0.82714
1.3,0.32108,-0.36145,0.8644
1.32,0.34266,-0.3464,0.89161
1.34,0.35214,-0.32136,0.90568
1.36,0.37321,-0.29017,0.91666
1.38,0.38071,-0.24562,0.92201
1.4,0.38332,-0.19723,0.93302
1.42,0.40413,-0.14203,0.92352
1.44,0.42845,-0.0938,0.91729
1.46,0.4476,-0.04677,0.91732
1.48,0.47326,-0.00912,0.91653
1.5,0.48513,0.03126,0.91313
1.52,0.48905,0.04669,0.90287
1.54,0.46352,0.07992,0.89649
1.56,0.46294,0.1072,0.89156
1.58,0.46326,0.12782,0.88826
1.6,0.47719,0.14276,0.88731
1.62,0.48671,0.14918,0.89331
1.64,0.47728,0.14412,0.91926
1.66,0.46528,0.13558,0.9366
1.68,0.46086,0.12629,0.94727
1.7,0.45661,0.12339,0.95552
1.72,0.46566,0.11161,0.95712
1.74,0.48347,0.12,0.94522
1.76,0.49954,0.13308,0.92744
1.78,0.51626,0.14426,0.9078
1.8,0.51899,0.15099,0.88695
1.82,0.50564,0.15099,0.86499
1.84,0.49419,0.14605,0.82675
1.86,0.49067,0.13814,0.78857
1.88,0.48343,0.13206,0.74762
1.9,0.47237,0.12988,0.69921
1.92,0.46964,0.1236,0.63918
1.94,0.48307,0.12958,0.5768
1.96,0.50467,0.13766,0.5187
1.98,0.52229,0.14159,0.46978
2,0.54573,0.11718,0.43197
2.02,0.54394,0.10228,0.37835
2.04,0.54297,0.09855,0.31133
2.06,0.54513,0.11021,0.24149
2.08,0.54281,0.12871,0.17679
2.1,0.54302,0.15188,0.13135
2.12,0.54986,0.18597,0.07786
2.14,0.54412,0.23173,0.02001
2.16,0.52466,0.28905,-0.03307
2.18,0.51172,0.3675,-0.08857
2.2,0.52749,0.46996,-0.14315
2.22,0.54715,0.61481,-0.18966
2.24,0.57805,0.75477,-0.21042
2.26,0.60586,0.89463,-0.21843
