Time,Lateral,Vertical,Longitudinal
0.00,-0.03962,1.01965,0.00539
0.02,-0.03952,1.02068,0.00718
0.04,-0.03930,1.02112,0.00670
0.06,-0.03925,1.02037,0.00651
0.08,-0.03920,1.01977,0.00636
0.10,-0.03907,1.02018,0.00609
0.12,-0.03835,1.01999,0.00543
0.14,-0.03826,1.02088,0.00527
0.16,-0.03835,1.01999,0.00543
0.18,-0.03844,1.01910,0.00558
0.20,-0.03844,1.01910,0.00558
0.22,-0.03835,1.01999,0.00543
0.24,-0.03834,1.01886,0.00425
0.26,-0.03843,1.01797,0.00440
0.28,-0.03843,1.01797,0.00440
0.30,-0.03781,1.01801,0.00507
0.32,-0.03791,1.01712,0.00522
0.34,-0.03791,1.01712,0.00522
0.36,-0.03791,1.01712,0.00522
0.38,-0.03791,1.01712,0.00522
0.40,-0.03791,1.01712,0.00522
0.42,-0.03791,1.01712,0.00522
0.44,-0.03800,1.01623,0.00537
0.46,-0.03800,1.01623,0.00537
0.48,-0.03800,1.01623,0.00537
0.50,-0.03800,1.01623,0.00537
0.52,-0.03853,1.01708,0.00456
0.54,-0.03853,1.01708,0.00456
0.56,-0.03862,1.01618,0.00471
0.58,-0.03862,1.01618,0.00471
0.60,-0.03853,1.01708,0.00456
0.62,-0.03843,1.01797,0.00440
0.64,-0.03843,1.01797,0.00440
0.66,-0.03843,1.01797,0.00440
0.68,-0.03843,1.01797,0.00440
0.70,-0.03843,1.01797,0.00440
0.72,-0.03843,1.01797,0.00440
0.74,-0.03853,1.01708,0.00456
0.76,-0.03843,1.01797,0.00440
0.78,-0.03843,1.01797,0.00440
0.80,-0.03853,1.01708,0.00456
0.82,-0.03862,1.01618,0.00471
0.84,-0.03944,1.01548,0.00553
0.86,-0.03944,1.01548,0.00553
0.88,-0.03944,1.01548,0.00553
0.90,-0.04007,1.01656,0.00604
0.92,-0.04070,1.01765,0.00655
0.94,-0.04070,1.01765,0.00655
0.96,-0.04060,1.01854,0.00640
0.98,-0.04060,1.01854,0.00640
1.00,-0.04051,1.01943,0.00624
1.02,-0.04042,1.02032,0.00609
1.04,-0.04042,1.02032,0.00609
1.06,-0.03960,1.02102,0.00527
1.08,-0.03960,1.02102,0.00527
1.10,-0.03951,1.02191,0.00512
1.12,-0.03826,1.02088,0.00527
1.14,-0.03763,1.01980,0.00476
1.16,-0.03763,1.01980,0.00476
1.18,-0.03772,1.01891,0.00491
1.20,-0.03781,1.01801,0.00507
1.22,-0.03863,1.01731,0.00588
1.24,-0.03863,1.01731,0.00588
1.26,-0.03863,1.01731,0.00588
1.28,-0.03863,1.01731,0.00588
1.30,-0.03854,1.01820,0.00573
1.32,-0.03807,1.01625,0.00543
1.34,-0.03816,1.01536,0.00559
1.36,-0.03763,1.01452,0.00640
1.38,-0.03877,1.01777,0.00848
1.40,-0.03877,1.01777,0.00848
1.42,-0.04008,1.01880,0.00826
1.44,-0.03884,1.01890,0.00958
1.46,-0.03828,1.01783,0.00913
1.48,-0.03890,1.01891,0.00964
1.50,-0.03901,1.01915,0.01097
1.52,-0.03844,1.01809,0.01052
1.54,-0.03964,1.02023,0.01148
1.56,-0.04079,1.02216,0.01118
1.58,-0.04200,1.02295,0.00963
1.60,-0.04087,1.01969,0.00756
1.62,-0.04150,1.02077,0.00807
1.64,-0.04019,1.02087,0.00946
1.66,-0.04071,1.02059,0.00747
1.68,-0.04137,1.02076,0.00808
1.70,-0.04146,1.01987,0.00823
1.72,-0.04218,1.01893,0.00772
1.74,-0.04274,1.01999,0.00817
1.76,-0.04202,1.01980,0.00751
1.78,-0.04139,1.01872,0.00699
1.80,-0.04071,1.01877,0.00772
1.82,-0.04008,1.01882,0.00839
1.84,-0.03936,1.01863,0.00772
1.86,-0.03935,1.01750,0.00655
1.88,-0.03935,1.01750,0.00655
1.90,-0.03926,1.01839,0.00639
1.92,-0.03844,1.01910,0.00558
1.94,-0.03648,1.01900,0.00624
1.96,-0.03533,1.01821,0.00772
1.98,-0.03735,1.01717,0.00582
2.00,-0.03866,1.01820,0.00560
2.02,-0.03871,1.01955,0.00804
2.04,-0.03935,1.01927,0.00604
2.06,-0.03945,1.01951,0.00737
2.08,-0.03946,1.02064,0.00854
2.10,-0.03946,1.02064,0.00854
2.12,-0.04015,1.02059,0.00782
2.14,-0.04025,1.02082,0.00914
2.16,-0.04212,1.02181,0.00833
2.18,-0.04336,1.02171,0.00700
2.20,-0.04154,1.02210,0.01038
2.22,-0.04023,1.02107,0.01060
2.24,-0.04019,1.02085,0.00933
2.26,-0.04026,1.02019,0.01082
2.28,-0.03847,1.01667,0.00816
2.30,-0.03847,1.01554,0.00698
2.32,-0.03847,1.01667,0.00816
2.34,-0.03788,1.01583,0.00904
2.36,-0.03788,1.01470,0.00786
2.38,-0.03725,1.01475,0.00853
2.40,-0.03725,1.01475,0.00853
2.42,-0.03715,1.01451,0.00720
2.44,-0.03716,1.01564,0.00837
2.46,-0.03778,1.01559,0.00771
2.48,-0.03832,1.01756,0.00807
2.50,-0.04009,1.01995,0.00956
2.52,-0.04009,1.01995,0.00956
2.54,-0.03999,1.01971,0.00823
2.56,-0.03990,1.02060,0.00808
2.58,-0.03990,1.02060,0.00808
2.60,-0.04061,1.01967,0.00757
2.62,-0.04061,1.01967,0.00757
2.64,-0.04124,1.02075,0.00808
2.66,-0.04186,1.02070,0.00742
2.68,-0.04186,1.02070,0.00742
2.70,-0.04123,1.01962,0.00691
2.72,-0.04186,1.02070,0.00742
2.74,-0.04120,1.02053,0.00682
2.76,-0.04064,1.01946,0.00636
2.78,-0.04074,1.01970,0.00769
2.80,-0.04074,1.01970,0.00769
2.82,-0.03936,1.01934,0.00642
2.84,-0.03937,1.02047,0.00760
2.86,-0.03874,1.01939,0.00709
2.88,-0.03811,1.01830,0.00657
2.90,-0.03748,1.01722,0.00606
2.92,-0.03686,1.01727,0.00673
2.94,-0.03696,1.01638,0.00688
2.96,-0.03834,1.01674,0.00815
2.98,-0.03890,1.01781,0.00860
3.00,-0.03880,1.01757,0.00727
3.02,-0.03870,1.01846,0.00712
3.04,-0.03936,1.01863,0.00772
3.06,-0.03935,1.01750,0.00655
3.08,-0.03935,1.01750,0.00655
3.10,-0.04008,1.01769,0.00721
3.12,-0.04071,1.01877,0.00772
3.14,-0.04205,1.01892,0.00772
3.16,-0.04133,1.01873,0.00706
3.18,-0.04060,1.01854,0.00640
3.20,-0.04070,1.01765,0.00655
3.22,-0.04079,1.01675,0.00670
3.24,-0.04161,1.01605,0.00752
3.26,-0.03938,1.01036,0.00322
3.28,-0.03715,1.00466,-0.00107
3.30,-0.04058,1.01483,0.00639
3.32,-0.04586,1.02363,0.01071
3.34,-0.04107,1.01655,0.00536
3.36,-0.03973,1.01641,0.00536
3.38,-0.03982,1.01552,0.00551
3.40,-0.03992,1.01463,0.00566
3.42,-0.03982,1.01552,0.00551
3.44,-0.04111,1.01677,0.00662
3.46,-0.03973,1.01641,0.00536
3.48,-0.04130,1.02194,0.00905
3.50,-0.04354,1.02877,0.01452
3.52,-0.04011,1.01860,0.00705
3.54,-0.03473,1.01068,0.00258
3.56,-0.03961,1.01687,0.00809
3.58,-0.04024,1.01682,0.00742
3.60,-0.04077,1.01879,0.00778
3.62,-0.04131,1.02076,0.00814
3.64,-0.04084,1.01881,0.00784
3.66,-0.04027,1.01775,0.00739
3.68,-0.04165,1.01811,0.00866
3.70,-0.04231,1.01828,0.00926
3.72,-0.04231,1.01828,0.00926
3.74,-0.04231,1.01828,0.00926
3.76,-0.04168,1.01720,0.00875
3.78,-0.04159,1.01809,0.00860
3.80,-0.04222,1.01917,0.00911
3.82,-0.04159,1.01809,0.00860
3.84,-0.04159,1.01809,0.00860
3.86,-0.04215,1.01915,0.00905
3.88,-0.04143,1.01896,0.00839
3.90,-0.04061,1.01967,0.00757
3.92,-0.04061,1.01967,0.00757
3.94,-0.04060,1.01854,0.00640
3.96,-0.04060,1.01854,0.00640
3.98,-0.04133,1.01873,0.00706
4.00,-0.04070,1.01765,0.00655
4.02,-0.04007,1.01656,0.00604
4.04,-0.03997,1.01746,0.00588
4.06,-0.03934,1.01637,0.00537
4.08,-0.03934,1.01637,0.00537
4.10,-0.04007,1.01656,0.00604
4.12,-0.04079,1.01675,0.00670
4.14,-0.04079,1.01675,0.00670
4.16,-0.04079,1.01675,0.00670
4.18,-0.04151,1.01694,0.00737
4.20,-0.04151,1.01694,0.00737
4.22,-0.04151,1.01694,0.00737
4.24,-0.04142,1.01784,0.00721
4.26,-0.04214,1.01803,0.00788
4.28,-0.04277,1.01911,0.00839
4.30,-0.04277,1.01911,0.00839
4.32,-0.04277,1.01911,0.00839
4.34,-0.04287,1.01822,0.00854
4.36,-0.04287,1.01822,0.00854
4.38,-0.04287,1.01822,0.00854
4.40,-0.04214,1.01803,0.00788
4.42,-0.04133,1.01873,0.00706
4.44,-0.04133,1.01873,0.00706
4.46,-0.04142,1.01784,0.00721
4.48,-0.04079,1.01675,0.00670
4.50,-0.04007,1.01656,0.00604
4.52,-0.04079,1.01675,0.00670
4.54,-0.04070,1.01765,0.00655
4.56,-0.04060,1.01854,0.00640
4.58,-0.04060,1.01854,0.00640
4.60,-0.04060,1.01854,0.00640
4.62,-0.04060,1.01854,0.00640
4.64,-0.04060,1.01854,0.00640
