Time,Lateral,Vertical,Longitudinal
0.00,0.02488,0.99577,-0.05641
0.02,0.02715,0.99696,-0.05716
0.04,0.02917,0.99738,-0.05832
0.06,0.03049,0.99591,-0.05879
0.08,0.02949,0.99508,-0.05857
0.10,0.02822,0.99444,-0.05844
0.12,0.02749,0.99473,-0.05857
0.14,0.02668,0.99551,-0.05871
0.16,0.02684,0.99531,-0.06005
0.18,0.02745,0.99300,-0.06046
0.20,0.02809,0.99079,-0.06170
0.22,0.02819,0.99029,-0.06248
0.24,0.02643,0.98861,-0.06315
0.26,0.02417,0.98779,-0.06261
0.28,0.02308,0.98888,-0.06194
0.30,0.02462,0.98946,-0.06222
0.32,0.02563,0.99073,-0.06271
0.34,0.02624,0.99060,-0.06193
0.36,0.02548,0.98913,-0.06066
0.38,0.02475,0.98837,-0.05924
0.40,0.02494,0.98959,-0.05968
0.42,0.02674,0.99037,-0.05923
0.44,0.02701,0.99194,-0.05771
0.46,0.02609,0.99378,-0.05541
0.48,0.02649,0.99457,-0.05419
0.50,0.02684,0.99442,-0.05436
0.52,0.02686,0.99441,-0.05408
0.54,0.02815,0.99494,-0.05204
0.56,0.02769,0.99409,-0.05280
0.58,0.02786,0.99257,-0.05453
0.60,0.02809,0.99115,-0.05546
0.62,0.02690,0.99265,-0.05404
0.64,0.02620,0.99380,-0.05308
0.66,0.02741,0.99620,-0.05269
0.68,0.02875,0.99519,-0.05364
0.70,0.02966,0.99132,-0.05435
0.72,0.02856,0.99049,-0.05399
0.74,0.02781,0.98986,-0.05290
0.76,0.02654,0.98856,-0.05445
0.78,0.02706,0.98937,-0.05409
0.80,0.02804,0.99237,-0.05239
0.82,0.02812,0.99510,-0.05139
0.84,0.02874,0.99471,-0.05042
0.86,0.02768,0.99576,-0.04937
0.88,0.02492,0.99301,-0.04959
0.90,0.02470,0.99301,-0.04900
0.92,0.02596,0.99695,-0.04862
0.94,0.02823,0.99707,-0.04990
0.96,0.02785,0.99625,-0.04969
0.98,0.02887,0.99565,-0.05144
1.00,0.02596,0.99401,-0.05066
1.02,0.02695,0.99397,-0.05182
1.04,0.02755,0.99324,-0.05203
1.06,0.02669,0.99305,-0.05243
1.08,0.02753,0.99129,-0.05362
1.10,0.02920,0.99172,-0.05455
1.12,0.03069,0.99078,-0.05598
1.14,0.02955,0.98821,-0.05751
1.16,0.02704,0.98841,-0.05599
1.18,0.02656,0.98983,-0.05689
1.20,0.02585,0.99078,-0.05484
1.22,0.02929,0.99328,-0.05515
1.24,0.02880,0.99169,-0.05386
1.26,0.02737,0.99231,-0.05479
1.28,0.02884,0.99123,-0.05529
1.30,0.02819,0.99170,-0.05458
1.32,0.02903,0.99221,-0.05456
1.34,0.02908,0.99333,-0.05337
1.36,0.02715,0.99419,-0.05272
1.38,0.02740,0.99207,-0.05332
1.40,0.02791,0.99177,-0.05260
1.42,0.02823,0.99532,-0.05229
1.44,0.02898,0.99360,-0.05142
1.46,0.02833,0.99226,-0.05216
1.48,0.02811,0.98905,-0.05234
1.50,0.02779,0.99080,-0.05149
1.52,0.02875,0.99389,-0.05111
1.54,0.02749,0.99341,-0.05061
1.56,0.02638,0.99325,-0.05078
1.58,0.02770,0.99398,-0.04954
1.60,0.02840,0.99687,-0.04883
1.62,0.02897,0.99696,-0.04971
1.64,0.02877,0.99193,-0.05105
1.66,0.02860,0.99120,-0.05276
1.68,0.02904,0.99242,-0.05244
1.70,0.02891,0.99555,-0.05197
1.72,0.02818,0.99490,-0.05273
1.74,0.02738,0.99170,-0.05336
1.76,0.02710,0.99084,-0.05307
1.78,0.02784,0.99086,-0.05302
1.80,0.02871,0.99181,-0.05284
1.82,0.02872,0.99174,-0.05373
1.84,0.02837,0.99067,-0.05420
1.86,0.02732,0.99209,-0.05311
1.88,0.02675,0.99407,-0.05206
1.90,0.02683,0.99382,-0.05216
1.92,0.02784,0.99314,-0.05180
1.94,0.02872,0.99221,-0.05181
1.96,0.02910,0.99257,-0.05181
1.98,0.02961,0.99291,-0.05230
2.00,0.02859,0.99208,-0.05224
2.02,0.02738,0.99111,-0.05309
2.04,0.02767,0.99128,-0.05198
2.06,0.02879,0.99262,-0.05109
2.08,0.03079,0.99139,-0.05178
2.10,0.03163,0.99092,-0.05250
2.12,0.03192,0.99003,-0.05305
2.14,0.03180,0.99051,-0.05247
2.16,0.03179,0.99269,-0.05128
2.18,0.03293,0.99170,-0.05251
2.20,0.03341,0.99066,-0.05292
2.22,0.03318,0.99112,-0.05254
2.24,0.03313,0.99117,-0.05107
2.26,0.03292,0.99153,-0.05043
2.28,0.03269,0.99194,-0.05017
2.30,0.03342,0.99322,-0.04956
2.32,0.03311,0.99287,-0.04879
2.34,0.03260,0.99296,-0.04843
2.36,0.03173,0.99144,-0.04941
2.38,0.03159,0.98989,-0.05045
2.40,0.03050,0.99184,-0.04898
2.42,0.03047,0.99396,-0.04704
2.44,0.03200,0.99495,-0.04659
2.46,0.03258,0.99510,-0.04736
2.48,0.03263,0.99383,-0.04841
2.50,0.03237,0.99307,-0.04896
2.52,0.03034,0.99348,-0.04837
2.54,0.03063,0.99299,-0.05002
2.56,0.03129,0.99252,-0.05073
2.58,0.03144,0.99323,-0.05029
2.60,0.03108,0.99312,-0.05020
2.62,0.03079,0.99256,-0.05019
2.64,0.02964,0.99142,-0.05140
2.66,0.02849,0.99098,-0.05186
2.68,0.02809,0.99118,-0.05234
2.70,0.02844,0.99088,-0.05238
2.72,0.02807,0.99049,-0.05230
2.74,0.02824,0.99043,-0.05243
2.76,0.02742,0.99186,-0.05088
2.78,0.02642,0.99280,-0.05007
2.80,0.02735,0.99279,-0.04995
2.82,0.02841,0.99375,-0.04958
2.84,0.02909,0.99433,-0.04942
2.86,0.02970,0.99475,-0.04882
2.88,0.03042,0.99487,-0.05009
2.90,0.03124,0.99109,-0.05183
2.92,0.03120,0.99159,-0.05242
2.94,0.03154,0.99441,-0.05277
2.96,0.03128,0.99220,-0.05278
2.98,0.02888,0.98991,-0.05218
3.00,0.02658,0.98963,-0.05124
3.02,0.02537,0.99017,-0.05066
