Time,Lateral,Vertical,Longitudinal
0.00,0.07818,0.78337,0.58964
0.02,0.06772,0.79273,0.58857
0.04,0.08084,0.79756,0.59260
0.06,0.09653,0.79951,0.59516
0.08,0.10262,0.80119,0.59823
0.10,0.09994,0.80228,0.59753
0.12,0.11288,0.80474,0.60305
0.14,0.12370,0.81164,0.60749
0.16,0.11024,0.81989,0.61108
0.18,0.10503,0.82357,0.61592
0.20,0.11478,0.82407,0.61807
0.22,0.13989,0.82135,0.62241
0.24,0.15435,0.82243,0.62380
0.26,0.13914,0.82427,0.62744
0.28,0.11860,0.82228,0.64117
0.30,0.12227,0.81537,0.65037
0.32,0.14122,0.80906,0.65951
0.34,0.15114,0.80361,0.66782
0.36,0.14952,0.79345,0.67649
0.38,0.16689,0.78030,0.69694
0.40,0.19377,0.76843,0.72067
0.42,0.20833,0.75170,0.73698
0.44,0.19920,0.72541,0.75085
0.46,0.16451,0.69213,0.77414
0.48,0.13077,0.66402,0.79818
0.50,0.11156,0.63246,0.80761
0.52,0.09420,0.58082,0.79971
0.54,0.04831,0.52567,0.79368
0.56,-0.03277,0.50021,0.80110
0.58,-0.10273,0.47631,0.80701
0.60,-0.15206,0.44313,0.79498
0.62,-0.21626,0.41052,0.77933
0.64,-0.28626,0.38549,0.78011
0.66,-0.33591,0.35980,0.77689
0.68,-0.34979,0.33265,0.76260
0.70,-0.33364,0.29781,0.74535
0.72,-0.32371,0.26747,0.72640
0.74,-0.35087,0.27026,0.73019
0.76,-0.38222,0.27963,0.73509
0.78,-0.37721,0.26350,0.72830
0.80,-0.38174,0.26180,0.72643
0.82,-0.41918,0.28883,0.72978
0.84,-0.42908,0.27821,0.72540
0.86,-0.47750,0.28961,0.70091
0.88,-0.54150,0.32501,0.67692
0.90,-0.58352,0.35304,0.64737
0.92,-0.57474,0.34756,0.62534
0.94,-0.62068,0.36145,0.64929
0.96,-0.67149,0.34785,0.65526
0.98,-0.61467,0.32752,0.69246
1.00,-0.49559,0.29984,0.72111
1.02,-0.37771,0.24310,0.72452
1.04,-0.23074,0.18086,0.72503
1.06,-0.13032,0.19793,0.76304
1.08,-0.03119,0.21171,0.80913
1.10,0.12802,0.27046,0.87080
1.12,0.14553,0.36216,0.98157
1.14,0.10235,0.42969,1.04122
1.16,0.11791,0.46407,1.05663
1.18,0.17761,0.48235,1.05110
1.20,0.16518,0.49513,0.99915
1.22,0.08551,0.54397,0.97987
1.24,0.01632,0.62072,0.98583
1.26,-0.11021,0.68433,0.96118
1.28,-0.20162,0.68110,0.91768
1.30,-0.23676,0.65648,0.88709
1.32,-0.32018,0.58885,0.84929
1.34,-0.25548,0.50199,0.76723
1.36,-0.22176,0.46668,0.73108
1.38,-0.22200,0.43086,0.68742
1.40,-0.26433,0.40849,0.68369
1.42,-0.39324,0.40994,0.68194
1.44,-0.45856,0.37692,0.66039
1.46,-0.48095,0.33648,0.64679
1.48,-0.46829,0.32117,0.66765
1.50,-0.52857,0.35936,0.68635
1.52,-0.56978,0.35654,0.66489
1.54,-0.61192,0.34317,0.66946
1.56,-0.66825,0.32538,0.66051
1.58,-0.68737,0.32496,0.65421
1.60,-0.69146,0.34271,0.65928
1.62,-0.71376,0.39740,0.66202
1.64,-0.68519,0.43150,0.67023
1.66,-0.69031,0.46805,0.67066
1.68,-0.74300,0.50201,0.66342
1.70,-0.77609,0.48905,0.65389
1.72,-0.76154,0.44238,0.62843
1.74,-0.76715,0.43966,0.63231
1.76,-0.76518,0.43899,0.60163
1.78,-0.78953,0.43456,0.58690
1.80,-0.82652,0.42970,0.57581
1.82,-0.86624,0.42031,0.56310
1.84,-0.86211,0.39863,0.54414
1.86,-0.82592,0.40326,0.54319
1.88,-0.78427,0.40013,0.54184
1.90,-0.73308,0.39520,0.52536
1.92,-0.72408,0.42397,0.52038
1.94,-0.68934,0.44862,0.52425
1.96,-0.65018,0.47763,0.52522
1.98,-0.58741,0.49199,0.54291
2.00,-0.52654,0.52021,0.56312
2.02,-0.49895,0.56087,0.57941
2.04,-0.41296,0.58223,0.59498
2.06,-0.33693,0.57594,0.59369
2.08,-0.31362,0.56133,0.58685
2.10,-0.39390,0.55891,0.58325
2.12,-0.45627,0.55271,0.56934
2.14,-0.44708,0.54063,0.57138
2.16,-0.43931,0.55944,0.58597
2.18,-0.49355,0.58521,0.60620
2.20,-0.56203,0.61050,0.60680
2.22,-0.56845,0.61969,0.58500
2.24,-0.41516,0.64201,0.58194
2.26,-0.33890,0.68058,0.58308
2.28,-0.38494,0.73704,0.57709
2.30,-0.42594,0.77072,0.55762
2.32,-0.33630,0.78713,0.56726
2.34,-0.27364,0.76889,0.58468
