Time,Lateral,Vertical,Longitudinal
0,0.9169,0.24126,0.48534
0.02,0.91356,0.24399,0.4937
0.04,0.91102,0.24481,0.50105
0.06,0.90821,0.24514,0.50683
0.08,0.91071,0.24369,0.50696
0.1,0.91579,0.24077,0.50753
0.12,0.92674,0.23562,0.50653
0.14,0.9313,0.23142,0.49902
0.16,0.93332,0.22628,0.48744
0.18,0.93365,0.22086,0.47598
0.2,0.92822,0.21539,0.46489
0.22,0.92542,0.20722,0.45717
0.24,0.92444,0.19771,0.44249
0.26,0.91071,0.19332,0.41486
0.28,0.90058,0.19206,0.38701
0.3,0.88577,0.18757,0.36822
0.32,0.87156,0.18861,0.35115
0.34,0.84912,0.19557,0.33997
0.36,0.82206,0.19864,0.3317
0.38,0.79151,0.21475,0.32365
0.4,0.74824,0.26874,0.31305
0.42,0.72316,0.31705,0.3055
0.44,0.67717,0.35495,0.28137
0.46,0.63326,0.36232,0.24659
0.48,0.57005,0.36582,0.21315
0.5,0.52764,0.36923,0.14722
0.52,0.49098,0.39566,0.06993
0.54,0.44344,0.41026,-0.02275
0.56,0.37999,0.40988,-0.12995
0.58,0.32325,0.40743,-0.27274
0.6,0.28123,0.43337,-0.44212
0.62,0.26646,0.51889,-0.62006
0.64,0.21599,0.65306,-0.76841
0.66,0.1423,0.8403,-0.86485
0.68,0.02793,1.07826,-0.90633
0.7,-0.04265,1.30436,-0.93035
0.72,-0.09915,1.51508,-0.93604
0.74,-0.22455,1.59312,-0.95344
0.76,-0.31591,1.58727,-0.97899
0.78,-0.38392,1.7234,-0.92524
0.8,-0.41479,1.84869,-0.866
0.82,-0.44276,1.87623,-0.80903
0.84,-0.43052,1.70716,-0.75544
0.86,-0.46134,1.56246,-0.6797
0.88,-0.46617,1.41431,-0.6393
0.9,-0.4285,1.2452,-0.62716
0.92,-0.37272,1.03074,-0.65907
0.94,-0.34551,0.7873,-0.69754
0.96,-0.31299,0.66796,-0.71033
0.98,-0.25177,0.64001,-0.65071
1,-0.19195,0.4885,-0.6488
1.02,-0.22706,0.35609,-0.63113
1.04,-0.22556,0.27972,-0.5837
1.06,-0.27702,0.29878,-0.52027
1.08,-0.26376,0.23421,-0.72873
1.1,-0.30871,0.30961,-1.19072
1.12,-0.29524,0.27254,-1.26227
1.14,-0.28819,0.27688,-1.21808
1.16,-0.26982,0.33214,-1.04788
1.18,-0.19363,0.344,-0.99566
1.2,-0.20817,0.3397,-1.04496
1.22,-0.24368,0.32392,-1.11734
1.24,-0.20073,0.32325,-1.1832
1.26,-0.19084,0.32553,-1.24583
1.28,-0.22111,0.32516,-1.30525
1.3,-0.30135,0.34308,-1.14926
1.32,-0.23327,0.21662,-0.72214
1.34,-0.20352,0.20739,-0.70106
1.36,-0.20008,0.20892,-0.76095
1.38,-0.20441,0.18842,-0.92715
1.4,-0.19945,0.19531,-0.98729
1.42,-0.17246,0.21133,-1.01213
1.44,-0.17075,0.20133,-1.01855
1.46,-0.17112,0.1788,-1.0123
1.48,-0.17612,0.17612,-0.99239
1.5,-0.13187,0.197,-0.9748
1.52,-0.03885,0.22647,-0.9624
1.54,-0.02558,0.22176,-0.97461
1.56,-0.03412,0.19476,-0.98446
1.58,-0.04204,0.17211,-0.99215
1.6,-0.05855,0.16476,-0.99852
1.62,-0.07809,0.16528,-0.9999
1.64,-0.07571,0.17364,-0.9824
1.66,-0.03438,0.21861,-0.96812
1.68,-0.02731,0.27145,-0.95321
1.7,-0.04077,0.30516,-0.95182
1.72,-0.06281,0.31686,-0.95136
1.74,-0.07608,0.31688,-0.94168
1.76,-0.07741,0.30715,-0.93817
1.78,-0.07957,0.32191,-0.93128
1.8,-0.07747,0.35052,-0.92406
1.82,-0.07663,0.37969,-0.91469
1.84,-0.07665,0.39498,-0.90879
1.86,-0.08211,0.39912,-0.9098
1.88,-0.08376,0.38862,-0.91881
1.9,-0.05815,0.35004,-0.92677
1.92,-0.02257,0.30659,-0.93661
1.94,0.00798,0.27157,-0.94774
1.96,0.02173,0.24254,-0.96377
1.98,0.02127,0.24016,-0.96442
2,0.01475,0.23826,-0.96609
2.02,0.00825,0.2395,-0.96823
2.04,-0.0007,0.2378,-0.97167
2.06,-0.01401,0.24815,-0.97213
2.08,-0.03319,0.26708,-0.96837
2.1,-0.055,0.29341,-0.95942
2.12,-0.08339,0.32975,-0.95033
2.14,-0.10369,0.37092,-0.93263
2.16,-0.11857,0.40824,-0.9175
2.18,-0.11831,0.42875,-0.9051
2.2,-0.11213,0.42386,-0.90171
2.22,-0.10409,0.4088,-0.90328
2.24,-0.09655,0.37369,-0.90423
2.26,-0.09086,0.34437,-0.91417
2.28,-0.09029,0.32869,-0.91516
2.3,-0.08613,0.32163,-0.91644
2.32,-0.0775,0.31602,-0.91608
2.34,-0.06439,0.3149,-0.91874
2.36,-0.05947,0.31174,-0.92579
2.38,-0.05504,0.3159,-0.93161
2.4,-0.05049,0.32986,-0.93586
2.42,-0.04394,0.34677,-0.93466
2.44,-0.03402,0.35519,-0.92959
2.46,-0.02585,0.3596,-0.92234
2.48,-0.02192,0.35565,-0.90646
2.5,-0.03099,0.35523,-0.90797
2.52,-0.03096,0.34586,-0.90511
2.54,-0.02421,0.32845,-0.90099
2.56,-0.01829,0.30283,-0.90078
2.58,-0.01065,0.27083,-0.90748
2.6,-0.00853,0.23822,-0.91491
2.62,-0.00907,0.2126,-0.9236
2.64,-0.03632,0.19331,-0.92282
2.66,-0.09717,0.19535,-0.91808
2.68,-0.14566,0.22724,-0.9237
2.7,-0.17281,0.26857,-0.93315
2.72,-0.17803,0.27017,-0.93959
2.74,-0.17869,0.25797,-0.93806
2.76,-0.18396,0.25222,-0.93437
2.78,-0.19458,0.25469,-0.93067
2.8,-0.22624,0.27565,-0.93539
2.82,-0.26393,0.28989,-0.94333
2.84,-0.28085,0.26022,-0.94464
2.86,-0.26464,0.23238,-0.94931
2.88,-0.21446,0.20255,-0.96481
2.9,-0.1891,0.15177,-0.9731
2.92,-0.19245,0.09488,-0.97896
2.94,-0.20556,0.07894,-0.98008
2.96,-0.23857,0.10178,-0.9998
2.98,-0.27353,0.12321,-1.02597
3,-0.29758,0.12835,-1.04405
3.02,-0.29431,0.11185,-1.04743
3.04,-0.27275,0.08607,-1.04571
3.06,-0.27268,0.09565,-1.04658
3.08,-0.28274,0.0992,-1.05211
3.1,-0.29025,0.09309,-1.05309
3.12,-0.28114,0.08426,-1.05211
3.14,-0.25714,0.07332,-1.05164
3.16,-0.22535,0.04466,-1.05631
3.18,-0.18811,0.00081,-1.05518
3.2,-0.15616,-0.03147,-1.04485
3.22,-0.14019,-0.04975,-1.03358
3.24,-0.13199,-0.0585,-1.02095
3.26,-0.12727,-0.04833,-1.00791
3.28,-0.119,-0.03489,-0.99155
3.3,-0.11278,-0.01917,-0.97475
3.32,-0.11324,-0.00582,-0.96058
3.34,-0.1156,0.0108,-0.94723
3.36,-0.11902,0.03166,-0.93188
3.38,-0.12561,0.05531,-0.90966
3.4,-0.14116,0.07132,-0.88861
3.42,-0.15717,0.07328,-0.87624
3.44,-0.16964,0.0815,-0.8704
3.46,-0.18253,0.09057,-0.86633
3.48,-0.19908,0.09126,-0.86234
3.5,-0.21821,0.09295,-0.85861
3.52,-0.22795,0.09697,-0.85971
3.54,-0.23708,0.10634,-0.86685
3.56,-0.25054,0.11347,-0.88105
3.58,-0.25265,0.11671,-0.897
3.6,-0.24782,0.11864,-0.92388
3.62,-0.24761,0.11581,-0.97619
3.64,-0.26171,0.10202,-1.02502
3.66,-0.23295,0.11881,-1.0168
3.68,-0.18832,0.1275,-1.016
3.7,-0.14387,0.14066,-1.01072
3.72,-0.11068,0.15676,-1.00647
3.74,-0.07461,0.1747,-1.01794
3.76,-0.03513,0.21236,-1.02701
3.78,-0.0039,0.25155,-1.01613
3.8,0.01133,0.279,-1.0028
3.82,0.0136,0.30222,-0.97444
3.84,0.03352,0.32806,-0.92115
3.86,0.07395,0.37022,-0.8737
3.88,0.07467,0.37887,-0.8835
3.9,0.05057,0.39522,-0.89315
3.92,0.02426,0.39934,-0.90445
3.94,0.00885,0.39202,-0.91354
3.96,-0.01078,0.38699,-0.90754
3.98,-0.03192,0.3632,-0.90083
4,-0.03543,0.34105,-0.89916
4.02,-0.03201,0.34662,-0.90199
4.04,-0.02184,0.3548,-0.91289
4.06,-0.01337,0.40225,-0.87282
4.08,0.02236,0.4386,-0.8761
4.1,0.02372,0.46058,-0.88685
4.12,-0.06766,0.43204,-0.89338
4.14,-0.02226,0.44408,-0.90233
4.16,-0.00962,0.47559,-0.91647
4.18,-0.02241,0.51964,-0.92807
4.2,-0.10224,0.56474,-0.92098
4.22,-0.18756,0.60362,-0.92065
4.24,-0.2207,0.61379,-0.94313
4.26,-0.23631,0.56395,-0.97832
4.28,-0.23396,0.49743,-1.06388
4.3,-0.24682,0.4476,-1.0923
4.32,-0.22366,0.4064,-1.10433
4.34,-0.13225,0.4022,-1.13329
4.36,-0.19407,0.37126,-1.1718
4.38,-0.18786,0.35148,-1.1581
4.4,-0.15089,0.33148,-1.13086
4.42,-0.07685,0.31648,-1.09994
4.44,-0.01071,0.28439,-1.07751
4.46,0.02148,0.22332,-1.03649
4.48,0.02506,0.22653,-0.96491
4.5,0.00562,0.21882,-0.89141
4.52,-0.02614,0.20567,-0.83122
4.54,-0.06665,0.19523,-0.77888
4.56,-0.08407,0.20502,-0.70932
4.58,-0.09451,0.21785,-0.63847
4.6,-0.19425,0.21036,-0.655
4.62,-0.31155,0.20692,-0.69807
4.64,-0.40711,0.24345,-0.73026
4.66,-0.46818,0.32862,-0.75246
4.68,-0.52863,0.41241,-0.76183
4.7,-0.56523,0.45597,-0.77384
4.72,-0.56495,0.45689,-0.81435
4.74,-0.57276,0.45836,-0.86396
4.76,-0.60674,0.46087,-0.89258
4.78,-0.62914,0.44834,-0.93887
4.8,-0.64292,0.42311,-1.008
4.82,-0.55475,0.40415,-1.03384
4.84,-0.42264,0.37644,-1.00737
4.86,-0.29138,0.30343,-1.00169
4.88,-0.19705,0.19673,-1.01554
4.9,-0.13395,0.1482,-1.05141
4.92,-0.09334,0.13898,-1.10391
4.94,-0.0937,0.16677,-1.13919
4.96,-0.11725,0.18154,-1.12012
4.98,-0.09828,0.18491,-1.08774
5,-0.0684,0.19656,-1.01302
5.02,-0.02544,0.21001,-0.89952
5.04,-0.02254,0.21501,-0.79716
5.06,-0.05861,0.22188,-0.75438
5.08,-0.0764,0.27755,-0.76876
5.1,-0.09648,0.31096,-0.81275
5.12,-0.12501,0.29687,-0.84342
5.14,-0.13148,0.262,-0.8561
5.16,-0.10805,0.20512,-0.82501
5.18,-0.06696,0.15968,-0.82822
5.2,-0.04018,0.17134,-0.86729
5.22,-0.0222,0.20222,-0.92735
5.24,-0.02002,0.25134,-1.00772
5.26,-0.02503,0.30789,-1.10983
5.28,-0.01095,0.33486,-1.15754
5.3,-0.05115,0.29769,-1.13678
5.32,-0.08909,0.30249,-1.08773
5.34,-0.10484,0.34705,-1.04196
5.36,-0.1165,0.41285,-1.00014
5.38,-0.14403,0.49505,-0.99347
5.4,-0.15579,0.57478,-0.99895
5.42,-0.14474,0.55571,-1.06498
5.44,-0.12059,0.51109,-1.13928
5.46,-0.09314,0.46236,-1.15349
5.48,-0.07897,0.41904,-1.16218
5.5,-0.08061,0.39738,-1.19989
5.52,-0.05452,0.39931,-1.21094
5.54,-0.00297,0.37534,-1.16903
5.56,0.03511,0.34695,-1.11196
5.58,0.05651,0.29634,-1.07703
5.6,0.08054,0.24053,-1.0497
5.62,0.09941,0.16745,-1.02829
5.64,0.0811,0.15086,-0.95458
5.66,0.04323,0.15679,-0.86663
5.68,0.00093,0.16787,-0.81989
5.7,-0.0468,0.17822,-0.75341
5.72,-0.10872,0.18476,-0.70033
5.74,-0.15405,0.18299,-0.69531
5.76,-0.21759,0.20319,-0.72903
5.78,-0.27014,0.21745,-0.78397
5.8,-0.32752,0.23374,-0.82659
5.82,-0.38631,0.2578,-0.8467
5.84,-0.42592,0.28506,-0.8483
5.86,-0.44328,0.30778,-0.83047
5.88,-0.45136,0.30837,-0.82334
5.9,-0.47068,0.29516,-0.84934
5.92,-0.4751,0.27677,-0.89338
5.94,-0.45275,0.28558,-0.95362
5.96,-0.43069,0.29108,-1.01738
5.98,-0.37484,0.2584,-1.0118
6,-0.30251,0.21643,-0.98303
6.02,-0.22149,0.19108,-0.97873
6.04,-0.14633,0.17226,-1.02676
6.06,-0.11029,0.20923,-1.05747
6.08,-0.10564,0.25735,-1.08099
6.1,-0.10982,0.31644,-1.08931
6.12,-0.07963,0.37156,-1.06813
6.14,-0.06065,0.37871,-1.03078
6.16,-0.05351,0.34736,-0.97307
6.18,-0.03596,0.31436,-0.91463
6.2,-0.03567,0.31777,-0.91687
6.22,-0.05255,0.34116,-0.93762
6.24,-0.06561,0.36695,-0.92444
6.26,-0.07431,0.37826,-0.87952
6.28,-0.06874,0.33928,-0.86842
6.3,-0.04852,0.28566,-0.87521
6.32,-0.04077,0.22803,-0.89193
6.34,-0.05119,0.18936,-0.91855
6.36,-0.03864,0.20944,-0.9276
6.38,-0.01554,0.23156,-0.922
