Time,Lateral,Vertical,Longitudinal
0,0.00192,1.00981,-0.00451
0.02,0.0022,1.01028,-0.00517
0.04,0.00093,1.0102,-0.00672
0.06,0.00122,1.0068,-0.00507
0.08,0.00077,1.01101,-0.00661
0.1,0.0009,1.00794,-0.0055
0.12,0.00114,1.00613,-0.00674
0.14,0.0018,1.01167,-0.00846
0.16,0.00184,1.01023,-0.00915
0.18,0.00092,1.01147,-0.01069
0.2,0.00085,1.00767,-0.01031
0.22,-0.00043,1.01014,-0.01176
0.24,-0.0005,1.00907,-0.01152
0.26,0.00018,1.00678,-0.01112
0.28,0.00092,1.0114,-0.01341
0.3,0.00107,1.00875,-0.01241
0.32,0.00099,1.01006,-0.01371
0.34,0.00023,1.01087,-0.01368
0.36,-0.0014,1.00856,-0.01224
0.38,-0.00139,1.00799,-0.01134
0.4,-0.00092,1.00701,-0.01
0.42,0.00057,1.01121,-0.01018
0.44,0.00159,1.00935,-0.01063
0.46,0.00244,1.00961,-0.01043
0.48,0.00209,1.00949,-0.01146
0.5,0.00012,1.01013,-0.0102
0.52,-0.00034,1.00839,-0.00972
0.54,-0.0008,1.00759,-0.00885
0.56,0.0003,1.00827,-0.0081
0.58,0.00179,1.01053,-0.0088
0.6,0.00258,1.01115,-0.00852
0.62,0.00275,1.00751,-0.01034
0.64,0.00034,1.00996,-0.01081
0.66,-0.00032,1.009,-0.00866
0.68,-0.00198,1.00624,-0.00862
0.7,-0.00066,1.00924,-0.00701
0.72,0.00092,1.00911,-0.00795
0.74,0.00141,1.01096,-0.00804
0.76,0.00199,1.00796,-0.00993
0.78,0.00041,1.01004,-0.00987
0.8,-0.00023,1.00889,-0.00859
0.82,-0.00147,1.00551,-0.00843
0.84,-0.00077,1.0103,-0.00714
0.86,0.00126,1.00902,-0.00677
0.88,0.00128,1.00969,-0.00728
0.9,0.00216,1.0082,-0.00895
0.92,0.0009,1.01075,-0.00862
0.94,0.0002,1.00887,-0.00741
0.96,-0.00075,1.00636,-0.00661
0.98,0.00005,1.01074,-0.00476
1,0.00149,1.00923,-0.00478
1.02,0.00125,1.01022,-0.0054
1.04,0.00301,1.00836,-0.0057
1.06,0.00195,1.01148,-0.0059
1.08,0.00011,1.0104,-0.00493
1.1,-0.00027,1.00769,-0.00345
1.12,0.00045,1.01096,-0.00156
1.14,0.00129,1.01089,-0.00115
1.16,0.00181,1.01099,-0.00181
1.18,0.00346,1.00765,-0.00215
1.2,0.00258,1.01225,-0.00409
1.22,0.0013,1.01064,-0.00214
1.24,0.00077,1.00737,-0.00106
1.26,0.00027,1.01093,-0.00007
1.28,-0.00009,1.00985,-0.0001
1.3,0.00049,1.00839,-0.00091
1.32,0.0015,1.00909,-0.00155
1.34,0.00137,1.01024,-0.00204
1.36,0.00075,1.00834,-0.00252
1.38,0.00096,1.00685,-0.00174
1.4,0.00054,1.01131,-0.00196
1.42,0,1.00869,-0.00036
1.44,0.0007,1.00743,-0.00085
1.46,0.00148,1.00896,-0.00177
1.48,0.0019,1.00991,-0.00205
1.5,0.00238,1.00878,-0.00176
1.52,0.00303,1.0071,-0.00113
1.54,0.00246,1.01016,-0.00211
1.56,0.00129,1.00971,-0.00132
1.58,0.00127,1.00774,-0.00081
1.6,0.00074,1.00894,-0.00183
1.62,0.00137,1.00868,-0.00173
1.64,0.00235,1.00913,-0.00121
1.66,0.00322,1.00859,-0.00119
1.68,0.00291,1.0094,-0.00137
1.7,0.0016,1.00907,-0.00147
1.72,0.001,1.00838,-0.0015
1.74,0.00097,1.0104,-0.00134
1.76,0.00159,1.00787,-0.00024
1.78,0.00211,1.00889,-0.00042
1.8,0.00275,1.00932,-0.00091
1.82,0.00312,1.00947,-0.0009
1.84,0.00258,1.00974,-0.00109
1.86,0.00204,1.00844,-0.00088
1.88,0.00103,1.00944,-0.0008
1.9,0.00065,1.00903,-0.0005
1.92,0.00107,1.00867,-0.00069
1.94,0.00192,1.00892,-0.00049
1.96,0.00199,1.00889,-0.00078
1.98,0.0015,1.00924,-0.0018
2,0.0011,1.0087,-0.00171
2.02,0.00089,1.00917,-0.00123
2.04,0.00056,1.00868,-0.00011
2.06,0.00059,1.00893,0.00004
2.08,0.00092,1.00902,-0.00052
2.1,0.00161,1.0089,-0.00113
2.12,0.00224,1.00937,-0.00181
2.14,0.00247,1.00959,-0.00121
2.16,0.00227,1.00906,-0.00085
2.18,0.00212,1.00881,-0.00006
2.2,0.00214,1.00888,0.00005
2.22,0.00253,1.00947,-0.00022
2.24,0.00249,1.00915,-0.00047
2.26,0.00229,1.00881,-0.00184
2.28,0.00227,1.0097,-0.00164
2.3,0.00208,1.00999,-0.00204
2.32,0.00162,1.00779,-0.00249
2.34,0.00225,1.00936,-0.00311
2.36,0.00245,1.00951,-0.0043
2.38,0.00242,1.00919,-0.00586
2.4,0.00317,1.01,-0.00516
2.42,0.00366,1.00814,-0.00103
2.44,0.00304,1.00622,0.00296
2.46,0.0002,1.00681,-0.00516
2.48,-0.00038,1.00525,0.00627
2.5,0.00023,1.00329,0.00516
2.52,-0.00224,1.00073,0.00807
2.54,-0.00072,1.00974,0.01462
2.56,0.00164,1.00166,0.01787
2.58,0.0014,1.00621,0.02195
2.6,0.00071,1.00945,0.02455
2.62,0.00153,1.00472,0.02711
2.64,0.00081,1.01276,0.02517
2.66,0.00141,1.0108,0.02537
2.68,0.00246,1.01783,0.03393
2.7,0.00425,1.01715,0.0255
2.72,0.00281,1.01317,0.02461
2.74,0.00197,1.01953,0.017
2.76,0.00308,1.01131,0.01227
2.78,0.00104,1.01469,0.00779
2.8,-0.00019,1.01057,0.00313
2.82,0.0017,1.00851,0.00371
2.84,0.00077,1.01372,-0.00107
2.86,0.00005,1.00572,-0.00483
2.88,0.00002,1.00901,-0.00755
2.9,0.00228,1.0043,-0.00692
2.92,0.00144,1.00362,-0.00777
2.94,0.00138,1.0117,-0.00499
2.96,0.00534,1.00507,0.00177
2.98,0.00286,1.0083,0.00203
3,0.00199,1.01038,0.00616
3.02,0.00356,1.00972,0.00864
3.04,0.00308,1.01023,0.00775
3.06,0.00343,1.00758,0.00911
3.08,0.00389,1.01053,0.00861
3.1,0.00474,1.00989,0.00694
3.12,0.00439,1.0063,0.00553
3.14,0.00462,1.01152,0.0046
3.16,0.00465,1.00696,0.00454
3.18,0.00362,1.00925,0.00294
3.2,0.00237,1.00956,0.00158
3.22,0.00314,1.00721,0.00047
3.24,0.0023,1.01076,-0.00095
3.26,0.0025,1.00625,-0.00129
3.28,0.0018,1.01008,-0.00238
3.3,0.003,1.00878,-0.00067
3.32,0.00249,1.00804,-0.00053
3.34,0.00184,1.0102,-0.00031
3.36,0.00099,1.00789,0.00035
3.38,0.00104,1.009,-0.00006
3.4,0.00121,1.00999,0.00005
3.42,0.00198,1.00711,-0.00033
3.44,0.00138,1.01065,-0.00093
3.46,0.00196,1.00841,-0.0007
3.48,0.00177,1.0092,-0.00173
3.5,0.00068,1.00881,-0.0012
3.52,0.0011,1.00806,-0.00092
3.54,0.00052,1.01028,-0.00106
3.56,0.00081,1.00839,-0.00018
3.58,0.00044,1.00867,-0.00048
3.6,0.00049,1.00957,-0.00075
3.62,-0.00013,1.00859,-0.00075
3.64,-0.00022,1.00967,-0.00051
3.66,0.00027,1.00867,-0.00038
3.68,-0.00006,1.00747,0.00012
3.7,-0.00066,1.01097,0.00101
3.72,0.00036,1.00873,0.00103
3.74,-0.00023,1.0086,0.00056
3.76,-0.00068,1.00983,0.00067
3.78,-0.00045,1.00915,0.00069
3.8,-0.00013,1.01001,0.00049
3.82,0.0006,1.00885,0.00039
3.84,0.00113,1.00997,0.00015
3.86,0.00177,1.01011,0.00014
3.88,0.00071,1.01032,0.00043
3.9,-0.00028,1.01065,0.00017
3.92,-0.00174,1.00958,0.0001
3.94,-0.00345,1.01052,0.00076
3.96,-0.00459,1.01162,0.00171
3.98,-0.00477,1.00959,0.00258
4,-0.00484,1.01033,0.00218
4.02,-0.00466,1.00939,0.00169
4.04,-0.00539,1.01041,0.00204
4.06,-0.00551,1.00932,0.00283
4.08,-0.0062,1.00851,0.00297
4.1,-0.00664,1.0079,0.00249
4.12,-0.00654,1.00831,0.00359
4.14,-0.00555,1.00813,0.0036
4.16,-0.00465,1.00727,0.00291
4.18,-0.0041,1.00732,0.00289
4.2,-0.00312,1.00707,0.00279
4.22,-0.00325,1.00787,0.0026
