Time,Lateral,Vertical,Longitudinal
0.00,-0.27362,0.75513,0.59826
0.02,-0.27356,0.75518,0.59824
0.04,-0.27351,0.75522,0.59823
0.06,-0.27359,0.75534,0.59816
0.08,-0.27356,0.75537,0.59802
0.10,-0.27363,0.75540,0.59791
0.12,-0.27356,0.75536,0.59771
0.14,-0.27355,0.75534,0.59783
0.16,-0.27345,0.75540,0.59789
0.18,-0.27360,0.75524,0.59815
0.20,-0.27341,0.75530,0.59820
0.22,-0.27340,0.75536,0.59827
0.24,-0.27358,0.75522,0.59828
0.26,-0.27357,0.75528,0.59835
0.28,-0.27339,0.75534,0.59840
0.30,-0.27346,0.75532,0.59854
0.32,-0.27345,0.75525,0.59859
0.34,-0.27328,0.75551,0.59860
0.36,-0.27321,0.75548,0.59839
0.38,-0.27331,0.75542,0.59833
0.40,-0.27325,0.75564,0.59816
0.42,-0.27341,0.75561,0.59830
0.44,-0.27351,0.75555,0.59824
0.46,-0.27323,0.75575,0.59830
0.48,-0.27324,0.75569,0.59823
0.50,-0.27351,0.75555,0.59824
0.52,-0.27334,0.75563,0.59817
0.54,-0.27315,0.75582,0.59823
0.56,-0.27342,0.75550,0.59816
0.58,-0.27340,0.75554,0.59836
0.60,-0.27329,0.75553,0.59847
0.62,-0.27337,0.75545,0.59854
0.64,-0.27311,0.75554,0.59845
0.66,-0.27304,0.75556,0.59831
0.68,-0.27322,0.75537,0.59825
0.70,-0.27332,0.75531,0.59819
0.72,-0.27304,0.75537,0.59823
0.74,-0.27304,0.75537,0.59823
0.76,-0.27332,0.75518,0.59817
0.78,-0.27331,0.75523,0.59824
0.80,-0.27333,0.75525,0.59812
0.82,-0.27342,0.75525,0.59813
0.84,-0.27334,0.75526,0.59799
0.86,-0.27352,0.75513,0.59800
0.88,-0.27349,0.75504,0.59818
0.90,-0.27332,0.75518,0.59817
0.92,-0.27322,0.75524,0.59823
0.94,-0.27351,0.75519,0.59807
0.96,-0.27376,0.75503,0.59821
0.98,-0.27350,0.75517,0.59820
1.00,-0.27340,0.75523,0.59826
1.02,-0.27350,0.75511,0.59812
1.04,-0.27352,0.75526,0.59801
1.06,-0.27343,0.75532,0.59807
1.08,-0.27352,0.75531,0.59809
1.10,-0.27353,0.75538,0.59803
1.12,-0.27362,0.75538,0.59804
1.14,-0.27371,0.75538,0.59805
1.16,-0.27362,0.75538,0.59804
1.18,-0.27345,0.75559,0.59798
1.20,-0.27354,0.75558,0.59799
1.22,-0.27363,0.75545,0.59799
1.24,-0.27352,0.75557,0.59812
1.26,-0.27325,0.75558,0.59808
1.28,-0.27344,0.75552,0.59803
1.30,-0.27354,0.75558,0.59799
1.32,-0.27345,0.75571,0.59800
1.34,-0.27309,0.75586,0.59797
1.36,-0.27310,0.75580,0.59790
1.38,-0.27318,0.75578,0.59803
1.40,-0.27327,0.75578,0.59804
1.42,-0.27334,0.75558,0.59809
1.44,-0.27317,0.75565,0.59802
1.46,-0.27308,0.75579,0.59802
1.48,-0.27326,0.75571,0.59810
1.50,-0.27353,0.75570,0.59813
1.52,-0.27336,0.75577,0.59806
1.54,-0.27353,0.75582,0.59815
1.56,-0.27382,0.75564,0.59797
1.58,-0.27372,0.75576,0.59810
1.60,-0.27355,0.75578,0.59795
1.62,-0.27336,0.75572,0.59798
1.64,-0.27310,0.75599,0.59798
1.66,-0.27326,0.75596,0.59813
1.68,-0.27353,0.75570,0.59813
1.70,-0.27362,0.75569,0.59814
1.72,-0.27309,0.75579,0.59802
1.74,-0.27299,0.75585,0.59808
1.76,-0.27301,0.75568,0.59787
1.78,-0.27317,0.75571,0.59809
1.80,-0.27316,0.75564,0.59814
1.82,-0.27313,0.75555,0.59833
1.84,-0.27332,0.75543,0.59821
1.86,-0.27331,0.75536,0.59826
1.88,-0.27340,0.75536,0.59827
1.90,-0.27324,0.75551,0.59814
1.92,-0.27308,0.75566,0.59801
1.94,-0.27334,0.75558,0.59809
1.96,-0.27371,0.75538,0.59805
1.98,-0.27353,0.75551,0.59805
2.00,-0.27333,0.75550,0.59815
2.02,-0.27344,0.75533,0.59795
2.04,-0.27355,0.75534,0.59783
2.06,-0.27345,0.75540,0.59789
2.08,-0.27363,0.75540,0.59791
2.10,-0.27346,0.75560,0.59785
2.12,-0.27345,0.75553,0.59791
2.14,-0.27353,0.75538,0.59803
2.16,-0.27334,0.75539,0.59801
2.18,-0.27307,0.75546,0.59805
2.20,-0.27324,0.75538,0.59812
2.22,-0.27362,0.75532,0.59797
2.24,-0.27344,0.75552,0.59803
