Time,Lateral,Vertical,Longitudinal
0,0.004,0.99689,-0.02531
0.02,0.00271,0.99842,-0.02643
0.04,0.00117,0.99838,-0.02674
0.06,0.00128,0.99903,-0.02717
0.08,0.00129,0.99902,-0.02709
0.1,0.00104,0.99889,-0.0267
0.12,0.0003,0.99919,-0.02693
0.14,0.00035,1.00055,-0.02713
0.16,0.00022,1.00303,-0.02683
0.18,-0.00029,1.004,-0.02786
0.2,-0.00027,1.00352,-0.02748
0.22,0.00065,1.00101,-0.02631
0.24,0.00176,0.99869,-0.02473
0.26,0.00226,0.99825,-0.02381
0.28,0.00158,0.99759,-0.0229
0.3,0.00116,0.99675,-0.02243
0.32,0.00135,0.9967,-0.02224
0.34,0.0018,0.99714,-0.02198
0.36,0.00231,0.99579,-0.02142
0.38,0.00338,0.99309,-0.02115
0.4,0.00408,0.99203,-0.02011
0.42,0.00285,0.99332,-0.02044
0.44,0.00073,0.99628,-0.02194
0.46,0.00036,0.99841,-0.02323
0.48,0.00189,0.99865,-0.02361
0.5,0.00354,0.99833,-0.02359
0.52,0.00434,0.99871,-0.0237
0.54,0.00414,0.99898,-0.02413
0.56,0.00375,0.9993,-0.02474
0.58,0.00317,0.99973,-0.02528
0.6,0.00307,0.99986,-0.02549
0.62,0.0036,1.00009,-0.02584
0.64,0.0044,0.99992,-0.02629
0.66,0.00516,0.99948,-0.02585
0.68,0.00492,0.99864,-0.02538
0.7,0.004,0.99887,-0.02549
0.72,0.00316,0.99924,-0.02582
0.74,0.00305,0.99962,-0.02618
0.76,0.00377,0.99969,-0.02641
0.78,0.00407,0.99913,-0.02602
0.8,0.00409,0.99878,-0.02548
0.82,0.00327,0.99883,-0.02555
0.84,0.00217,0.99875,-0.02578
0.86,0.002,0.99868,-0.02567
0.88,0.00263,0.99839,-0.02581
0.9,0.00307,0.9988,-0.0261
0.92,0.00314,0.99907,-0.02662
0.94,0.00312,0.9992,-0.02684
0.96,0.00277,0.99902,-0.02679
0.98,0.00214,0.99874,-0.02671
1,0.00149,0.99888,-0.02681
1.02,0.00122,0.99866,-0.02694
1.04,0.00169,0.99832,-0.02688
1.06,0.0024,0.99869,-0.02698
1.08,0.00248,0.99883,-0.0272
1.1,0.00205,0.99845,-0.02674
1.12,0.00208,0.99787,-0.02642
1.14,0.00211,0.99721,-0.026
1.16,0.00261,0.998,-0.02675
1.18,0.00332,0.99815,-0.02699
1.2,0.00405,0.99797,-0.02707
1.22,0.00444,0.9969,-0.02694
1.24,0.00478,0.99734,-0.02751
1.26,0.00466,0.99782,-0.02789
1.28,0.0044,0.99715,-0.02793
1.3,0.00449,0.99733,-0.02797
1.32,0.00483,0.9977,-0.02843
1.34,0.00471,0.99785,-0.02902
1.36,0.00487,0.99803,-0.02953
1.38,0.00463,0.99719,-0.02906
1.4,0.00436,0.9971,-0.02903
1.42,0.00399,0.99712,-0.0293
1.44,0.00447,0.99835,-0.03014
1.46,0.00436,0.99873,-0.0305
1.48,0.00426,0.99866,-0.03085
1.5,0.00433,0.99897,-0.03111
1.52,0.00449,0.99915,-0.03162
1.54,0.00456,0.99923,-0.0321
1.56,0.00491,0.99936,-0.03242
1.58,0.00489,0.99973,-0.03287
1.6,0.0048,0.99981,-0.03289
1.62,0.00487,0.99985,-0.03318
1.64,0.00494,1.00013,-0.03361
1.66,0.0048,0.99897,-0.03336
1.68,0.00543,0.99879,-0.03343
1.7,0.00598,0.9988,-0.03345
1.72,0.00625,0.99872,-0.03344
1.74,0.00617,0.99843,-0.03347
