Time,Lateral,Vertical,Longitudinal
0,0.74367,-0.13071,0.11393
0.02,0.74367,-0.13071,0.11393
0.04,0.74367,-0.13071,0.11393
0.06,0.74367,-0.13071,0.11393
0.08,0.74367,-0.13071,0.11393
0.1,0.74367,-0.13071,0.11393
0.12,0.73238,-0.12036,0.10689
0.14,0.7116,-0.10826,0.09679
0.16,0.69248,-0.10235,0.08443
0.18,0.69391,-0.11753,0.07491
0.2,0.69614,-0.13677,0.06933
0.22,0.69348,-0.15588,0.06763
0.24,0.68817,-0.17449,0.06663
0.26,0.68296,-0.19155,0.06594
0.28,0.68295,-0.21133,0.06352
0.3,0.69062,-0.23955,0.06509
0.32,0.70245,-0.26994,0.07085
0.34,0.72803,-0.30507,0.08222
0.36,0.76289,-0.32912,0.08481
0.38,0.78459,-0.34104,0.09076
0.4,0.7851,-0.33318,0.09235
0.42,0.79025,-0.32899,0.08853
0.44,0.80492,-0.33166,0.08297
0.46,0.82311,-0.33766,0.0801
0.48,0.83901,-0.34649,0.07843
0.5,0.84964,-0.35384,0.07904
0.52,0.85389,-0.35322,0.0749
0.54,0.85524,-0.35016,0.06749
0.56,0.8547,-0.35333,0.06182
0.58,0.85375,-0.36797,0.06933
0.6,0.86301,-0.38845,0.07566
0.62,0.87167,-0.40788,0.08261
0.64,0.87349,-0.42187,0.08891
0.66,0.86994,-0.43231,0.09049
0.68,0.86412,-0.44525,0.08286
0.7,0.85928,-0.45759,0.07189
0.72,0.8526,-0.46828,0.05913
0.74,0.8434,-0.47913,0.04538
0.76,0.8318,-0.48937,0.0293
0.78,0.81731,-0.49715,0.00993
0.8,0.80331,-0.50748,-0.01027
0.82,0.79034,-0.52035,-0.0293
0.84,0.77938,-0.53748,-0.04438
0.86,0.77206,-0.5561,-0.0556
0.88,0.76581,-0.5745,-0.0629
0.9,0.76502,-0.59061,-0.05881
0.92,0.76546,-0.60604,-0.0529
0.94,0.76955,-0.62111,-0.04196
0.96,0.77756,-0.63335,-0.02709
0.98,0.78964,-0.63933,-0.00683
1,0.80438,-0.64272,0.01654
1.02,0.81828,-0.64127,0.03772
1.04,0.83349,-0.63522,0.05479
1.06,0.84708,-0.6225,0.06374
1.08,0.85398,-0.60228,0.06208
1.1,0.86052,-0.5811,0.05788
1.12,0.86293,-0.55879,0.04698
1.14,0.86579,-0.53828,0.0369
1.16,0.86742,-0.51846,0.02499
1.18,0.86647,-0.50354,0.01621
1.2,0.86187,-0.49633,0.00368
1.22,0.85509,-0.4928,-0.00936
1.24,0.8518,-0.48965,-0.01594
1.26,0.84446,-0.48468,-0.01937
1.28,0.83801,-0.49502,-0.02301
1.3,0.83674,-0.50657,-0.01688
1.32,0.83632,-0.51358,-0.00858
1.34,0.83708,-0.51811,0.00572
1.36,0.83798,-0.52188,0.0186
1.38,0.83777,-0.52936,0.02303
1.4,0.83676,-0.53769,0.01865
1.42,0.83719,-0.54573,0.0121
1.44,0.83857,-0.55041,0.00506
1.46,0.83997,-0.55784,-0.00483
1.48,0.85138,-0.57318,-0.00581
1.5,0.86267,-0.5769,-0.00183
1.52,0.86951,-0.58235,-0.00119
1.54,0.8739,-0.58835,-0.00556
1.56,0.87431,-0.59242,-0.01797
1.58,0.87587,-0.59276,-0.03302
1.6,0.88005,-0.58676,-0.03967
1.62,0.88543,-0.57668,-0.04003
1.64,0.88896,-0.56583,-0.0407
1.66,0.89338,-0.56177,-0.04338
1.68,0.89456,-0.55607,-0.0449
1.7,0.8888,-0.54759,-0.05802
1.72,0.88395,-0.53546,-0.07066
1.74,0.88191,-0.52039,-0.08254
1.76,0.88088,-0.50631,-0.08986
1.78,0.8829,-0.49927,-0.09295
1.8,0.88176,-0.49599,-0.09235
