Time,Lateral,Vertical,Longitudinal
0,0.29563,0.90011,-0.00306
0.02,0.34243,0.87894,0.04066
0.04,0.36244,0.88538,0.04925
0.06,0.35579,0.88105,0.04374
0.08,0.36995,0.87817,0.06829
0.1,0.37487,0.89025,0.06502
0.12,0.41664,0.90004,0.06003
0.14,0.43787,0.82126,0.05325
0.16,0.41046,0.82902,0.05818
0.18,0.34496,0.91046,0.07632
0.2,0.39483,0.88037,0.06593
0.22,0.42403,0.84102,0.09856
0.24,0.41515,0.84768,0.08698
0.26,0.42088,0.84755,0.07915
0.28,0.43272,0.85228,0.068
0.3,0.40351,0.8669,0.04461
0.32,0.38033,0.87389,0.03522
0.34,0.37933,0.86026,0.03649
0.36,0.38568,0.92638,0.0457
0.38,0.40422,0.93752,0.03515
0.4,0.45013,0.87166,0.01601
0.42,0.39722,0.87725,0.02343
0.44,0.36453,0.93895,0.00293
0.46,0.35367,0.94604,-0.01123
0.48,0.33463,0.94592,-0.01162
0.5,0.32461,0.95073,-0.00039
0.52,0.33836,0.94521,-0.00278
0.54,0.35415,0.93078,0.00369
0.56,0.36299,0.92437,0.0096
0.58,0.37047,0.9205,0.0126
0.6,0.37756,0.91354,0.01816
0.62,0.37632,0.91691,0.01706
0.64,0.36863,0.92188,0.01447
0.66,0.36379,0.9254,0.01373
0.68,0.36035,0.92612,0.012
0.7,0.36348,0.92449,0.0114
0.72,0.36718,0.92134,0.01127
0.74,0.36959,0.91965,0.01126
0.76,0.37175,0.92093,0.01071
0.78,0.37276,0.91983,0.01002
0.8,0.37652,0.91765,0.01103
0.82,0.37778,0.91633,0.01052
0.84,0.37738,0.91724,0.01024
0.86,0.37506,0.91838,0.0108
0.88,0.3745,0.9191,0.00891
0.9,0.37366,0.9204,0.01009
0.92,0.3712,0.92111,0.01
0.94,0.37146,0.92208,0.01081
0.96,0.37272,0.92012,0.01177
0.98,0.37356,0.91785,0.01331
1,0.3722,0.92036,0.01256
1.02,0.36802,0.92121,0.01214
1.04,0.36504,0.92455,0.01045
1.06,0.36209,0.9248,0.01019
1.08,0.36136,0.92546,0.01024
1.1,0.36106,0.92457,0.01157
1.12,0.36096,0.92441,0.01165
1.14,0.3606,0.92489,0.01189
1.16,0.36024,0.92432,0.01327
1.18,0.35924,0.92616,0.01229
1.2,0.35735,0.92647,0.01284
1.22,0.35668,0.92547,0.01344
1.24,0.35629,0.92711,0.01253
1.26,0.35701,0.92674,0.01302
1.28,0.35835,0.92494,0.01398
1.3,0.35895,0.92505,0.01393
1.32,0.35874,0.92524,0.01461
1.34,0.35736,0.92552,0.01444
1.36,0.35649,0.92655,0.01451
1.38,0.35539,0.92721,0.014
1.4,0.35581,0.92588,0.0146
1.42,0.35729,0.92677,0.01468
1.44,0.35751,0.92593,0.01538
1.46,0.3584,0.92537,0.01639
1.48,0.35689,0.92386,0.01759
1.5,0.35504,0.92682,0.01677
1.52,0.35331,0.9281,0.01586
1.54,0.35383,0.92774,0.01564
1.56,0.35632,0.92722,0.01591
1.58,0.35701,0.92534,0.01682
1.6,0.35736,0.92599,0.01599
1.62,0.35544,0.92714,0.01627
1.64,0.35323,0.92743,0.01572
1.66,0.35277,0.92887,0.01584
1.68,0.35275,0.92859,0.01502
1.7,0.3545,0.92884,0.01522
1.72,0.35624,0.92656,0.01539
1.74,0.35751,0.9257,0.01681
1.76,0.35593,0.92558,0.01625
1.78,0.35386,0.92701,0.01609
1.8,0.35293,0.9286,0.01516
1.82,0.35389,0.92711,0.01543
1.84,0.35606,0.92704,0.01577
1.86,0.35696,0.92588,0.0161
1.88,0.35721,0.92484,0.01635
1.9,0.35554,0.92535,0.01684
1.92,0.35335,0.92687,0.01542
1.94,0.35351,0.92709,0.01563
