Time,Lateral,Vertical,Longitudinal
0.00,0.04563,0.26623,-1.02026
0.02,0.04678,0.25860,-1.03130
0.04,-0.00133,0.19027,-1.03840
0.06,-0.00452,0.17309,-1.03668
0.08,0.00468,0.18374,-1.01367
0.10,-0.00173,0.18618,-0.99936
0.12,-0.01374,0.18580,-1.00134
0.14,-0.02936,0.18713,-1.01686
0.16,-0.05952,0.18356,-1.00968
0.18,-0.08327,0.19097,-0.99663
0.20,-0.09274,0.20940,-0.97581
0.22,-0.10124,0.23567,-0.95969
0.24,-0.10903,0.25985,-0.93764
0.26,-0.08700,0.32205,-0.91932
0.28,-0.10172,0.34341,-0.91207
0.30,-0.12466,0.33596,-0.93032
0.32,-0.12442,0.33899,-0.94233
0.34,-0.11450,0.33721,-0.94331
0.36,-0.09972,0.32937,-0.93787
0.38,-0.08011,0.32352,-0.93674
0.40,-0.06751,0.31133,-0.93720
0.42,-0.06800,0.29259,-0.94719
0.44,-0.07100,0.27052,-0.95505
0.46,-0.07294,0.25146,-0.96026
0.48,-0.07051,0.23330,-0.97003
0.50,-0.05776,0.22389,-0.97847
0.52,-0.04812,0.22296,-0.97570
0.54,-0.05224,0.21701,-0.97306
0.56,-0.05810,0.21328,-0.97508
0.58,-0.06454,0.21411,-0.98005
0.60,-0.07710,0.21164,-0.97725
0.62,-0.08249,0.21122,-0.97333
0.64,-0.07214,0.22048,-0.97015
0.66,-0.05589,0.23550,-0.97153
0.68,-0.04629,0.24332,-0.96624
0.70,-0.04367,0.25499,-0.94930
0.72,-0.05186,0.27131,-0.94326
0.74,-0.06345,0.28553,-0.94469
0.76,-0.07098,0.30489,-0.93524
0.78,-0.07858,0.32025,-0.92045
0.80,-0.07681,0.33083,-0.90885
0.82,-0.06884,0.34669,-0.91283
0.84,-0.06692,0.35698,-0.91671
0.86,-0.07932,0.35399,-0.91411
0.88,-0.10004,0.33840,-0.90762
0.90,-0.12265,0.32877,-0.91301
0.92,-0.13710,0.32627,-0.92343
0.94,-0.13749,0.32309,-0.91855
0.96,-0.12257,0.32056,-0.90653
0.98,-0.10234,0.31952,-0.90934
1.00,-0.08550,0.32281,-0.91361
1.02,-0.08451,0.32879,-0.90599
1.04,-0.10054,0.33021,-0.89538
1.06,-0.12143,0.30574,-0.89909
1.08,-0.12930,0.29047,-0.90670
1.10,-0.11902,0.29780,-0.91873
1.12,-0.12422,0.29792,-0.91571
1.14,-0.12762,0.26467,-0.91160
1.16,-0.12419,0.22578,-0.93075
1.18,-0.12145,0.20498,-0.97226
1.20,-0.13195,0.17931,-1.01203
1.22,-0.15464,0.14606,-1.03788
1.24,-0.16119,0.10201,-1.07537
1.26,-0.14196,0.05063,-1.11901
1.28,-0.12054,0.03261,-1.14149
1.30,-0.13302,0.02967,-1.14497
1.32,-0.16991,0.03451,-1.13783
1.34,-0.18373,0.05326,-1.14498
1.36,-0.18535,0.10433,-1.13120
1.38,-0.18858,0.16948,-1.09536
1.40,-0.20093,0.21821,-1.04504
1.42,-0.20316,0.26543,-0.98471
1.44,-0.18946,0.31115,-0.93113
1.46,-0.19020,0.36767,-0.87398
1.48,-0.20892,0.44227,-0.81782
1.50,-0.22310,0.51822,-0.77146
1.52,-0.21783,0.56751,-0.73396
1.54,-0.21277,0.58845,-0.70641
1.56,-0.21136,0.60304,-0.69395
1.58,-0.23315,0.61630,-0.71926
1.60,-0.28029,0.62117,-0.76517
1.62,-0.31921,0.63580,-0.81131
1.64,-0.39441,0.66581,-0.85509
1.66,-0.47053,0.78066,-0.94004
1.68,-0.47231,0.90901,-1.03682
1.70,-0.47040,0.92530,-1.13002
1.72,-0.51303,0.86871,-1.14957
1.74,-0.55807,0.78925,-1.15120
1.76,-0.54829,0.76783,-1.17591
1.78,-0.51962,0.75774,-1.18581
1.80,-0.47988,0.74219,-1.19410
1.82,-0.40590,0.73158,-1.20988
1.84,-0.33561,0.68177,-1.22104
1.86,-0.24772,0.58630,-1.19948
1.88,-0.16919,0.39201,-1.10146
1.90,-0.18746,0.16484,-0.99255
1.92,-0.24357,0.01386,-0.88581
1.94,-0.24033,-0.03062,-0.85631
1.96,-0.19894,0.00268,-0.85805
1.98,-0.19806,0.00236,-0.84842
2.00,-0.23366,0.00825,-0.82750
2.02,-0.28467,0.07733,-0.77508
2.04,-0.30517,0.14442,-0.70630
2.06,-0.36175,0.16955,-0.61856
2.08,-0.40955,0.22676,-0.57140
2.10,-0.45148,0.30888,-0.57661
2.12,-0.45114,0.42408,-0.59140
2.14,-0.39635,0.56460,-0.59782
2.16,-0.35113,0.64202,-0.59061
2.18,-0.35504,0.66908,-0.56859
2.20,-0.39219,0.71243,-0.53562
2.22,-0.43356,0.81081,-0.51837
2.24,-0.50687,0.96193,-0.55743
2.26,-0.55874,1.08413,-0.74479
2.28,-0.56994,1.13191,-0.88776
2.30,-0.51533,1.12833,-0.92963
2.32,-0.47954,1.06182,-0.97623
2.34,-0.47072,0.88466,-1.04516
2.36,-0.57712,0.64410,-1.12759
2.38,-0.56140,0.53235,-1.21318
2.40,-0.51279,0.48263,-1.32473
2.42,-0.31829,0.51538,-1.42035
2.44,-0.29650,0.33361,-1.43176
2.46,-0.17429,0.05543,-1.40302
2.48,-0.13455,-0.18315,-1.18526
2.50,-0.06657,-0.28171,-1.08376
2.52,-0.08523,-0.30437,-1.11428
2.54,-0.08728,-0.25419,-1.13746
2.56,-0.04120,-0.05392,-1.11011
2.58,0.40329,0.57051,-1.00488
2.60,0.40487,0.88800,-0.85355
2.62,0.33800,0.93967,-0.67681
2.64,0.18774,0.79542,-0.59160
2.66,0.22753,0.74430,-0.68379
2.68,0.23374,0.76276,-0.68645
2.70,0.30625,0.82740,-0.71188
2.72,0.32524,0.90928,-0.73173
2.74,0.34543,0.94349,-0.73564
2.76,0.36141,0.94627,-0.67975
2.78,0.36216,0.87231,-0.63798
2.80,0.07521,0.42023,-0.68594
2.82,0.15025,0.24366,-0.74036
2.84,0.29485,0.28177,-0.75578
2.86,0.36714,0.35826,-0.70472
2.88,0.38640,0.50285,-0.58658
2.90,0.35736,0.57104,-0.58205
2.92,0.20671,0.58695,-0.58651
2.94,-0.03841,0.50124,-0.66238
2.96,-0.12600,0.40197,-0.74799
2.98,-0.17304,0.32411,-0.82638
3.00,-0.18423,0.34162,-0.87261
3.02,-0.18513,0.41963,-0.89411
3.04,-0.22298,0.43653,-0.98506
3.06,-0.26718,0.44810,-1.13604
3.08,-0.23173,0.53900,-1.25977
3.10,-0.12533,0.61147,-1.36275
3.12,-0.05427,0.65542,-1.40895
3.14,-0.00180,0.63919,-1.45692
3.16,0.09663,0.66798,-1.46115
3.18,0.14436,0.75955,-1.40006
3.20,0.19742,0.82953,-1.34723
3.22,0.24628,0.61535,-1.48377
3.24,0.24763,0.37298,-1.58991
3.26,0.08302,0.24679,-1.56652
3.28,-0.17638,0.21010,-1.42060
3.30,-0.38093,0.18320,-1.26257
3.32,-0.54728,0.17089,-1.14161
3.34,-0.63280,0.09558,-1.07586
3.36,-0.64172,0.04865,-1.02250
3.38,-0.58790,0.06613,-0.93941
3.40,-0.58799,0.07789,-0.96435
3.42,-0.58450,0.10119,-1.04539
3.44,-0.61724,0.31884,-0.93144
3.46,-0.62700,0.51311,-0.80417
3.48,-0.48541,0.57521,-0.75988
3.50,-0.26909,0.54025,-0.82195
3.52,-0.16129,0.45592,-0.93599
3.54,-0.13059,0.35422,-1.01543
3.56,-0.13152,0.33663,-1.07213
3.58,-0.11600,0.35573,-1.10423
3.60,-0.09254,0.37273,-1.07520
3.62,-0.09344,0.38064,-0.96842
3.64,-0.13533,0.40119,-0.85143
3.66,-0.20036,0.43337,-0.77408
3.68,-0.26218,0.47527,-0.74091
3.70,-0.30642,0.52339,-0.74377
3.72,-0.33245,0.57651,-0.73675
3.74,-0.30412,0.70212,-0.67588
3.76,-0.23689,0.83003,-0.59916
3.78,-0.19901,0.82939,-0.53617
3.80,-0.17708,0.79255,-0.50618
3.82,-0.15245,0.75757,-0.55797
3.84,-0.14375,0.74194,-0.71126
3.86,-0.15483,0.71934,-0.89233
3.88,-0.14665,0.66926,-0.98715
3.90,-0.13127,0.61593,-1.01888
3.92,-0.12101,0.55954,-1.01303
3.94,-0.17187,0.42036,-1.01327
3.96,-0.21014,0.27356,-1.03924
3.98,-0.24783,0.14328,-1.07360
4.00,-0.23404,0.15554,-1.11686
4.02,-0.21329,0.19718,-1.16424
4.04,-0.19944,0.24217,-1.15440
4.06,-0.17685,0.26268,-1.05175
4.08,-0.12465,0.30495,-0.90509
4.10,-0.06073,0.41898,-0.82679
4.12,-0.05364,0.47805,-0.81728
4.14,-0.04314,0.54987,-0.80427
4.16,0.02359,0.68082,-0.80000
4.18,0.04605,0.73945,-0.80701
4.20,0.04899,0.76973,-0.82461
4.22,0.04687,0.79578,-0.83573
4.24,0.04762,0.82320,-0.80931
4.26,-0.07376,0.75656,-0.73693
4.28,-0.11831,0.71433,-0.69457
4.30,0.16246,0.88211,-0.71690
4.32,0.05207,0.67219,-0.70545
