Time,Lateral,Vertical,Longitudinal
0,-0.491,0.71733,0.40883
0.02,-0.49829,0.71786,0.41529
0.04,-0.50738,0.71913,0.42
0.06,-0.51378,0.72222,0.42211
0.08,-0.5155,0.7239,0.4246
0.1,-0.519,0.73055,0.42327
0.12,-0.52455,0.74336,0.41191
0.14,-0.52845,0.75482,0.40391
0.16,-0.53336,0.76255,0.40109
0.18,-0.541,0.76636,0.39227
0.2,-0.53555,0.77473,0.38536
0.22,-0.51864,0.77964,0.37345
0.24,-0.504,0.78409,0.36482
0.26,-0.49227,0.78727,0.35736
0.28,-0.48473,0.78555,0.35891
0.3,-0.48482,0.79127,0.36027
0.32,-0.47636,0.78564,0.354
0.34,-0.464,0.77982,0.36955
0.36,-0.45255,0.76955,0.37973
0.38,-0.44064,0.766,0.38218
0.4,-0.43255,0.75636,0.39818
0.42,-0.43936,0.74618,0.41109
0.44,-0.45364,0.74555,0.41391
0.46,-0.46982,0.75018,0.408
0.48,-0.49055,0.75573,0.40273
0.5,-0.50836,0.76182,0.391
0.52,-0.48818,0.76409,0.38573
0.54,-0.47109,0.77264,0.38964
0.56,-0.46627,0.77173,0.37736
0.58,-0.47109,0.76918,0.36336
0.6,-0.48045,0.76473,0.35182
0.62,-0.47773,0.76327,0.34018
0.64,-0.47791,0.76636,0.32836
0.66,-0.46145,0.76836,0.32891
0.68,-0.44118,0.77609,0.33627
0.7,-0.40682,0.78455,0.34864
0.72,-0.38636,0.798,0.35336
0.74,-0.40591,0.79955,0.34491
0.76,-0.42491,0.79145,0.339
0.78,-0.44445,0.79391,0.337
0.8,-0.44773,0.80118,0.34555
0.82,-0.44409,0.80318,0.35027
0.84,-0.45082,0.81136,0.34536
0.86,-0.45173,0.81718,0.35127
0.88,-0.46836,0.81891,0.35927
0.9,-0.48327,0.80782,0.37055
0.92,-0.51464,0.77691,0.35945
0.94,-0.55945,0.74918,0.32691
0.96,-0.59418,0.73245,0.30782
0.98,-0.62264,0.72555,0.30682
1,-0.63891,0.71964,0.31273
1.02,-0.65282,0.727,0.27227
1.04,-0.64782,0.75291,0.23645
1.06,-0.62809,0.78091,0.23336
1.08,-0.60636,0.79882,0.244
1.1,-0.59718,0.79291,0.25073
1.12,-0.62173,0.775,0.22091
1.14,-0.63709,0.78655,0.17382
1.16,-0.60391,0.80136,0.14682
1.18,-0.56182,0.82545,0.13409
1.2,-0.53909,0.85,0.12382
1.22,-0.51127,0.85073,0.09982
1.24,-0.48055,0.85555,0.07791
1.26,-0.47064,0.85436,0.07236
1.28,-0.48336,0.84391,0.06536
1.3,-0.51455,0.81982,0.03391
1.32,-0.53982,0.79755,-0.02282
1.34,-0.52745,0.78791,-0.07555
1.36,-0.51527,0.78918,-0.08755
1.38,-0.52591,0.802,-0.08655
1.4,-0.546,0.81145,-0.107
1.42,-0.53573,0.83891,-0.13345
1.44,-0.52464,0.87745,-0.14655
1.46,-0.53745,0.87927,-0.13327
1.48,-0.56427,0.84273,-0.15609
1.5,-0.58991,0.80136,-0.18873
1.52,-0.60864,0.78145,-0.24327
1.54,-0.616,0.78718,-0.26445
1.56,-0.61627,0.80627,-0.27036
1.58,-0.61755,0.82655,-0.28009
1.6,-0.60418,0.84164,-0.28027
1.62,-0.58964,0.83064,-0.26536
1.64,-0.59455,0.77855,-0.26318
1.66,-0.60509,0.72,-0.25736
1.68,-0.60336,0.68864,-0.216
1.7,-0.58673,0.69109,-0.176
1.72,-0.59264,0.70845,-0.16691
1.74,-0.55982,0.73973,-0.13536
1.76,-0.50573,0.77764,-0.09527
1.78,-0.46573,0.80891,-0.03864
1.8,-0.41809,0.81982,-0.00227
1.82,-0.38145,0.84364,0.02536
1.84,-0.36182,0.88073,0.04718
1.86,-0.36064,0.91082,0.05
1.88,-0.36509,0.94218,0.04809
1.9,-0.36236,0.97509,0.026
1.92,-0.34664,0.99064,0.02264
1.94,-0.29664,1.00882,0.03955
1.96,-0.27764,1.014,0.04736
1.98,-0.29645,1.00882,0.03427
2,-0.31791,1.00164,0.00536
2.02,-0.35609,0.96545,0.00191
2.04,-0.38718,0.91573,-0.021
2.06,-0.38155,0.88436,-0.038
2.08,-0.34555,0.88282,-0.01764
2.1,-0.30118,0.88564,-0.03709
2.12,-0.27891,0.91545,-0.00145
2.14,-0.27764,0.94518,0.03555
2.16,-0.28573,0.95482,0.01818
2.18,-0.28327,0.95764,-0.01518
2.2,-0.24491,0.95218,-0.03227
2.22,-0.20264,0.94764,-0.03873
2.24,-0.17527,0.99191,-0.04155
2.26,-0.16782,1.01827,-0.00973
2.28,-0.17918,1.02064,0.00636
2.3,-0.18936,1.01327,0.019
2.32,-0.19918,1.00527,0.07573
2.34,-0.23455,0.95536,0.05527
2.36,-0.24073,0.948,-0.00673
2.38,-0.22955,0.97373,-0.06982
2.4,-0.23155,1.00345,-0.13536
2.42,-0.248,1.04436,-0.15609
2.44,-0.24573,1.06527,-0.12709
2.46,-0.197,1.036,-0.09009
2.48,-0.12636,0.99927,-0.07464
2.5,-0.05809,0.97918,-0.05991
2.52,-0.02391,0.98018,-0.06791
2.54,0.00027,0.99209,-0.08618
2.56,0.00418,1.02173,-0.16473
2.58,0.01173,1.01345,-0.16582
2.6,0.03327,0.98109,-0.08318
2.62,0.05736,0.93927,0.02582
2.64,0.08773,0.90164,0.07264
2.66,0.11009,0.89382,0.07736
2.68,0.12309,0.91573,0.078
2.7,0.12591,0.94155,0.08609
2.72,0.10473,0.95391,0.07873
2.74,0.10036,0.95382,0.08782
2.76,0.09891,0.951,0.11418
2.78,0.14518,0.93564,0.21482
2.8,0.15918,0.928,0.27036
2.82,0.16427,0.93236,0.29082
2.84,0.17545,0.94391,0.31218
2.86,0.17864,0.96273,0.34382
2.88,0.16582,0.96045,0.37291
2.9,0.135,0.94709,0.38027
2.92,0.09855,0.93627,0.37436
2.94,0.08564,0.93336,0.37918
2.96,0.083,0.93509,0.36918
2.98,0.08191,0.94227,0.34745
3,0.08855,0.95518,0.33527
3.02,0.091,0.95836,0.34
3.04,0.08236,0.94873,0.35218
3.06,0.06882,0.943,0.35964
3.08,0.05345,0.93127,0.35836
3.1,0.04427,0.93436,0.34818
3.12,0.04082,0.95055,0.337
3.14,0.03909,0.96536,0.32645
3.16,0.02964,0.97609,0.31836
3.18,0.01045,0.98227,0.30918
3.2,-0.00391,0.99409,0.29555
3.22,-0.001,1.00709,0.27409
3.24,0.00791,1.01591,0.24882
3.26,0.00873,1.018,0.218
3.28,0.00373,1.01564,0.19027
3.3,-0.01627,1.007,0.16864
3.32,-0.04291,0.998,0.14409
3.34,-0.05318,0.98336,0.13245
3.36,-0.05236,0.97464,0.12845
3.38,-0.05282,0.97564,0.13045
3.4,-0.045,0.97773,0.13273
3.42,-0.05027,0.97036,0.13845
3.44,-0.07609,0.955,0.14736
3.46,-0.09709,0.94918,0.15382
3.48,-0.10873,0.95173,0.15736
3.5,-0.11673,0.95173,0.15445
3.52,-0.10482,0.95673,0.15218
3.54,-0.08427,0.956,0.15609
3.56,-0.076,0.957,0.15645
3.58,-0.07936,0.95973,0.15645
3.6,-0.07609,0.95245,0.15055
3.62,-0.08418,0.94382,0.15227
3.64,-0.08927,0.93918,0.15473
3.66,-0.084,0.939,0.15618
3.68,-0.08091,0.93827,0.15836
3.7,-0.083,0.94727,0.161
3.72,-0.08627,0.96109,0.17073
3.74,-0.09327,0.96727,0.18109
3.76,-0.10155,0.96891,0.19791
3.78,-0.10691,0.97373,0.20891
3.8,-0.10536,0.96945,0.21418
3.82,-0.109,0.96264,0.21864
3.84,-0.109,0.95882,0.21273
3.86,-0.10445,0.95036,0.203
3.88,-0.10318,0.94064,0.19836
3.9,-0.10009,0.93991,0.20045
3.92,-0.09509,0.94818,0.20527
3.94,-0.08409,0.95927,0.19
3.96,-0.08791,0.94991,0.16227
3.98,-0.09555,0.92427,0.13827
4,-0.09945,0.91764,0.13018
4.02,-0.101,0.92082,0.13736
4.04,-0.10209,0.92382,0.14782
4.06,-0.10445,0.92418,0.16409
4.08,-0.10827,0.92482,0.179
4.1,-0.10736,0.92355,0.18564
4.12,-0.09055,0.92773,0.156
4.14,-0.06809,0.943,0.12991
4.16,-0.05055,0.97155,0.11873
4.18,-0.05364,1.00936,0.11936
4.2,-0.07636,1.03836,0.10691
4.22,-0.05764,1.04573,0.09773
4.24,-0.04509,1.05445,0.08182
4.26,-0.041,1.06245,0.05318
4.28,-0.02764,1.06455,0.02609
4.3,-0.00773,1.06145,-0.004
4.32,0.01682,1.06491,-0.03073
4.34,0.032,1.06918,-0.03609
4.36,0.04282,1.05836,-0.04827
4.38,0.05491,1.029,-0.04527
4.4,0.08527,1.004,-0.03118
4.42,0.13336,0.99482,-0.00336
